datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-10T00:00:00.000+00:00,1.0,1,1,2,5be77198fb1666002315229a,1,1.0,1,0,,1,1,1.0
2018-11-11T00:00:00.000+00:00,1.0,1,1,2,5be8c300fb1666002213d8fb,1,1.0,1,0,1.4,1,1,1.0
2018-11-12T00:00:00.000+00:00,1.5,2,1,2,5bea14edfb1666002317f8b4,2,1.5,1,0,1.3,1,2,1.5
2018-11-13T00:00:00.000+00:00,1.0,1,1,2,5beb65f4fb166600231954d9,1,1.0,1,0,1.3,1,1,1.0
2018-11-15T00:00:00.000+00:00,10.0,10,10,13,5bee0953fb1666002219447b,10,10.0,10,5,,10,1,10.0
2018-11-16T00:00:00.000+00:00,1.5,1,1,2,5bef5af4fb166600221aacd4,2,1.5,1,0,1.2,2,3,1.667
2018-11-17T00:00:00.000+00:00,10.0,10,10,13,5bf0ac77fb166600221c240b,10,10.0,10,5,,10,1,10.0
2018-11-17T00:00:00.000+00:00,1.0,1,1,2,5bf0ac77fb166600221c240a,1,1.0,1,0,1.2,1,3,1.0
2018-11-19T00:00:00.000+00:00,1.0,1,1,2,5bf34f67fb1666002321ec7f,1,1.0,1,0,1.2,1,5,1.0
2018-11-20T00:00:00.000+00:00,1.0,1,1,2,5bf4a0c3fb16660022206e9d,1,1.0,1,0,1.1,1,2,1.0
2018-11-21T00:00:00.000+00:00,10.0,10,10,13,5bf5f23cfb1666002324c8a3,10,10.0,10,5,,10,1,10.0
2018-11-21T00:00:00.000+00:00,1.0,1,1,1,5bf5f23cfb1666002324c8a2,1,1.0,1,0,1.1,1,1,1.0
2018-11-22T00:00:00.000+00:00,1.5,1,1,2,5bf7435afb16660023262fca,2,1.0,1,0,1.1,2,11,1.091
2018-11-23T00:00:00.000+00:00,3.0,3,1,3,5bf89538fb16660022249c89,3,3.0,3,0,1.5,3,1,3.0
2018-11-24T00:00:00.000+00:00,1.0,1,1,3,5bf9e680fb1666002225fc4b,1,1.0,1,0,1.5,1,1,1.0
2018-11-25T00:00:00.000+00:00,1.0,1,1,3,5bfb383efb1666002227662f,1,1.0,1,0,1.5,1,1,1.0
2018-11-26T00:00:00.000+00:00,14.0,14,10,14,5bfc89acfb1666002228c69b,14,14.0,14,5,11.4,14,7,14.0
2018-11-26T00:00:00.000+00:00,1.5,2,1,3,5bfc89acfb1666002228c69a,2,1.5,1,0,1.6,1,2,1.5
2018-11-27T00:00:00.000+00:00,1.5,2,1,2,5bfddacbfb166600232d7e14,2,1.0,1,0,1.6,1,22,1.045
2018-11-29T00:00:00.000+00:00,1.5,2,1,2,5c007e32fb16660023307c50,2,1.5,1,0,1.3,1,2,1.5
2018-11-30T00:00:00.000+00:00,2.5,2,1,3,5c01cf98fb166600222e1930,3,2.5,2,0,1.6,3,2,2.5
2018-12-01T00:00:00.000+00:00,1.5,2,1,3,5c03211afb166600222f84a8,2,1.5,1,0,1.7,1,2,1.5
2018-12-02T00:00:00.000+00:00,1.0,1,1,3,5c0472affb1666002230f64f,1,1.0,1,0,1.6,1,3,1.0
2018-12-03T00:00:00.000+00:00,1.0,1,1,3,5c05c42afb16660023364e98,1,1.0,1,0,1.5,1,1,1.0
2018-12-04T00:00:00.000+00:00,1.0,1,1,2,5c071553fb1666002337a547,1,1.0,1,0,1.4,1,1,1.0
2018-12-05T00:00:00.000+00:00,1.5,2,1,2,5c0866cefb16660022350bac,2,2.0,1,0,1.2,1,6,1.833
2018-12-06T00:00:00.000+00:00,1.5,2,1,2,5c09b8c13ae3e800244e4267,2,1.5,1,0,1.2,1,2,1.5
2018-12-07T00:00:00.000+00:00,10.0,10,10,14,5c0b0a0d3ae3e800234f9887,10,10.0,10,5,10.8,10,1,10.0
2018-12-07T00:00:00.000+00:00,2.0,2,1,2,5c0b0a0d3ae3e800234f9886,2,2.0,2,0,1.4,2,1,2.0
2018-12-08T00:00:00.000+00:00,1.5,1,1,2,5c0c5b5e3ae3e8002350fb48,2,1.5,1,0,1.5,2,2,1.5
2018-12-10T00:00:00.000+00:00,1.5,2,1,2,5c0efe543ae3e8002353d72c,2,2.0,1,0,1.6,2,12,1.167
2018-12-11T00:00:00.000+00:00,2.5,3,1,3,5c104fff3ae3e8002355485d,3,2.0,2,0,1.8,2,3,2.333
2018-12-12T00:00:00.000+00:00,2.0,2,1,3,5c11a1653ae3e8002356bf4a,2,2.0,2,0,1.9,2,1,2.0
2018-12-13T00:00:00.000+00:00,2.0,2,1,3,5c12f2fd3ae3e80023582a02,2,2.0,2,0,1.9,2,3,2.0
2018-12-15T00:00:00.000+00:00,10.0,10,10,14,5c1595e23ae3e800245c0e20,10,10.0,10,5,10.8,10,1,10.0
2018-12-15T00:00:00.000+00:00,1.0,1,1,3,5c1595e23ae3e800245c0e1f,1,1.0,1,0,1.8,1,1,1.0
2018-12-16T00:00:00.000+00:00,8.0,8,8,14,5c16e7653ae3e800235ce657,8,8.0,8,5,10.4,8,1,8.0
2018-12-16T00:00:00.000+00:00,1.0,1,1,2,5c16e7653ae3e800235ce656,1,1.0,1,0,1.7,1,1,1.0
2018-12-17T00:00:00.000+00:00,1.0,1,1,2,5c1839653ae3e800245f40c6,1,1.0,1,0,1.4,1,1,1.0
2018-12-18T00:00:00.000+00:00,2.0,1,1,3,5c198b113ae3e800235ff391,3,2.0,1,0,1.4,3,2,2.0
2018-12-19T00:00:00.000+00:00,1.0,1,1,3,5c1adbde3ae3e800236178bc,1,1.0,1,0,1.2,1,1,1.0
2018-12-20T00:00:00.000+00:00,1.5,2,1,3,5c1c2ddc3ae3e80023630b88,2,1.5,1,0,1.3,1,6,1.833
2018-12-21T00:00:00.000+00:00,10.0,10,8,10,5c1d7f6d3ae3e8002364a8ec,10,10.0,10,5,10.4,10,3,10.0
2018-12-21T00:00:00.000+00:00,2.0,2,1,3,5c1d7f6d3ae3e8002364a8eb,2,2.0,2,0,1.5,2,2,2.0
2018-12-22T00:00:00.000+00:00,1.5,2,1,2,5c1ed0ba3ae3e800236630e8,2,2.0,1,0,1.6,1,3,1.667
2018-12-23T00:00:00.000+00:00,1.5,1,1,2,5c2021eb3ae3e8002367cdaf,2,1.0,1,0,1.5,1,5,1.2
2018-12-27T00:00:00.000+00:00,10.0,10,8,10,5c2568723ae3e800246f7e5d,10,10.0,10,5,9.6,10,1,10.0
2018-12-27T00:00:00.000+00:00,1.0,1,1,2,5c2568723ae3e800246f7e5c,1,1.0,1,0,1.5,1,25,1.0
2018-12-28T00:00:00.000+00:00,1.0,1,1,2,5c26b9653ae3e800236fc68c,1,1.0,1,0,1.4,1,2,1.0
2018-12-29T00:00:00.000+00:00,1.0,1,1,2,5c280b753ae3e8002472d920,1,1.0,1,0,1.2,1,1,1.0
2018-12-30T00:00:00.000+00:00,2.0,2,1,2,5c295c623ae3e80023731a25,2,2.0,2,0,1.3,2,2,2.0
2018-12-31T00:00:00.000+00:00,10.0,10,8,10,5c2aaddb3ae3e8002374b5e6,10,10.0,10,5,9.6,10,1,10.0
2019-01-01T00:00:00.000+00:00,1.0,1,1,2,5c2bffdc3ae3e80023766d5a,1,1.0,1,0,1.2,1,1,1.0
2019-01-02T00:00:00.000+00:00,10.0,10,10,10,5c2d51513ae3e8002377fe73,10,10.0,10,5,9.6,10,1,10.0
2019-01-02T00:00:00.000+00:00,1.5,1,1,2,5c2d51513ae3e8002377fe72,2,1.0,1,0,1.3,1,4,1.25
2019-01-03T00:00:00.000+00:00,1.0,1,1,2,5c2ea2a83ae3e800247b35f2,1,1.0,1,0,1.3,1,1,1.0
2019-01-04T00:00:00.000+00:00,2.5,2,1,3,5c2ff4743ae3e800247cf097,3,3.0,2,0,1.6,3,3,2.667
2019-01-06T00:00:00.000+00:00,1.0,1,1,3,5c32972f3ae3e800237eb9c3,1,1.0,1,0,1.4,1,2,1.0
2019-01-07T00:00:00.000+00:00,1.0,1,1,3,5c33e8de3ae3e8002380612c,1,1.0,1,0,1.4,1,1,1.0
2019-01-08T00:00:00.000+00:00,2.0,2,1,3,5c3539e03ae3e8002381fb86,2,2.0,2,0,1.5,2,1,2.0
2019-01-09T00:00:00.000+00:00,1.5,2,1,2,5c368bee3ae3e8002383bf13,2,1.5,1,0,1.6,1,10,1.9
2019-01-10T00:00:00.000+00:00,2.0,2,1,2,5c37dd483ae3e8002385604d,2,2.0,2,0,1.5,2,1,2.0
2019-01-13T00:00:00.000+00:00,10.0,10,10,10,5c3bd1a53ae3e800238a7e40,10,10.0,10,5,10.0,10,1,10.0
2019-01-13T00:00:00.000+00:00,2.0,2,1,2,5c3bd1a53ae3e800238a7e3f,2,2.0,2,0,1.7,2,2,2.0
2019-01-14T00:00:00.000+00:00,20.0,20,10,20,5c3d231f3ae3e800248e54c5,20,20.0,20,5,12.0,20,1,20.0
2019-01-14T00:00:00.000+00:00,2.0,2,1,2,5c3d231f3ae3e800248e54c4,2,2.0,2,0,1.9,2,1,2.0
2019-01-15T00:00:00.000+00:00,2.0,2,2,2,5c3e745f3ae3e800238dc844,2,2.0,2,0,1.9,2,1,2.0
2019-01-16T00:00:00.000+00:00,10.0,10,10,20,5c3fc5db3ae3e8002491c370,10,10.0,10,5,12.0,10,1,10.0
2019-01-16T00:00:00.000+00:00,2.0,2,2,2,5c3fc5db3ae3e8002491c36f,2,2.0,2,0,2.0,2,2,2.0
2019-01-17T00:00:00.000+00:00,10.0,10,10,20,5c4117d63ae3e80024939a5e,10,10.0,10,5,12.0,10,1,10.0
2019-01-17T00:00:00.000+00:00,2.0,2,2,2,5c4117d63ae3e80024939a5d,2,2.0,2,0,2.0,2,1,2.0
2019-01-18T00:00:00.000+00:00,9.0,3,3,20,5c42693d3ae3e8002392e844,15,9.0,3,5,11.8,15,2,9.0
2019-01-19T00:00:00.000+00:00,3.0,5,1,5,5c43baa53ae3e8002394b808,5,1.0,1,0,2.2,1,5,1.8
2019-01-20T00:00:00.000+00:00,1.0,1,1,5,5c450c173ae3e8002498fa0a,1,1.0,1,0,2.0,1,2,1.0
2019-01-21T00:00:00.000+00:00,3.0,3,3,15,5c465d693ae3e80023981eac,3,3.0,3,5,10.4,3,2,3.0
2019-01-21T00:00:00.000+00:00,1.0,1,1,5,5c465d693ae3e80023981eab,1,1.0,1,0,1.8,1,2,1.0
2019-01-22T00:00:00.000+00:00,2.0,2,1,5,5c47af2c3ae3e8002399e9f0,2,2.0,2,0,1.8,2,1,2.0
2019-01-23T00:00:00.000+00:00,2.0,2,1,2,5c4900ed3ae3e800239bb3bb,2,2.0,2,0,1.8,2,1,2.0
2019-01-24T00:00:00.000+00:00,8.0,8,3,15,5c4a51e13ae3e800249ffbfb,8,8.0,8,5,8.0,8,2,8.0
2019-01-24T00:00:00.000+00:00,2.0,2,1,2,5c4a51e13ae3e800249ffbfa,2,2.0,2,0,1.6,2,2,2.0
2019-01-25T00:00:00.000+00:00,1.5,1,1,2,5c4ba3863ae3e80024a1c111,2,1.5,1,0,1.7,2,2,1.5
2019-01-26T00:00:00.000+00:00,2.5,2,1,3,5c4cf5383ae3e80023a0e12b,3,2.0,2,0,2.0,2,3,2.333
2019-01-28T00:00:00.000+00:00,2.0,2,2,15,5c4f986b3ae3e80024a72c61,2,2.0,2,5,6.4,2,2,2.0
2019-01-28T00:00:00.000+00:00,1.0,1,1,3,5c4f986b3ae3e80024a72c60,1,1.0,1,0,1.8,1,1,1.0
2019-01-29T00:00:00.000+00:00,10.0,10,2,10,5c50e9a23ae3e80024a8ee03,10,10.0,10,5,6.4,10,1,10.0
2019-01-29T00:00:00.000+00:00,2.0,2,1,3,5c50e9a23ae3e80024a8ee02,2,2.0,2,0,1.8,2,6,2.0
2019-01-31T00:00:00.000+00:00,15.0,15,2,15,5c538c873ae3e80024ac86dc,15,15.0,15,5,7.6,15,2,15.0
2019-02-01T00:00:00.000+00:00,1.0,1,1,3,5c54de603ae3e80023ab13c0,1,1.0,1,0,1.6,1,1,1.0
2019-02-03T00:00:00.000+00:00,1.5,2,1,2,5c5780dd3ae3e80024b1ca82,2,1.5,1,0,1.6,1,2,1.5
