datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,6.0,5,3,9,5be37d44fb1666002310dd38,9,5.0,3,4.8,5,10,5.0
2018-11-08T00:00:00.000+00:00,4.0,5,3,9,5be4ceabfb166600220fdcf1,5,4.0,3,4.6,5,11,4.273
2018-11-09T00:00:00.000+00:00,3.5,5,2,9,5be61fedfb1666002313a193,5,3.0,2,4.5,3,9,3.333
2018-11-10T00:00:00.000+00:00,4.0,3,2,9,5be771a7fb16660023152484,5,4.0,3,4.5,4,8,4.0
2018-11-11T00:00:00.000+00:00,4.0,5,2,5,5be8c30efb16660023168898,5,4.0,3,4.3,4,11,3.909
2018-11-12T00:00:00.000+00:00,3.5,2,2,5,5bea14fafb1666002215374e,5,3.5,2,3.8,3,10,3.4
2018-11-13T00:00:00.000+00:00,4.5,5,2,5,5beb65f5fb16660022167eec,5,5.0,4,3.9,4,6,4.667
2018-11-14T00:00:00.000+00:00,3.5,4,2,5,5becb7f3fb166600231ac1a6,5,4.0,2,3.9,4,14,3.857
2018-11-15T00:00:00.000+00:00,4.0,3,2,5,5bee096bfb166600231c28cd,5,4.0,3,3.9,4,15,4.2
2018-11-16T00:00:00.000+00:00,4.0,4,2,5,5bef5af6fb166600231d978c,5,4.0,3,3.9,5,23,4.174
2018-11-17T00:00:00.000+00:00,5.0,5,2,7,5bf0ac7efb166600231f0c1e,7,5.0,3,4.2,5,21,4.571
2018-11-18T00:00:00.000+00:00,4.0,4,3,7,5bf1fde9fb166600221d98e1,5,4.0,3,4.1,5,24,4.208
2018-11-19T00:00:00.000+00:00,5.5,5,3,7,5bf34f6bfb166600221f03dc,7,5.0,4,4.5,4,5,5.2
2018-11-20T00:00:00.000+00:00,4.0,5,3,7,5bf4a0c5fb166600232356ae,5,4.0,3,4.5,5,20,4.15
2018-11-21T00:00:00.000+00:00,4.5,4,3,7,5bf5f246fb1666002221d81e,6,4.0,3,4.6,4,7,4.429
2018-11-22T00:00:00.000+00:00,3.5,3,3,7,5bf7435bfb16660022232adb,4,3.5,3,4.3,3,6,3.5
2018-11-23T00:00:00.000+00:00,6.0,5,2,10,5bf89543fb16660022249e14,10,4.0,2,4.7,3,15,4.467
2018-11-24T00:00:00.000+00:00,4.0,3,2,10,5bf9e695fb166600232919e6,5,4.0,3,4.4,5,13,3.846
2018-11-25T00:00:00.000+00:00,3.5,2,2,10,5bfb3849fb166600222767bf,5,3.0,2,4.3,3,19,3.263
2018-11-26T00:00:00.000+00:00,4.5,4,2,10,5bfc89b7fb1666002228c81f,5,5.0,4,4.3,5,14,4.571
2018-11-27T00:00:00.000+00:00,3.5,3,2,5,5bfddacefb166600222a134c,4,4.0,3,4.3,4,8,3.625
2018-11-28T00:00:00.000+00:00,3.5,5,2,5,5bff2c86fb166600232efeeb,5,4.0,2,3.8,5,11,4.091
2018-11-29T00:00:00.000+00:00,3.5,4,2,5,5c007e32fb166600222cca33,5,4.0,2,3.7,4,19,3.684
2018-11-30T00:00:00.000+00:00,4.0,4,2,5,5c01cfa2fb166600222e1ac5,5,4.0,3,3.8,4,30,4.267
2018-12-01T00:00:00.000+00:00,3.5,5,1,6,5c032121fb16660023336f9a,6,5.0,1,3.6,5,44,4.545
2018-12-02T00:00:00.000+00:00,5.5,5,1,8,5c0472b9fb1666002230f7dc,8,5.0,3,4.0,5,21,5.286
