datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,215.0,230,181,245,5be37d4cfb166600220e995d,230,210.0,200,213.0,218,19,210.0
2018-11-08T00:00:00.000+00:00,210.0,200,190,245,5be4ceb4fb1666002312439e,220,214.0,200,213.5,214,23,211.348
2018-11-09T00:00:00.000+00:00,219.0,205,190,245,5be61ffcfb166600221119bb,238,219.0,200,215.2,200,25,217.96
2018-11-10T00:00:00.000+00:00,155.0,159,120,238,5be771b0fb16660022127df4,190,150.0,120,203.3,135,33,147.394
2018-11-11T00:00:00.000+00:00,135.0,130,110,238,5be8c324fb1666002213ddbe,160,142.0,110,186.8,144,23,140.913
2018-11-12T00:00:00.000+00:00,175.0,135,110,238,5bea14fefb1666002317fa9a,220,179.0,130,178.8,140,22,170.591
2018-11-13T00:00:00.000+00:00,154.0,150,110,220,5beb660dfb166600231956d1,173,150.0,135,167.6,160,22,153.136
2018-11-14T00:00:00.000+00:00,132.5,145,85,220,5becb7f8fb1666002217eeb6,180,129.0,85,150.3,150,61,125.984
2018-11-15T00:00:00.000+00:00,121.0,100,72,220,5bee0976fb166600221947f8,170,119.0,72,143.5,105,59,121.831
2018-11-16T00:00:00.000+00:00,100.0,100,72,180,5bef5b09fb166600221aaedf,110,99.5,90,136.5,100,59,100.085
2018-11-17T00:00:00.000+00:00,99.0,100,72,180,5bf0ac8cfb166600221c2617,110,100.0,88,121.3,94,75,98.467
2018-11-18T00:00:00.000+00:00,92.5,92,72,170,5bf1fe0bfb166600221d9d6b,100,92.0,85,109.0,85,70,93.3
2018-11-19T00:00:00.000+00:00,83.0,90,66,110,5bf34f79fb1666002321ee82,100,83.0,66,99.1,75,89,82.629
2018-11-20T00:00:00.000+00:00,79.5,85,66,110,5bf4a0d4fb16660022207082,90,80.0,69,90.8,79,54,81.593
2018-11-21T00:00:00.000+00:00,70.0,75,60,100,5bf5f24bfb1666002324caa3,80,70.0,60,84.8,75,82,71.744
2018-11-22T00:00:00.000+00:00,70.0,75,60,100,5bf7436afb166600232631e1,80,70.0,60,79.0,79,72,71.167
2018-11-23T00:00:00.000+00:00,67.5,74,60,90,5bf8954cfb1666002327a561,75,68.0,60,74.0,70,57,67.456
2018-11-24T00:00:00.000+00:00,69.0,68,58,80,5bf9e6b1fb16660023291e6c,80,70.0,58,71.2,70,64,69.625
2018-11-25T00:00:00.000+00:00,69.0,70,58,80,5bfb3852fb166600232aa554,74,69.5,64,69.1,70,67,68.373
2018-11-26T00:00:00.000+00:00,62.5,65,55,80,5bfc89c3fb166600232c1574,70,65.0,55,67.6,60,52,63.173
2018-11-27T00:00:00.000+00:00,64.0,60,55,80,5bfddad8fb166600232d8027,70,64.0,58,66.4,64,58,64.0
2018-11-28T00:00:00.000+00:00,61.0,50,50,74,5bff2c8ffb166600222b6f93,72,60.0,50,65.1,60,59,61.034
2018-11-29T00:00:00.000+00:00,59.5,65,50,72,5c007e3ffb16660023307e58,65,60.0,54,63.2,57,48,59.708
2018-11-30T00:00:00.000+00:00,60.0,55,50,72,5c01cfbdfb166600222e1f23,70,58.0,50,61.4,55,67,58.06
2018-12-01T00:00:00.000+00:00,60.0,58,50,72,5c03213efb16660023337412,62,60.0,58,60.9,60,50,59.6
2018-12-02T00:00:00.000+00:00,60.0,64,50,70,5c0472c4fb1666002334e697,70,60.0,50,60.1,50,86,60.14
2018-12-03T00:00:00.000+00:00,59.0,60,48,70,5c05c43afb16660022324b2e,70,59.0,48,59.7,55,47,58.043
2018-12-04T00:00:00.000+00:00,57.0,65,48,70,5c071563fb1666002337a740,65,57.0,49,59.2,60,54,57.037
