datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-11T00:00:00.000+00:00,200.0,200,200,200,5be8c348fb1666002213e378,200,200.0,200,3,,200,1,200.0
2018-11-17T00:00:00.000+00:00,135.0,135,135,200,5bf0acb7fb166600231f129f,135,135.0,135,3,,135,1,135.0
2018-11-17T00:00:00.000+00:00,20.0,20,20,20,5bf0acb7fb166600231f129e,20,20.0,20,0,,20,1,20.0
2018-11-19T00:00:00.000+00:00,175.0,150,135,200,5bf34f9cfb166600221f0a64,200,175.0,150,3,,200,2,175.0
2018-11-19T00:00:00.000+00:00,144.0,200,20,200,5bf34f9cfb166600221f0a63,200,144.0,88,0,,88,2,144.0
2018-11-20T00:00:00.000+00:00,180.0,180,20,200,5bf4a0effb16660023235d14,180,180.0,180,0,,180,2,180.0
2018-11-21T00:00:00.000+00:00,89.0,88,88,200,5bf5f274fb1666002324d032,90,89.0,88,3,,90,2,89.0
2018-11-21T00:00:00.000+00:00,84.0,89,20,200,5bf5f274fb1666002324d031,89,84.0,79,0,,79,2,84.0
2018-11-22T00:00:00.000+00:00,70.0,90,50,200,5bf74391fb166600232637ac,90,70.0,50,0,99.6,50,2,70.0
2018-11-24T00:00:00.000+00:00,66.0,70,62,200,5bf9e6dffb166600222607c2,70,66.0,62,3,133.0,62,2,66.0
2018-11-25T00:00:00.000+00:00,62.5,35,30,180,5bfb3873fb16660022276e22,95,52.0,30,0,108.1,59,8,54.25
2018-11-26T00:00:00.000+00:00,30.0,30,30,200,5bfc89e0fb1666002228ce64,30,30.0,30,3,99.0,30,1,30.0
2018-11-27T00:00:00.000+00:00,70.0,70,30,90,5bfddaf4fb166600222a1994,70,70.0,70,3,86.0,70,1,70.0
2018-11-27T00:00:00.000+00:00,40.0,40,30,95,5bfddaf4fb166600222a1993,40,40.0,40,0,87.3,40,1,40.0
2018-11-28T00:00:00.000+00:00,25.0,25,25,95,5bff2ccefb166600222b7865,25,25.0,25,0,56.3,25,1,25.0
2018-11-30T00:00:00.000+00:00,32.5,30,30,70,5c01cfd6fb166600222e22ad,35,32.5,30,3,57.5,35,2,32.5
2018-11-30T00:00:00.000+00:00,22.5,20,20,95,5c01cfd6fb166600222e22ac,25,25.0,20,0,44.0,25,3,23.333
2018-12-01T00:00:00.000+00:00,24.0,24,24,70,5c032161fb1666002333799b,24,24.0,24,3,44.5,24,1,24.0
2018-12-01T00:00:00.000+00:00,20.0,25,15,40,5c032161fb1666002333799a,25,25.0,15,0,34.0,25,5,22.0
2018-12-02T00:00:00.000+00:00,24.0,20,15,29,5c0472e4fb1666002230fe43,29,20.0,19,0,26.3,19,5,21.6
2018-12-03T00:00:00.000+00:00,27.5,35,20,70,5c05c45bfb16660023365674,35,27.5,20,3,36.8,20,2,27.5
2018-12-03T00:00:00.000+00:00,25.5,35,15,35,5c05c45bfb16660023365673,35,20.0,16,0,23.4,20,3,23.667
2018-12-04T00:00:00.000+00:00,20.0,20,15,35,5c07157efb1666002233a38e,20,20.0,20,0,22.4,20,2,20.0
2018-12-05T00:00:00.000+00:00,20.0,20,16,35,5c08673afb16660023390b98,20,20.0,20,0,21.9,20,1,20.0
2018-12-06T00:00:00.000+00:00,19.0,19,16,35,5c09b8ed3ae3e800234e4503,19,19.0,19,0,21.7,19,1,19.0
2018-12-07T00:00:00.000+00:00,15.0,15,15,20,5c0b0a583ae3e800244fb7e9,15,15.0,15,0,19.9,15,1,15.0
2018-12-08T00:00:00.000+00:00,22.5,30,15,30,5c0c5b903ae3e80024513247,30,19.0,15,0,19.3,15,3,21.333
2018-12-09T00:00:00.000+00:00,28.0,28,20,35,5c0dad403ae3e8002352766e,28,28.0,28,3,36.4,28,1,28.0
2018-12-10T00:00:00.000+00:00,20.0,20,15,30,5c0efe823ae3e80024544218,20,20.0,20,0,19.3,20,1,20.0
2018-12-11T00:00:00.000+00:00,10.0,10,10,30,5c1050883ae3e80023555894,10,10.0,10,0,17.3,10,2,10.0
2018-12-13T00:00:00.000+00:00,17.0,14,10,30,5c12f36d3ae3e80023583a53,24,14.0,10,0,16.9,10,5,14.6
2018-12-14T00:00:00.000+00:00,18.0,18,10,24,5c1445333ae3e8002359c2c7,18,18.0,18,0,17.5,18,1,18.0
2018-12-15T00:00:00.000+00:00,15.0,10,10,24,5c1596303ae3e800235b5bbc,20,15.0,10,0,16.0,20,2,15.0
2018-12-17T00:00:00.000+00:00,15.0,15,10,24,5c1839953ae3e800235e7d7b,15,15.0,15,0,15.0,15,2,15.0
2018-12-19T00:00:00.000+00:00,12.5,10,10,20,5c1adc113ae3e8002462693a,15,12.5,10,0,15.5,15,2,12.5
2018-12-21T00:00:00.000+00:00,19.0,19,10,20,5c1d7faf3ae3e8002465b75d,19,19.0,19,0,15.9,19,1,19.0
2018-12-22T00:00:00.000+00:00,17.5,20,10,20,5c1ed1193ae3e80023663eba,20,17.5,15,0,15.8,15,2,17.5
2018-12-23T00:00:00.000+00:00,20.0,20,10,20,5c2022213ae3e8002468f322,20,20.0,20,0,16.8,20,1,20.0
2018-12-25T00:00:00.000+00:00,17.5,25,10,25,5c22c5843ae3e800246c3b67,25,10.0,10,0,17.3,10,3,15.0
2018-12-28T00:00:00.000+00:00,25.0,25,20,35,5c26b99a3ae3e800247122b0,25,25.0,25,3,27.4,25,1,25.0
2018-12-28T00:00:00.000+00:00,19.0,20,10,25,5c26b99a3ae3e800247122af,20,19.0,18,0,18.6,18,2,19.0
2018-12-29T00:00:00.000+00:00,10.0,10,10,25,5c280bb13ae3e8002371890f,10,10.0,10,0,16.8,10,1,10.0
2018-12-30T00:00:00.000+00:00,20.0,20,10,25,5c295cb93ae3e8002373262f,20,20.0,20,0,17.3,20,1,20.0
2019-01-01T00:00:00.000+00:00,15.0,15,10,20,5c2c000c3ae3e8002477e090,15,15.0,15,0,16.3,15,1,15.0
2019-01-02T00:00:00.000+00:00,20.0,20,10,20,5c2d51a83ae3e8002479977d,20,20.0,20,0,16.8,20,1,20.0
2019-01-03T00:00:00.000+00:00,40.0,40,20,40,5c2ea3353ae3e800247b4488,40,40.0,40,3,28.9,40,1,40.0
2019-01-07T00:00:00.000+00:00,18.0,18,15,20,5c33e90f3ae3e80024821fd2,18,18.0,18,0,16.6,18,1,18.0
2019-01-08T00:00:00.000+00:00,18.0,18,15,20,5c353a283ae3e8002483c815,18,18.0,18,0,18.2,18,1,18.0
2019-01-10T00:00:00.000+00:00,18.0,18,18,20,5c37dd973ae3e80023856b35,18,18.0,18,0,17.8,18,1,18.0
2019-01-11T00:00:00.000+00:00,17.0,19,15,19,5c392f3d3ae3e80023871f62,19,17.0,15,0,18.2,15,2,17.0
2019-01-15T00:00:00.000+00:00,20.0,20,20,40,5c3e74953ae3e80024900f2b,20,20.0,20,3,28.1,20,1,20.0
2019-01-18T00:00:00.000+00:00,33.0,33,15,33,5c4269a43ae3e80024956116,33,33.0,33,0,20.8,33,1,33.0
2019-01-19T00:00:00.000+00:00,35.0,35,20,40,5c43bb003ae3e80024972337,35,35.0,35,3,29.6,35,1,35.0
2019-01-19T00:00:00.000+00:00,19.0,20,15,33,5c43bb003ae3e80024972336,20,20.0,18,0,21.0,20,3,19.333
2019-01-20T00:00:00.000+00:00,25.0,25,15,33,5c450c973ae3e80024990946,25,25.0,25,0,22.4,25,1,25.0
