datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,12.0,12,12,14,5be37d4ffb1666002310def3,12,12.0,12,0,,12,1,12.0
2018-11-10T00:00:00.000+00:00,13.0,13,12,14,5be771b0fb16660023152638,13,13.0,13,0,,13,1,13.0
2018-11-14T00:00:00.000+00:00,14.0,14,14,16,5becb800fb166600231ac362,14,14.0,14,3,,14,1,14.0
2018-11-14T00:00:00.000+00:00,15.0,15,12,15,5becb800fb166600231ac361,15,15.0,15,0,13.4,15,1,15.0
2018-11-15T00:00:00.000+00:00,8.0,8,8,15,5bee0979fb166600231c2a7d,8,8.0,8,0,12.4,8,1,8.0
2018-11-16T00:00:00.000+00:00,14.5,14,8,15,5bef5b06fb166600231d9962,15,14.5,14,0,12.5,15,2,14.5
2018-11-17T00:00:00.000+00:00,13.5,17,8,17,5bf0ac8dfb166600231f0de5,17,13.5,10,0,12.8,10,2,13.5
2018-11-18T00:00:00.000+00:00,15.0,15,8,17,5bf1fdf7fb166600221d9aa8,15,15.0,15,0,13.2,15,2,15.0
2018-11-19T00:00:00.000+00:00,15.0,15,10,17,5bf34f79fb166600221f0598,15,15.0,15,0,13.2,15,1,15.0
2018-11-21T00:00:00.000+00:00,16.0,16,10,17,5bf5f251fb1666002221d9dd,16,16.0,16,0,14.8,16,1,16.0
2018-11-22T00:00:00.000+00:00,13.0,13,13,16,5bf74367fb16660022232c93,13,13.0,13,0,14.5,13,1,13.0
2018-11-23T00:00:00.000+00:00,10.0,10,10,16,5bf8954efb16660022249fd0,10,10.0,10,3,,10,1,10.0
2018-11-24T00:00:00.000+00:00,15.0,15,10,16,5bf9e6a0fb16660023291ba8,15,15.0,15,3,,15,2,15.0
2018-11-27T00:00:00.000+00:00,12.0,12,12,16,5bfddad7fb166600222a14fe,12,12.0,12,0,14.2,12,1,12.0
2018-11-28T00:00:00.000+00:00,13.0,13,12,16,5bff2c90fb166600232f00a1,13,13.0,13,0,13.8,13,1,13.0
2018-12-01T00:00:00.000+00:00,12.0,10,10,14,5c03212cfb1666002333715a,14,12.0,10,0,13.2,14,2,12.0
2018-12-03T00:00:00.000+00:00,13.5,20,7,20,5c05c43dfb166600233651d6,20,13.5,7,0,12.7,7,2,13.5
2018-12-07T00:00:00.000+00:00,12.0,12,7,20,5c0b0a2f3ae3e800244fb325,12,12.0,12,0,12.5,12,1,12.0
2018-12-08T00:00:00.000+00:00,15.0,15,7,20,5c0c5b6b3ae3e80024512d45,15,15.0,15,0,13.1,15,1,15.0
2018-12-10T00:00:00.000+00:00,10.0,10,7,20,5c0efe613ae3e80024543d30,10,10.0,10,0,12.5,10,1,10.0
2018-12-11T00:00:00.000+00:00,13.0,10,10,16,5c1050293ae3e8002455d14f,16,10.0,10,0,12.7,16,3,12.0
2018-12-13T00:00:00.000+00:00,10.0,10,10,16,5c12f3133ae3e80023582d98,10,10.0,10,0,12.0,10,1,10.0
2018-12-14T00:00:00.000+00:00,15.0,15,10,16,5c14450f3ae3e8002359bda8,15,15.0,15,0,12.6,15,1,15.0
2018-12-15T00:00:00.000+00:00,12.5,10,10,16,5c1595ed3ae3e800235b523c,15,12.5,10,0,12.1,15,2,12.5
2018-12-16T00:00:00.000+00:00,15.0,15,10,15,5c16e7703ae3e800245d9d0c,15,15.0,15,3,14.0,15,1,15.0
2018-12-16T00:00:00.000+00:00,12.5,12,10,15,5c16e7703ae3e800245d9d0b,15,12.0,10,0,12.6,15,3,12.333
2018-12-17T00:00:00.000+00:00,16.0,16,10,16,5c1839733ae3e800235e7839,16,16.0,16,3,14.0,16,3,16.0
2018-12-17T00:00:00.000+00:00,13.0,15,10,15,5c1839733ae3e800235e7838,15,15.0,11,0,12.6,15,4,14.0
2018-12-18T00:00:00.000+00:00,14.5,14,10,15,5c198b243ae3e8002460d90f,15,14.5,14,0,13.5,15,2,14.5
2018-12-19T00:00:00.000+00:00,10.0,10,10,15,5c1adbea3ae3e800246263bd,10,10.0,10,0,12.5,10,1,10.0
2018-12-21T00:00:00.000+00:00,15.0,15,10,15,5c1d7f8a3ae3e8002364acda,15,15.0,15,0,13.0,15,1,15.0
2018-12-22T00:00:00.000+00:00,15.5,15,10,16,5c1ed0d63ae3e800236634ba,16,15.5,15,0,13.6,16,2,15.5
2018-12-29T00:00:00.000+00:00,15.0,15,10,16,5c280b843ae3e80023718366,15,15.0,15,0,14.0,15,1,15.0
2018-12-31T00:00:00.000+00:00,12.5,15,10,16,5c2aade83ae3e80024763129,15,12.5,10,0,13.6,10,2,12.5
2019-01-02T00:00:00.000+00:00,25.0,25,15,25,5c2d516b3ae3e8002378025e,25,25.0,25,3,16.2,25,1,25.0
2019-01-02T00:00:00.000+00:00,15.0,15,10,16,5c2d516b3ae3e8002378025d,15,15.0,15,0,14.6,15,2,15.0
2019-01-03T00:00:00.000+00:00,15.0,15,15,25,5c2ea2de3ae3e80023799eee,15,15.0,15,3,17.2,15,1,15.0
2019-01-04T00:00:00.000+00:00,25.0,25,15,25,5c2ff48a3ae3e800237b51bc,25,25.0,25,3,19.2,25,1,25.0
2019-01-04T00:00:00.000+00:00,15.0,15,10,15,5c2ff48a3ae3e800237b51bb,15,15.0,15,0,14.6,15,1,15.0
2019-01-05T00:00:00.000+00:00,16.0,15,10,17,5c3145743ae3e800237cfab2,17,16.0,15,0,14.7,17,2,16.0
2019-01-08T00:00:00.000+00:00,15.0,15,15,17,5c3539ec3ae3e8002483bf68,15,15.0,15,0,14.7,15,2,15.0
2019-01-11T00:00:00.000+00:00,17.0,17,15,17,5c392f103ae3e80023871995,17,17.0,17,0,15.6,17,1,17.0
2019-01-12T00:00:00.000+00:00,14.0,14,14,17,5c3a80923ae3e8002388d38d,14,14.0,14,0,15.4,14,1,14.0
2019-01-13T00:00:00.000+00:00,17.0,17,15,25,5c3bd1db3ae3e800238a85a1,17,17.0,17,3,19.6,17,1,17.0
2019-01-16T00:00:00.000+00:00,20.0,20,14,20,5c3fc5e93ae3e800238f7ac0,20,20.0,20,0,16.4,20,1,20.0
2019-01-19T00:00:00.000+00:00,10.0,10,10,20,5c43bac03ae3e8002394bc1f,10,10.0,10,0,15.2,10,1,10.0
2019-01-20T00:00:00.000+00:00,50.0,50,15,50,5c450c333ae3e80023966a0d,50,50.0,50,3,26.4,50,1,50.0
2019-01-21T00:00:00.000+00:00,20.0,20,10,20,5c465d8f3ae3e800249ac517,20,20.0,20,0,16.2,20,1,20.0
2019-01-24T00:00:00.000+00:00,15.0,15,15,50,5c4a51fa3ae3e80024a00012,15,15.0,15,3,24.4,15,1,15.0
2019-01-24T00:00:00.000+00:00,15.0,15,10,20,5c4a51fa3ae3e80024a00011,15,15.0,15,0,15.8,15,1,15.0
