datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,26.0,25,20,39,5be37d14fb166600220e90eb,27,25.0,25,0,26.3,25,5,25.4
2018-11-08T00:00:00.000+00:00,21.0,28,12,39,5be4ce66fb166600220fd1ee,30,25.0,12,0,25.6,15,14,24.143
2018-11-09T00:00:00.000+00:00,25.0,26,12,39,5be61fadfb16660022111130,26,25.0,24,0,25.3,24,4,25.0
2018-11-10T00:00:00.000+00:00,34.5,39,14,39,5be77161fb16660023151956,39,34.5,30,5,,30,2,34.5
2018-11-10T00:00:00.000+00:00,22.5,20,10,35,5be77161fb16660023151955,35,25.0,10,0,24.8,28,26,23.538
2018-11-11T00:00:00.000+00:00,40.0,50,14,50,5be8c2a3fb16660023167a68,50,40.0,30,5,,30,2,40.0
2018-11-11T00:00:00.000+00:00,21.0,25,10,35,5be8c2a3fb16660023167a67,30,25.0,12,0,23.1,25,19,23.053
2018-11-12T00:00:00.000+00:00,17.5,29,5,35,5bea146dfb1666002317ec32,30,20.0,5,0,21.4,20,15,19.733
2018-11-13T00:00:00.000+00:00,34.5,35,14,50,5beb65b6fb16660023194e26,49,35.0,20,5,,49,3,34.667
2018-11-13T00:00:00.000+00:00,20.0,10,5,35,5beb65b6fb16660023194e25,30,22.5,10,0,21.2,30,7,21.571
2018-11-14T00:00:00.000+00:00,40.0,40,20,50,5becb7b1fb166600231ab970,40,40.0,40,5,34.2,40,1,40.0
2018-11-14T00:00:00.000+00:00,28.5,28,5,30,5becb7b1fb166600231ab96f,29,28.0,28,0,21.9,28,7,28.143
2018-11-15T00:00:00.000+00:00,22.5,25,5,30,5bee08f4fb166600231c1bb5,30,25.0,15,0,21.9,20,13,24.846
2018-11-16T00:00:00.000+00:00,44.0,40,20,50,5bef5abffb166600221aa5f6,48,48.0,40,5,38.6,48,3,45.333
2018-11-16T00:00:00.000+00:00,24.0,24,10,30,5bef5abffb166600221aa5f5,28,24.0,20,0,22.5,28,14,23.429
2018-11-17T00:00:00.000+00:00,30.0,25,15,49,5bf0ac3ffb166600221c1d0e,45,25.0,15,5,37.7,25,5,29.0
2018-11-17T00:00:00.000+00:00,23.5,27,15,30,5bf0ac3ffb166600221c1d0d,30,25.0,17,0,23.7,29,12,25.167
2018-11-18T00:00:00.000+00:00,24.5,22,15,30,5bf1fd35fb166600221d84d9,29,25.0,20,0,24.6,25,13,24.154
2018-11-19T00:00:00.000+00:00,40.0,40,15,48,5bf34f31fb1666002321e595,40,40.0,40,5,37.7,40,1,40.0
2018-11-19T00:00:00.000+00:00,22.5,29,15,30,5bf34f31fb1666002321e594,30,25.0,15,0,23.4,24,21,24.524
2018-11-20T00:00:00.000+00:00,37.5,25,15,50,5bf4a096fb166600222067d4,50,37.5,25,5,38.3,50,2,37.5
2018-11-20T00:00:00.000+00:00,24.5,27,15,34,5bf4a096fb166600222067d3,34,25.0,15,0,23.8,20,14,25.857
2018-11-21T00:00:00.000+00:00,25.0,25,15,34,5bf5f1d6fb1666002324ba7e,30,25.0,20,0,24.0,27,17,25.176
2018-11-22T00:00:00.000+00:00,19.0,25,13,50,5bf74328fb166600222323c2,25,19.0,13,5,34.1,13,2,19.0
2018-11-22T00:00:00.000+00:00,27.0,27,15,34,5bf74328fb166600222323c1,30,27.0,24,0,24.7,29,20,27.4
2018-11-23T00:00:00.000+00:00,30.0,25,13,50,5bf894bffb16660022248be8,40,25.0,20,5,31.3,40,4,26.25
2018-11-23T00:00:00.000+00:00,27.5,25,15,35,5bf894bffb16660022248be7,35,30.0,20,0,25.3,23,19,28.526
2018-11-24T00:00:00.000+00:00,42.5,35,13,50,5bf9e63efb1666002225f2f8,50,42.5,35,5,33.8,50,2,42.5
2018-11-24T00:00:00.000+00:00,22.5,20,15,35,5bf9e63efb1666002225f2f7,30,25.0,15,0,25.3,30,12,24.25
2018-11-25T00:00:00.000+00:00,37.5,25,13,50,5bfb3803fb166600232a99ea,50,35.0,25,5,33.3,50,3,36.667
2018-11-25T00:00:00.000+00:00,23.0,25,12,35,5bfb3803fb166600232a99e9,34,25.0,12,0,25.0,34,16,24.812
2018-11-26T00:00:00.000+00:00,42.5,35,20,50,5bfc893bfb1666002228b787,50,42.5,35,5,34.3,50,2,42.5
2018-11-26T00:00:00.000+00:00,25.0,25,12,35,5bfc893bfb1666002228b786,30,25.0,20,0,25.0,30,15,26.467
2018-11-27T00:00:00.000+00:00,35.0,35,25,50,5bfddaa2fb166600222a0c67,35,35.0,35,5,37.5,35,3,35.0
2018-11-27T00:00:00.000+00:00,27.0,28,12,34,5bfddaa2fb166600222a0c66,34,25.0,20,0,25.0,23,15,25.333
2018-11-28T00:00:00.000+00:00,25.0,28,12,34,5bff2c21fb166600232ef140,30,24.5,20,0,24.5,24,9,24.333
2018-11-29T00:00:00.000+00:00,27.5,30,20,34,5c007e08fb16660023307598,30,29.0,25,0,25.5,30,14,28.286
2018-11-30T00:00:00.000+00:00,45.0,45,25,50,5c01cf55fb1666002331ec32,50,40.0,40,5,40.5,40,5,43.0
2018-11-30T00:00:00.000+00:00,26.0,30,20,34,5c01cf55fb1666002331ec31,30,25.0,22,0,26.1,25,13,26.385
2018-12-01T00:00:00.000+00:00,25.0,25,20,30,5c0320d4fb166600222f79e7,30,25.0,20,0,26.1,30,18,24.389
2018-12-02T00:00:00.000+00:00,45.0,40,35,50,5c047288fb1666002230ef75,50,45.0,40,5,41.0,50,2,45.0
2018-12-02T00:00:00.000+00:00,25.5,24,20,31,5c047288fb1666002230ef74,31,29.0,20,0,25.8,28,16,27.625
2018-12-03T00:00:00.000+00:00,45.0,50,35,50,5c05c401fb166600233647f2,50,45.0,40,5,42.5,40,2,45.0
2018-12-03T00:00:00.000+00:00,30.0,23,20,37,5c05c401fb166600233647f1,37,30.0,23,0,26.8,37,11,30.818
2018-12-04T00:00:00.000+00:00,50.0,50,40,50,5c071523fb16660022339680,50,50.0,50,5,44.0,50,1,50.0
2018-12-04T00:00:00.000+00:00,32.5,35,20,40,5c071523fb1666002233967f,40,30.0,25,0,27.8,29,7,31.857
2018-12-05T00:00:00.000+00:00,49.0,48,40,50,5c0866a1fb1666002338f6b9,50,50.0,48,5,46.8,50,3,49.333
2018-12-05T00:00:00.000+00:00,27.5,30,15,40,5c0866a1fb1666002338f6b8,40,30.0,15,0,28.1,30,17,28.824
2018-12-06T00:00:00.000+00:00,49.0,48,40,50,5c09b8933ae3e800244e3b7f,50,50.0,48,5,47.6,50,3,49.333
2018-12-06T00:00:00.000+00:00,28.0,30,15,40,5c09b8933ae3e800244e3b7e,39,30.0,17,0,28.7,30,18,27.833
2018-12-07T00:00:00.000+00:00,32.5,30,15,40,5c0b09c53ae3e800244fa453,40,30.0,25,0,30.1,25,10,30.9
2018-12-08T00:00:00.000+00:00,34.0,28,28,50,5c0c5b2e3ae3e8002350f442,40,34.0,28,5,45.4,40,2,34.0
2018-12-08T00:00:00.000+00:00,27.5,28,15,40,5c0c5b2e3ae3e8002350f441,30,28.0,25,0,29.6,30,18,27.722
2018-12-09T00:00:00.000+00:00,50.0,50,28,50,5c0dacae3ae3e8002452aba8,50,50.0,50,5,46.4,50,2,50.0
2018-12-09T00:00:00.000+00:00,29.0,30,17,40,5c0dacae3ae3e8002452aba7,30,30.0,28,0,28.9,30,7,29.714
2018-12-10T00:00:00.000+00:00,22.5,15,15,50,5c0efe233ae3e8002353cfde,30,22.5,15,5,40.9,30,3,20.0
2018-12-10T00:00:00.000+00:00,25.0,20,20,40,5c0efe233ae3e8002353cfdd,30,28.5,20,0,28.4,29,12,27.25
2018-12-11T00:00:00.000+00:00,40.0,40,15,50,5c104fa63ae3e80023553b40,40,40.0,40,5,39.1,40,1,40.0
2018-12-11T00:00:00.000+00:00,30.5,29,20,39,5c104fa63ae3e80023553b3f,39,29.0,22,0,28.9,28,9,29.778
2018-12-12T00:00:00.000+00:00,20.0,20,15,50,5c11a1323ae3e8002356b7f8,20,20.0,20,5,33.3,20,1,20.0
2018-12-12T00:00:00.000+00:00,23.0,28,10,39,5c11a1323ae3e8002356b7f7,36,25.0,10,0,27.0,25,16,21.875
2018-12-13T00:00:00.000+00:00,35.0,30,15,40,5c12f2a53ae3e8002458f496,40,30.0,30,5,33.5,40,4,32.5
2018-12-13T00:00:00.000+00:00,25.0,29,10,39,5c12f2a53ae3e8002458f495,30,28.0,20,0,26.5,21,7,25.857
2018-12-14T00:00:00.000+00:00,30.0,35,20,40,5c1444d23ae3e8002359b444,35,30.0,25,5,29.5,25,3,30.0
2018-12-14T00:00:00.000+00:00,26.5,30,10,39,5c1444d23ae3e8002359b443,30,25.0,23,0,26.0,23,9,25.889
2018-12-15T00:00:00.000+00:00,47.0,49,20,49,5c1595ac3ae3e800245c067f,49,47.0,45,5,34.4,45,2,47.0
2018-12-15T00:00:00.000+00:00,25.5,19,10,36,5c1595ac3ae3e800245c067e,35,25.0,16,0,26.1,30,19,24.368
2018-12-16T00:00:00.000+00:00,42.5,60,25,60,5c16e72d3ae3e800235cdeb8,60,35.0,25,5,34.9,25,5,43.0
