datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-18T00:00:00.000+00:00,15.0,15,7,15,5bf1fdb8fb166600221d9326,15,15.0,15,5,,15,1,15.0
2018-11-22T00:00:00.000+00:00,17.0,17,7,17,5bf74343fb1666002223277d,17,17.0,17,5,,17,1,17.0
2018-11-22T00:00:00.000+00:00,1.0,1,1,1,5bf74343fb1666002223277c,1,1.0,1,0,,1,1,1.0
2018-11-24T00:00:00.000+00:00,2.0,2,1,2,5bf9e67ffb166600232916a7,2,2.0,2,0,,2,1,2.0
2018-12-06T00:00:00.000+00:00,1.0,1,1,2,5c09b8aa3ae3e800234e3b57,1,1.0,1,0,,1,1,1.0
2018-12-18T00:00:00.000+00:00,2.0,2,1,2,5c198a9d3ae3e8002460cbfd,2,2.0,2,0,,2,1,2.0
2018-12-21T00:00:00.000+00:00,1.0,1,1,2,5c1d7f643ae3e8002465ac9f,1,1.0,1,0,1.4,1,1,1.0
2018-12-22T00:00:00.000+00:00,14.0,14,7,17,5c1ed0a63ae3e800246754f8,14,14.0,14,5,,14,1,14.0
2018-12-23T00:00:00.000+00:00,2.0,2,1,2,5c2021d13ae3e8002468e7a4,2,2.0,2,0,1.6,2,1,2.0
2018-12-27T00:00:00.000+00:00,14.0,14,14,17,5c2568573ae3e800236e3630,14,14.0,14,5,13.4,14,1,14.0
2018-12-27T00:00:00.000+00:00,2.0,2,1,2,5c2568573ae3e800236e362f,2,2.0,2,0,1.6,2,1,2.0
2018-12-30T00:00:00.000+00:00,14.0,14,14,17,5c295c4b3ae3e80024747d17,14,14.0,14,5,14.8,14,1,14.0
2018-12-31T00:00:00.000+00:00,2.0,2,1,2,5c2aadc43ae3e80024762b2a,2,2.0,2,0,1.8,2,1,2.0
2019-01-02T00:00:00.000+00:00,15.0,15,14,15,5c2d512f3ae3e800247988b0,15,15.0,15,5,14.8,15,1,15.0
2019-01-13T00:00:00.000+00:00,2.0,2,2,2,5c3bd1a13ae3e800248c8770,2,2.0,2,0,1.8,2,1,2.0
2019-01-14T00:00:00.000+00:00,5.0,5,2,5,5c3d23063ae3e800248e5034,5,5.0,5,0,2.6,5,1,5.0
2019-01-15T00:00:00.000+00:00,1.0,1,1,5,5c3e74493ae3e80024900325,1,1.0,1,0,2.4,1,2,1.0
2019-01-18T00:00:00.000+00:00,1.0,1,1,5,5c42691c3ae3e8002392e39b,1,1.0,1,0,2.2,1,1,1.0
2019-01-26T00:00:00.000+00:00,1.0,1,1,5,5c4cf51d3ae3e80024a391ab,1,1.0,1,0,2.0,1,2,1.0
2019-01-27T00:00:00.000+00:00,1.0,1,1,1,5c4e46853ae3e80023a29ae2,1,1.0,1,0,1.8,1,2,1.0
2019-01-29T00:00:00.000+00:00,1.0,1,1,1,5c50e9883ae3e80024a8e962,1,1.0,1,0,1.0,1,1,1.0
