datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,3.0,3,2,5,5be37cfbfb166600220e8d99,4,3.0,2,0,3.5,2,8,3.125
2018-11-08T00:00:00.000+00:00,4.0,5,2,5,5be4ce24fb16660023122ea8,5,3.0,3,0,3.6,3,9,3.222
2018-11-09T00:00:00.000+00:00,7.0,5,5,15,5be61f92fb16660022110de3,9,7.0,5,3,8.2,9,2,7.0
2018-11-09T00:00:00.000+00:00,3.5,3,2,5,5be61f92fb16660022110de2,4,4.0,3,0,3.6,4,9,3.667
2018-11-10T00:00:00.000+00:00,3.0,3,2,5,5be77133fb16660022126b0b,4,3.0,2,0,3.4,3,12,3.25
2018-11-11T00:00:00.000+00:00,7.5,5,5,10,5be8c28cfb166600231676ff,10,7.5,5,3,7.7,10,2,7.5
2018-11-11T00:00:00.000+00:00,3.5,3,2,5,5be8c28cfb166600231676fe,5,3.0,2,0,3.4,5,25,3.32
2018-11-12T00:00:00.000+00:00,3.5,3,2,5,5bea140ffb1666002317e26f,5,3.0,2,0,3.5,4,16,3.312
2018-11-13T00:00:00.000+00:00,3.5,5,2,5,5beb6591fb16660023194ade,5,3.0,2,0,3.4,4,22,3.636
2018-11-14T00:00:00.000+00:00,10.0,10,5,10,5becb78efb166600231ab595,10,10.0,10,3,7.7,10,2,10.0
2018-11-14T00:00:00.000+00:00,3.5,5,2,5,5becb78efb166600231ab594,5,3.0,2,0,3.4,3,12,3.5
2018-11-15T00:00:00.000+00:00,12.5,10,5,15,5bee08dbfb166600231c184a,15,15.0,10,3,9.2,15,3,13.333
2018-11-15T00:00:00.000+00:00,3.0,3,1,5,5bee08dbfb166600231c1849,5,3.5,1,0,3.4,4,19,3.158
2018-11-16T00:00:00.000+00:00,3.5,3,1,5,5bef5aa1fb166600221aa274,5,4.0,2,0,3.4,3,20,3.8
2018-11-17T00:00:00.000+00:00,3.0,4,1,5,5bf0ac22fb166600221c1994,4,3.0,2,0,3.3,3,7,3.286
2018-11-18T00:00:00.000+00:00,9.0,9,5,15,5bf1fd11fb16660023206b82,9,9.0,9,3,9.2,9,2,9.0
2018-11-18T00:00:00.000+00:00,3.5,4,1,5,5bf1fd11fb16660023206b81,5,3.0,2,0,3.3,4,17,3.294
2018-11-19T00:00:00.000+00:00,3.5,3,2,5,5bf34f16fb1666002321e226,5,4.0,2,0,3.3,4,18,3.444
2018-11-20T00:00:00.000+00:00,3.0,2,2,5,5bf4a07ffb16660022206465,4,3.0,2,0,3.3,3,14,3.286
2018-11-21T00:00:00.000+00:00,3.0,3,3,15,5bf5f1a3fb1666002324b3b8,3,3.0,3,3,8.4,3,1,3.0
2018-11-21T00:00:00.000+00:00,4.0,3,2,5,5bf5f1a3fb1666002324b3b7,5,4.0,3,0,3.4,4,13,3.769
2018-11-22T00:00:00.000+00:00,3.0,4,1,5,5bf7430bfb1666002223204a,5,3.0,1,0,3.4,5,20,3.3
2018-11-23T00:00:00.000+00:00,3.0,3,1,5,5bf8948afb166600222483c7,5,3.0,1,0,3.3,4,22,3.5
2018-11-24T00:00:00.000+00:00,11.5,15,3,15,5bf9e60bfb1666002225ec1c,15,8.0,8,3,9.2,8,3,10.333
2018-11-24T00:00:00.000+00:00,3.5,4,1,5,5bf9e60bfb1666002225ec1b,4,3.0,3,0,3.3,3,17,3.412
2018-11-25T00:00:00.000+00:00,14.0,14,3,15,5bfb37d0fb166600232a91cf,14,14.0,14,3,10.0,14,1,14.0
2018-11-25T00:00:00.000+00:00,4.0,3,1,5,5bfb37d0fb166600232a91ce,5,3.0,3,0,3.5,4,16,3.438
2018-11-26T00:00:00.000+00:00,9.0,8,3,15,5bfc8908fb1666002228af90,10,9.0,8,3,9.3,10,2,9.0
2018-11-26T00:00:00.000+00:00,3.5,4,1,5,5bfc8908fb1666002228af8f,5,4.0,2,0,3.4,4,12,3.417
2018-11-27T00:00:00.000+00:00,13.0,13,8,15,5bfdda8afb166600222a0909,13,13.0,13,3,10.1,13,2,13.0
2018-11-27T00:00:00.000+00:00,3.5,3,2,5,5bfdda8afb166600222a0908,5,3.0,2,0,3.5,3,11,3.364
2018-11-28T00:00:00.000+00:00,10.0,10,8,14,5bff2c0afb166600232eedee,10,10.0,10,3,11.5,10,3,10.0
2018-11-28T00:00:00.000+00:00,4.0,4,2,5,5bff2c0afb166600232eeded,5,3.0,3,0,3.7,3,15,3.733
2018-11-29T00:00:00.000+00:00,4.0,4,2,5,5c007de7fb166600222cbefd,5,3.0,3,0,3.8,3,13,3.385
2018-11-30T00:00:00.000+00:00,15.0,15,8,15,5c01cf21fb1666002331e5b9,15,15.0,15,3,12.2,15,3,15.0
2018-11-30T00:00:00.000+00:00,4.0,5,2,5,5c01cf21fb1666002331e5b8,5,3.0,3,0,3.8,3,20,3.35
2018-12-01T00:00:00.000+00:00,3.5,3,2,5,5c0320aafb16660023335f16,5,3.0,2,0,3.8,3,23,3.261
2018-12-02T00:00:00.000+00:00,15.0,15,10,15,5c047273fb1666002230ec1d,15,15.0,15,3,12.4,15,1,15.0
2018-12-02T00:00:00.000+00:00,3.0,2,2,5,5c047273fb1666002230ec1c,4,3.0,2,0,3.7,4,15,3.133
2018-12-03T00:00:00.000+00:00,12.5,15,10,15,5c05c3dffb16660022323c79,15,12.5,10,3,13.1,10,6,10.833
2018-12-03T00:00:00.000+00:00,2.5,2,1,5,5c05c3dffb16660022323c78,4,3.0,1,0,3.4,3,20,2.9
2018-12-04T00:00:00.000+00:00,4.0,4,4,15,5c07150bfb1666002233932b,4,4.0,4,3,11.3,4,1,4.0
2018-12-04T00:00:00.000+00:00,4.0,3,1,5,5c07150bfb1666002233932a,5,3.0,3,0,3.4,4,16,3.5
2018-12-05T00:00:00.000+00:00,15.0,15,4,15,5c08668afb1666002338f359,15,15.0,15,3,12.3,15,1,15.0
2018-12-05T00:00:00.000+00:00,3.0,4,1,5,5c08668afb1666002338f358,4,3.0,2,0,3.2,3,19,3.0
2018-12-06T00:00:00.000+00:00,5.0,5,4,15,5c09b87b3ae3e800244e3823,5,5.0,5,3,10.3,5,2,5.0
2018-12-06T00:00:00.000+00:00,3.5,2,1,5,5c09b87b3ae3e800244e3822,5,3.0,2,0,3.2,2,15,2.867
2018-12-07T00:00:00.000+00:00,8.0,8,4,15,5c0b098f3ae3e800234f8728,8,8.0,8,3,8.9,8,1,8.0
2018-12-07T00:00:00.000+00:00,2.0,2,1,5,5c0b098f3ae3e800234f8727,3,3.0,1,0,3.0,3,13,2.538
2018-12-08T00:00:00.000+00:00,3.5,3,1,5,5c0c5b133ae3e8002350f0dc,5,3.0,2,0,3.2,3,24,3.042
2018-12-09T00:00:00.000+00:00,5.0,5,5,15,5c0dac913ae3e8002452a812,5,5.0,5,3,7.4,5,2,5.0
2018-12-09T00:00:00.000+00:00,3.5,5,1,5,5c0dac913ae3e8002452a811,5,3.0,2,0,3.1,2,17,3.353
2018-12-10T00:00:00.000+00:00,4.5,4,4,8,5c0efe0e3ae3e8002353cc5e,5,4.5,4,3,7.5,5,2,4.5
2018-12-10T00:00:00.000+00:00,3.5,2,1,5,5c0efe0e3ae3e8002353cc5d,5,3.0,2,0,3.2,3,21,2.857
2018-12-11T00:00:00.000+00:00,3.0,4,2,5,5c104f8c3ae3e800235537bb,4,3.0,2,0,3.1,3,13,2.846
2018-12-12T00:00:00.000+00:00,18.0,18,4,18,5c11a1133ae3e8002356b464,18,18.0,18,3,8.1,18,1,18.0
2018-12-12T00:00:00.000+00:00,3.5,4,2,5,5c11a1133ae3e8002356b463,5,3.0,2,0,3.4,3,10,3.2
2018-12-13T00:00:00.000+00:00,3.5,3,2,5,5c12f28e3ae3e8002458f0ef,4,3.0,3,0,3.4,4,6,3.333
2018-12-14T00:00:00.000+00:00,10.0,10,4,18,5c14449b3ae3e8002359aee6,10,10.0,10,3,9.1,10,1,10.0
2018-12-14T00:00:00.000+00:00,3.5,2,2,5,5c14449b3ae3e8002359aee5,5,3.0,2,0,3.4,4,22,3.182
2018-12-15T00:00:00.000+00:00,6.5,10,3,18,5c1595923ae3e800245c02c5,10,6.5,3,3,8.8,3,3,5.333
2018-12-15T00:00:00.000+00:00,3.5,4,2,5,5c1595923ae3e800245c02c4,5,3.0,2,0,3.4,2,23,3.087
2018-12-16T00:00:00.000+00:00,10.0,10,3,18,5c16e70f3ae3e800235cdaf6,10,10.0,10,3,9.8,10,1,10.0
2018-12-16T00:00:00.000+00:00,3.5,5,2,5,5c16e70f3ae3e800235cdaf5,5,3.5,2,0,3.5,5,12,3.583
2018-12-17T00:00:00.000+00:00,10.0,10,3,10,5c1838e73ae3e800245f2d70,10,10.0,10,3,10.9,10,1,10.0
2018-12-17T00:00:00.000+00:00,3.0,3,2,5,5c1838e73ae3e800245f2d6f,4,3.0,2,0,3.4,2,15,3.333
2018-12-18T00:00:00.000+00:00,6.0,6,3,10,5c198a153ae3e8002460bcaa,6,6.0,6,3,8.5,6,2,6.0
2018-12-18T00:00:00.000+00:00,3.0,4,2,5,5c198a153ae3e8002460bca9,4,3.0,2,0,3.3,3,8,3.0
2018-12-19T00:00:00.000+00:00,12.5,15,6,15,5c1adb8c3ae3e80023616d41,15,10.0,10,3,9.0,10,3,11.667
2018-12-19T00:00:00.000+00:00,4.0,5,2,5,5c1adb8c3ae3e80023616d40,5,3.5,3,0,3.4,4,21,3.619
2018-12-20T00:00:00.000+00:00,10.0,10,6,15,5c1c2d4a3ae3e8002362f6ff,10,10.0,10,3,9.7,10,1,10.0
2018-12-20T00:00:00.000+00:00,3.5,4,2,5,5c1c2d4a3ae3e8002362f6fe,5,3.0,2,0,3.4,3,12,3.417
2018-12-21T00:00:00.000+00:00,8.0,9,6,15,5c1d7f103ae3e8002465a035,10,7.5,6,3,9.3,6,4,7.75
2018-12-21T00:00:00.000+00:00,3.5,3,2,5,5c1d7f103ae3e8002465a034,5,3.0,2,0,3.4,2,21,3.762
2018-12-22T00:00:00.000+00:00,9.0,10,6,15,5c1ed0113ae3e80024673fd0,10,9.0,8,3,9.1,8,2,9.0
2018-12-22T00:00:00.000+00:00,3.5,2,2,5,5c1ed0113ae3e80024673fcf,5,3.0,2,0,3.5,3,12,2.833
2018-12-23T00:00:00.000+00:00,3.0,3,2,5,5c2021953ae3e8002468df68,4,3.0,2,0,3.5,3,30,3.367
2018-12-24T00:00:00.000+00:00,3.5,3,2,5,5c21730f3ae3e800246a841f,4,3.0,3,0,3.4,3,20,3.45
2018-12-25T00:00:00.000+00:00,3.5,5,2,5,5c22c48f3ae3e800246c1c73,5,4.0,2,0,3.4,3,22,3.682
2018-12-26T00:00:00.000+00:00,5.0,5,5,10,5c2416113ae3e800236c81f9,5,5.0,5,3,8.9,5,1,5.0
2018-12-26T00:00:00.000+00:00,4.0,4,2,5,5c2416113ae3e800236c81f8,5,4.0,3,0,3.5,5,13,3.692
2018-12-27T00:00:00.000+00:00,6.0,3,2,10,5c25681c3ae3e800246f729f,10,4.0,2,0,4.0,4,19,5.316
2018-12-28T00:00:00.000+00:00,10.0,10,5,10,5c26b90e3ae3e80024710edd,10,10.0,10,3,8.4,10,1,10.0
2018-12-28T00:00:00.000+00:00,3.5,3,2,10,5c26b90e3ae3e80024710edc,5,3.0,2,0,4.1,5,27,3.556
2018-12-29T00:00:00.000+00:00,9.0,10,5,10,5c280b233ae3e8002371752a,10,10.0,8,3,8.2,8,3,9.333
2018-12-29T00:00:00.000+00:00,4.0,4,2,10,5c280b233ae3e80023717529,5,4.0,3,0,4.2,4,13,3.846
2018-12-30T00:00:00.000+00:00,10.0,10,5,10,5c295c0f3ae3e80023730e13,10,10.0,10,3,8.6,10,1,10.0
2018-12-30T00:00:00.000+00:00,4.0,5,2,10,5c295c0f3ae3e80023730e12,5,4.0,3,0,4.3,3,16,3.625
2018-12-31T00:00:00.000+00:00,10.0,10,8,10,5c2aad913ae3e800247622fd,10,10.0,10,3,8.8,10,4,10.0
2018-12-31T00:00:00.000+00:00,4.0,4,2,5,5c2aad913ae3e800247622fc,5,4.0,3,0,4.3,5,12,4.167
2019-01-01T00:00:00.000+00:00,9.0,9,8,10,5c2bff663ae3e80023765c35,9,9.0,9,3,9.6,9,1,9.0
2019-01-01T00:00:00.000+00:00,3.5,2,2,5,5c2bff663ae3e80023765c34,5,4.0,2,0,3.8,4,15,3.8
2019-01-02T00:00:00.000+00:00,7.5,5,5,10,5c2d50963ae3e8002377e6b7,10,7.5,5,3,9.1,10,2,7.5
