datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-10T00:00:00.000+00:00,1.0,1,1,2,5be7713efb16660023151368,1,1.0,1,0,,1,1,1.0
2018-11-11T00:00:00.000+00:00,2.0,2,1,2,5be8c298fb1666002213c9ef,2,2.0,2,0,,2,1,2.0
2018-11-21T00:00:00.000+00:00,3.5,3,1,4,5bf5f1b5fb1666002221c4b8,4,3.5,3,0,2.1,4,3,3.333
2018-11-25T00:00:00.000+00:00,2.0,2,1,4,5bfb37effb166600232a969c,2,2.0,2,0,2.1,2,1,2.0
2018-12-09T00:00:00.000+00:00,3.0,3,2,4,5c0dac9f3ae3e800235261e8,3,3.0,3,0,2.3,3,1,3.0
2018-12-11T00:00:00.000+00:00,2.0,2,2,4,5c104f983ae3e8002455bde4,2,2.0,2,0,2.5,2,1,2.0
2018-12-16T00:00:00.000+00:00,5.0,5,2,5,5c16e71e3ae3e800245d90da,5,5.0,5,0,3.1,5,1,5.0
2018-12-17T00:00:00.000+00:00,9.0,9,2,9,5c1839023ae3e800235e6aa1,9,9.0,9,0,4.2,9,2,9.0
2018-12-18T00:00:00.000+00:00,1.0,1,1,9,5c198a433ae3e8002460c234,1,1.0,1,0,4.0,1,1,1.0
2018-12-28T00:00:00.000+00:00,2.0,2,1,9,5c26b91a3ae3e800236fbc3b,2,2.0,2,0,3.8,2,1,2.0
2018-12-31T00:00:00.000+00:00,2.0,2,1,9,5c2aad9d3ae3e8002374ab9d,2,2.0,2,0,3.8,2,1,2.0
2019-01-01T00:00:00.000+00:00,2.0,2,1,2,5c2bff813ae3e8002477cc77,2,2.0,2,0,3.2,2,1,2.0
2019-01-03T00:00:00.000+00:00,2.0,2,2,2,5c2ea2583ae3e800247b2a0e,2,2.0,2,0,1.8,2,2,2.0
2019-01-05T00:00:00.000+00:00,2.0,2,2,2,5c3145203ae3e800237ced95,2,2.0,2,0,2.0,2,1,2.0
2019-01-07T00:00:00.000+00:00,4.0,4,2,4,5c33e8a23ae3e80024820d3e,4,4.0,4,0,2.4,4,1,4.0
2019-01-10T00:00:00.000+00:00,10.0,10,10,10,5c37dcb43ae3e80023854999,10,10.0,10,3,,10,1,10.0
2019-01-12T00:00:00.000+00:00,10.0,10,10,10,5c3a802a3ae3e8002388c48f,10,10.0,10,3,,10,4,10.0
2019-01-24T00:00:00.000+00:00,2.0,2,2,4,5c4a519e3ae3e800239d52af,2,2.0,2,0,2.4,2,1,2.0
2019-02-02T00:00:00.000+00:00,2.0,2,2,4,5c562fa83ae3e80023acd66f,2,2.0,2,0,2.4,2,1,2.0
