datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-08T00:00:00.000+00:00,12.0,12,12,12,5be4cec0fb166600220fe07a,12,12.0,12,0,,12,1,12.0
2018-11-10T00:00:00.000+00:00,12.0,12,12,12,5be771bbfb16660023152837,12,12.0,12,3,,12,1,12.0
2018-11-11T00:00:00.000+00:00,12.0,12,12,12,5be8c324fb16660023168c54,12,12.0,12,0,,12,1,12.0
2018-11-12T00:00:00.000+00:00,10.0,10,10,12,5bea1518fb16660022153b09,10,10.0,10,0,,10,1,10.0
2018-11-16T00:00:00.000+00:00,11.0,12,10,12,5bef5b16fb166600231d9b71,12,11.0,10,0,,10,2,11.0
2018-11-17T00:00:00.000+00:00,13.5,13,10,14,5bf0ac9bfb166600231f0fef,14,13.5,13,0,11.7,14,2,13.5
2018-11-23T00:00:00.000+00:00,15.0,15,10,15,5bf89559fb1666002224a1c4,15,15.0,15,0,12.3,15,1,15.0
2018-11-24T00:00:00.000+00:00,10.0,10,10,15,5bf9e6acfb16660023291daa,10,10.0,10,0,11.9,10,1,10.0
2018-11-26T00:00:00.000+00:00,12.0,12,10,15,5bfc89cefb1666002228cbca,12,12.0,12,0,12.3,12,1,12.0
2018-11-27T00:00:00.000+00:00,15.0,15,10,15,5bfddae2fb166600222a16fa,15,15.0,15,0,13.1,15,1,15.0
2018-11-28T00:00:00.000+00:00,14.5,15,12,15,5bff2c9bfb166600232f02a2,15,14.5,14,3,,14,2,14.5
2018-12-02T00:00:00.000+00:00,12.0,12,10,15,5c0472d1fb1666002230fb9d,12,12.0,12,0,12.8,12,1,12.0
2018-12-03T00:00:00.000+00:00,14.0,14,12,15,5c05c44afb166600233653e4,14,14.0,14,0,12.6,14,3,14.0
2018-12-04T00:00:00.000+00:00,14.0,14,12,15,5c07156cfb1666002233a0e2,14,14.0,14,0,13.4,14,1,14.0
2018-12-08T00:00:00.000+00:00,10.0,10,10,14,5c0c5b783ae3e80024512f6e,10,10.0,10,0,13.0,10,1,10.0
2018-12-10T00:00:00.000+00:00,12.5,10,10,15,5c0efe6d3ae3e80024543f54,15,12.5,10,0,12.5,15,2,12.5
2018-12-11T00:00:00.000+00:00,11.0,11,10,15,5c1050393ae3e8002455d377,11,11.0,11,0,12.3,11,1,11.0
2018-12-12T00:00:00.000+00:00,13.0,13,10,15,5c11a17e3ae3e80024575886,13,13.0,13,0,12.1,13,1,13.0
2018-12-17T00:00:00.000+00:00,13.0,13,10,15,5c18397f3ae3e800235e7a6b,13,13.0,13,0,11.9,13,1,13.0
2018-12-19T00:00:00.000+00:00,13.5,13,11,14,5c1adbf93ae3e80024626627,14,13.0,13,0,12.6,13,3,13.333
2018-12-20T00:00:00.000+00:00,14.5,15,13,15,5c1c2e073ae3e800236311b4,15,14.5,14,0,13.0,14,2,14.5
2018-12-21T00:00:00.000+00:00,14.5,14,13,15,5c1d7f983ae3e8002364af29,15,14.0,14,0,13.7,15,3,14.333
2018-12-23T00:00:00.000+00:00,13.0,13,13,15,5c2022083ae3e8002468efe0,13,13.0,13,0,13.7,13,1,13.0
2018-12-24T00:00:00.000+00:00,15.0,15,13,15,5c2173793ae3e800246a9452,15,15.0,15,0,14.1,15,1,15.0
2018-12-25T00:00:00.000+00:00,11.0,11,11,15,5c22c54c3ae3e800236b079b,11,11.0,11,0,13.6,11,1,11.0
2018-12-26T00:00:00.000+00:00,15.0,15,11,15,5c24167d3ae3e800236c923e,15,15.0,15,0,13.7,15,1,15.0
2018-12-27T00:00:00.000+00:00,12.0,12,11,15,5c25688f3ae3e800236e3e3f,12,12.0,12,0,13.2,12,1,12.0
2018-12-29T00:00:00.000+00:00,5.0,5,5,15,5c280b913ae3e800237185c1,5,5.0,5,3,,5,1,5.0
2018-12-30T00:00:00.000+00:00,13.5,12,11,15,5c295c7f3ae3e80024748550,15,12.0,12,0,13.3,15,3,13.0
2019-01-01T00:00:00.000+00:00,13.0,13,12,15,5c2bfff73ae3e8002477dd54,13,13.0,13,0,12.9,13,1,13.0
2019-01-03T00:00:00.000+00:00,14.0,14,12,15,5c2ea2eb3ae3e8002379a139,14,14.0,14,0,13.5,14,1,14.0
2019-01-04T00:00:00.000+00:00,13.5,12,12,15,5c2ff4983ae3e800237b5422,15,13.5,12,0,13.2,15,2,13.5
2019-01-05T00:00:00.000+00:00,17.5,20,12,20,5c3145833ae3e800237cfd29,20,20.0,15,0,14.3,15,3,18.333
2019-01-06T00:00:00.000+00:00,15.0,15,12,20,5c3297603ae3e800237ec011,15,15.0,15,0,14.6,15,1,15.0
2019-01-07T00:00:00.000+00:00,19.5,20,12,20,5c33e8f83ae3e80024821c8b,20,19.5,19,0,15.9,19,2,19.5
