datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-10T00:00:00.000+00:00,1.0,1,1,1,5be77170fb16660022127403,1,1.0,1,0,,1,1,1.0
2018-11-15T00:00:00.000+00:00,1.5,2,1,2,5bee08fbfb16660022193bc4,2,1.5,1,0,,1,2,1.5
2018-11-18T00:00:00.000+00:00,2.0,2,1,2,5bf1fd58fb166600221d8896,2,2.0,2,0,,2,1,2.0
2018-11-19T00:00:00.000+00:00,1.0,1,1,2,5bf34f39fb166600221efd25,1,1.0,1,0,1.3,1,1,1.0
2018-11-23T00:00:00.000+00:00,1.0,1,1,2,5bf894d8fb16660022248f96,1,1.0,1,0,1.3,1,1,1.0
2018-11-27T00:00:00.000+00:00,2.0,2,1,2,5bfddaa3fb166600232d779a,2,2.0,2,0,1.5,2,1,2.0
2018-11-28T00:00:00.000+00:00,4.0,4,1,4,5bff2c38fb166600222b6313,4,4.0,4,0,2.0,4,1,4.0
2018-11-29T00:00:00.000+00:00,2.0,2,1,4,5c007e0dfb166600222cc3aa,2,2.0,2,0,2.0,2,1,2.0
2018-11-30T00:00:00.000+00:00,2.0,2,2,4,5c01cf6cfb166600222e12c5,2,2.0,2,0,2.2,2,1,2.0
2018-12-02T00:00:00.000+00:00,2.0,2,2,4,5c04729bfb1666002334df81,2,2.0,2,0,2.4,2,1,2.0
2018-12-06T00:00:00.000+00:00,1.0,1,1,2,5c09b8973ae3e800234e3819,1,1.0,1,0,2.2,1,1,1.0
2018-12-09T00:00:00.000+00:00,2.0,2,1,2,5c0dacb03ae3e8002352647c,2,2.0,2,0,1.8,2,2,2.0
2018-12-10T00:00:00.000+00:00,3.0,3,1,3,5c0efe263ae3e80024543448,3,3.0,3,0,2.0,3,2,3.0
2018-12-15T00:00:00.000+00:00,2.5,2,1,3,5c1595af3ae3e800235b48b5,3,2.5,2,0,2.1,3,3,2.333
2018-12-17T00:00:00.000+00:00,2.5,2,2,3,5c18391e3ae3e800245f353d,3,2.5,2,0,2.2,3,2,2.5
2018-12-18T00:00:00.000+00:00,1.5,1,1,3,5c198a7c3ae3e800235fe6af,2,1.0,1,0,2.3,1,3,1.333
2018-12-21T00:00:00.000+00:00,10.0,10,10,10,5c1d7f4a3ae3e8002465a8ac,10,10.0,10,3,,10,1,10.0
2018-12-21T00:00:00.000+00:00,1.0,1,1,3,5c1d7f4a3ae3e8002465a8ab,1,1.0,1,0,2.1,1,2,1.0
2018-12-22T00:00:00.000+00:00,2.0,2,1,3,5c1ed0723ae3e80024674d60,2,2.0,2,0,1.9,2,1,2.0
2018-12-27T00:00:00.000+00:00,4.0,4,1,4,5c25683c3ae3e800236e3245,4,4.0,4,0,2.2,4,1,4.0
