datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,34.0,40,11,40,5be37d1ffb1666002310d6de,40,29.0,28,5,21.7,29,4,31.5
2018-11-07T00:00:00.000+00:00,13.5,15,6,17,5be37d1ffb1666002310d6dd,15,14.0,12,0,11.9,14,35,14.0
2018-11-08T00:00:00.000+00:00,25.0,30,15,40,5be4ce74fb16660023123b0f,30,25.0,20,5,24.9,20,3,26.667
2018-11-08T00:00:00.000+00:00,14.0,15,7,17,5be4ce74fb16660023123b0e,15,15.0,13,0,12.7,14,17,14.647
2018-11-09T00:00:00.000+00:00,27.5,35,20,40,5be61fb2fb16660023139b4a,35,27.0,20,5,26.4,21,6,27.5
2018-11-09T00:00:00.000+00:00,14.0,10,9,19,5be61fb2fb16660023139b49,19,14.0,9,0,13.4,13,45,13.089
2018-11-10T00:00:00.000+00:00,24.5,34,15,40,5be77171fb16660022127432,34,24.5,15,5,27.0,20,4,24.5
2018-11-10T00:00:00.000+00:00,15.0,15,9,20,5be77171fb16660022127431,20,15.0,10,0,14.0,18,63,14.841
2018-11-11T00:00:00.000+00:00,26.0,35,15,35,5be8c2b8fb1666002213cec2,35,30.0,17,5,27.4,25,12,26.833
2018-11-11T00:00:00.000+00:00,15.0,13,8,22,5be8c2b8fb1666002213cec1,22,15.0,8,0,14.3,20,58,15.983
2018-11-12T00:00:00.000+00:00,35.0,20,15,50,5bea149cfb16660022152d6f,50,31.5,20,5,27.6,25,4,33.25
2018-11-12T00:00:00.000+00:00,17.0,18,8,22,5bea149cfb16660022152d6e,20,19.0,14,0,15.0,20,40,17.8
2018-11-13T00:00:00.000+00:00,37.5,40,15,50,5beb65bafb166600221678a0,40,39.5,35,5,30.1,39,4,38.5
2018-11-13T00:00:00.000+00:00,18.5,18,8,22,5beb65bafb1666002216789f,20,19.0,17,0,15.9,20,37,18.973
2018-11-14T00:00:00.000+00:00,32.5,18,15,50,5becb7c6fb1666002217e7f1,50,27.5,15,5,31.1,35,9,28.667
2018-11-14T00:00:00.000+00:00,18.5,20,8,22,5becb7c6fb1666002217e7f0,20,20.0,17,0,16.8,17,29,19.483
2018-11-15T00:00:00.000+00:00,32.5,35,15,50,5bee08fdfb16660022193bf6,50,25.0,15,5,32.7,50,5,29.2
2018-11-15T00:00:00.000+00:00,15.0,20,10,20,5bee08fdfb16660022193bf5,20,15.0,10,0,16.8,18,58,15.069
2018-11-16T00:00:00.000+00:00,29.0,30,15,50,5bef5ac4fb166600231d911c,35,30.0,23,5,33.3,30,10,29.3
2018-11-16T00:00:00.000+00:00,17.0,18,10,20,5bef5ac4fb166600231d911b,20,18.0,14,0,17.2,15,65,17.215
2018-11-17T00:00:00.000+00:00,20.0,30,10,50,5bf0ac4afb166600231f0584,30,30.0,10,5,30.3,30,4,25.0
2018-11-17T00:00:00.000+00:00,19.0,20,10,21,5bf0ac4afb166600231f0583,21,20.0,17,0,17.6,19,52,19.154
