datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-08T00:00:00.000+00:00,60.0,60,40,77,5be4ce74fb16660023123b25,60,60.0,60,10,,60,1,60.0
2018-11-09T00:00:00.000+00:00,55.5,36,36,77,5be61fb3fb16660023139b65,75,55.5,36,10,,75,3,62.0
2018-11-10T00:00:00.000+00:00,70.0,69,36,77,5be77171fb1666002212744d,71,70.0,69,10,61.8,71,3,70.0
2018-11-12T00:00:00.000+00:00,46.5,23,23,75,5bea149dfb16660022152d87,70,52.5,23,10,58.1,70,4,49.5
2018-11-13T00:00:00.000+00:00,82.0,90,23,90,5beb65bbfb166600221678b9,90,82.0,74,10,62.8,74,2,82.0
2018-11-14T00:00:00.000+00:00,80.0,79,23,95,5becb7c7fb1666002217e808,95,79.0,65,10,66.8,65,3,79.667
2018-11-15T00:00:00.000+00:00,70.0,70,23,95,5bee08fdfb16660022193c11,70,70.0,70,10,69.7,70,2,70.0
2018-11-15T00:00:00.000+00:00,3.5,3,3,4,5bee08fdfb16660022193c10,4,3.5,3,0,,4,2,3.5
2018-11-16T00:00:00.000+00:00,71.5,65,65,95,5bef5ac5fb166600231d9137,78,72.5,65,10,70.0,75,4,72.0
2018-11-16T00:00:00.000+00:00,4.0,4,3,4,5bef5ac5fb166600231d9136,4,4.0,4,0,,4,1,4.0
2018-11-17T00:00:00.000+00:00,74.0,70,65,95,5bf0ac4bfb166600231f05a0,78,74.0,70,10,75.5,74,3,74.0
2018-11-18T00:00:00.000+00:00,70.0,70,65,78,5bf1fd5afb166600221d88e5,75,69.5,65,10,73.1,75,4,69.75
2018-11-19T00:00:00.000+00:00,66.5,73,60,78,5bf34f3cfb166600221efd73,73,70.0,60,10,70.4,70,3,67.667
2018-11-20T00:00:00.000+00:00,80.0,80,60,80,5bf4a09bfb1666002323505d,80,80.0,80,10,72.4,80,1,80.0
2018-11-20T00:00:00.000+00:00,3.5,4,3,4,5bf4a09bfb1666002323505c,4,3.5,3,0,,3,2,3.5
2018-11-22T00:00:00.000+00:00,67.0,72,39,95,5bf7432efb166600232629a1,95,60.0,39,10,71.5,39,5,65.2
2018-11-23T00:00:00.000+00:00,65.0,75,30,100,5bf894dafb16660022248fe1,100,75.0,30,10,69.7,30,5,66.8
2018-11-24T00:00:00.000+00:00,72.5,75,30,100,5bf9e657fb16660023291121,75,72.5,70,10,70.2,70,2,72.5
2018-11-25T00:00:00.000+00:00,4.0,4,3,4,5bfb3825fb166600232a9e97,4,4.0,4,0,3.6,4,11,4.0
2018-11-26T00:00:00.000+00:00,80.0,80,30,100,5bfc899afb166600232c0ec2,80,80.0,80,10,72.9,80,1,80.0
2018-11-27T00:00:00.000+00:00,55.0,60,30,100,5bfddaa4fb166600232d77e4,60,60.0,50,10,67.9,60,3,56.667
2018-11-28T00:00:00.000+00:00,79.5,89,50,89,5bff2c3afb166600222b635e,89,79.5,70,10,70.4,70,2,79.5
2018-11-29T00:00:00.000+00:00,98.0,98,50,98,5c007e0ffb166600222cc3f8,98,98.0,98,10,77.0,98,1,98.0
2018-11-29T00:00:00.000+00:00,4.0,4,3,4,5c007e0ffb166600222cc3f7,4,4.0,4,0,3.8,4,1,4.0
2018-11-30T00:00:00.000+00:00,75.0,75,50,98,5c01cf6efb166600222e130e,75,75.0,75,10,77.5,75,1,75.0
2018-12-01T00:00:00.000+00:00,74.5,75,70,98,5c0320edfb166600233368e2,75,74.5,74,10,76.4,74,3,74.667
2018-12-02T00:00:00.000+00:00,60.5,70,31,98,5c04729dfb1666002334dfcc,90,65.0,31,10,77.5,31,4,62.75
2018-12-02T00:00:00.000+00:00,2.0,2,2,4,5c04729dfb1666002334dfcb,2,2.0,2,0,3.5,2,1,2.0
2018-12-03T00:00:00.000+00:00,83.5,89,31,90,5c05c412fb16660022324482,89,79.0,78,10,78.3,79,3,82.0
2018-12-05T00:00:00.000+00:00,64.5,89,31,90,5c0866a5fb1666002235059f,89,64.5,40,10,71.6,40,2,64.5
2018-12-07T00:00:00.000+00:00,79.0,79,31,90,5c0b09cf3ae3e800234f8f6d,79,79.0,79,10,72.4,79,1,79.0
2018-12-08T00:00:00.000+00:00,94.0,94,40,94,5c0c5b333ae3e800245124c3,94,94.0,94,10,76.3,94,1,94.0
2018-12-11T00:00:00.000+00:00,80.0,80,40,94,5c104fbf3ae3e80023553f7f,80,80.0,80,10,80.2,80,1,80.0
2018-12-14T00:00:00.000+00:00,80.0,80,79,94,5c1444d83ae3e800245a8ae2,80,80.0,80,10,79.5,80,1,80.0
2018-12-15T00:00:00.000+00:00,85.0,70,70,100,5c1595b13ae3e800235b4908,100,85.0,70,10,83.6,100,2,85.0
2018-12-16T00:00:00.000+00:00,45.0,40,40,100,5c16e7313ae3e800245d93e0,50,45.0,40,10,76.8,50,2,45.0
2018-12-17T00:00:00.000+00:00,82.5,75,40,100,5c1839213ae3e800245f359b,90,75.0,75,10,74.5,90,3,80.0
2018-12-17T00:00:00.000+00:00,2.0,2,2,4,5c1839213ae3e800245f359a,2,2.0,2,0,3.1,2,1,2.0
2018-12-18T00:00:00.000+00:00,66.5,93,40,100,5c198a7e3ae3e800235fe706,93,66.5,40,10,71.8,40,2,66.5
2018-12-19T00:00:00.000+00:00,64.5,50,40,93,5c1adbae3ae3e80024625a71,79,70.0,50,10,68.7,79,3,66.333
2018-12-20T00:00:00.000+00:00,86.5,93,40,93,5c1c2d823ae3e8002362ff70,93,86.5,80,10,69.0,80,2,86.5
2018-12-21T00:00:00.000+00:00,75.0,50,40,100,5c1d7f4d3ae3e8002465a90b,100,75.0,50,10,75.0,60,5,72.6
2018-12-22T00:00:00.000+00:00,2.0,2,2,4,5c1ed0743ae3e80024674dbf,2,2.0,2,0,2.8,2,1,2.0
2018-12-23T00:00:00.000+00:00,50.0,35,35,100,5c2021b73ae3e8002367c67b,65,50.0,35,10,68.5,65,2,50.0
2018-12-24T00:00:00.000+00:00,70.0,90,35,100,5c2173353ae3e80023696839,90,70.0,50,10,69.2,50,2,70.0
2018-12-25T00:00:00.000+00:00,69.5,69,35,100,5c22c4d23ae3e800236af6c0,70,70.0,69,10,70.2,70,3,69.667
2018-12-26T00:00:00.000+00:00,65.0,50,35,90,5c2416333ae3e800246dc2bf,80,65.0,50,10,65.9,80,2,65.0
2018-12-27T00:00:00.000+00:00,70.0,70,50,90,5c25683e3ae3e800236e32a3,70,70.0,70,10,64.9,70,2,70.0
2018-12-28T00:00:00.000+00:00,60.0,80,40,80,5c26b9333ae3e800236fbf44,80,75.0,40,10,66.9,40,3,65.0
2018-12-29T00:00:00.000+00:00,72.5,70,40,80,5c280b453ae3e8002472d1de,75,70.0,70,10,67.4,75,3,71.667
2018-12-30T00:00:00.000+00:00,65.0,65,40,80,5c295c323ae3e80024747987,65,65.0,65,10,66.5,65,1,65.0
2018-12-31T00:00:00.000+00:00,89.0,89,40,89,5c2aadaf3ae3e8002374aec2,89,89.0,89,10,71.3,89,1,89.0
2018-12-31T00:00:00.000+00:00,5.0,5,2,5,5c2aadaf3ae3e8002374aec1,5,5.0,5,0,3.0,5,1,5.0
2019-01-01T00:00:00.000+00:00,77.5,75,65,89,5c2bffa93ae3e80023766625,80,77.5,75,10,72.8,80,2,77.5
2019-01-03T00:00:00.000+00:00,62.5,75,50,89,5c2ea2873ae3e800237993f4,75,62.5,50,10,73.3,50,2,62.5
2019-01-04T00:00:00.000+00:00,45.0,45,45,89,5c2ff43f3ae3e800247ce92c,45,45.0,45,10,67.8,45,1,45.0
2019-01-05T00:00:00.000+00:00,50.0,50,45,80,5c3145343ae3e800237cf0bb,50,50.0,50,10,64.8,50,1,50.0
2019-01-05T00:00:00.000+00:00,2.0,2,2,5,5c3145343ae3e800237cf0ba,2,2.0,2,0,2.6,2,1,2.0
2019-01-06T00:00:00.000+00:00,75.0,78,45,80,5c3297073ae3e800248050a1,80,78.0,70,10,62.0,70,3,76.0
2019-01-07T00:00:00.000+00:00,2.0,2,2,5,5c33e8b33ae3e8002482106c,2,2.0,2,0,2.6,2,1,2.0
2019-01-08T00:00:00.000+00:00,79.0,80,45,80,5c3539b03ae3e8002381f3fc,80,80.0,78,10,62.3,78,3,79.333
2019-01-09T00:00:00.000+00:00,80.0,90,50,90,5c368b933ae3e8002383b397,90,79.5,70,10,65.8,87,4,79.75
2019-01-11T00:00:00.000+00:00,78.0,75,70,90,5c392ece3ae3e80023870f7a,81,75.0,75,10,72.4,81,3,77.0
2019-01-12T00:00:00.000+00:00,75.0,75,70,90,5c3a803e3ae3e8002388c7e8,80,75.0,70,10,77.4,75,4,75.0
2019-01-13T00:00:00.000+00:00,57.5,70,30,90,5c3bd1483ae3e800238a712c,85,60.0,30,10,73.9,30,4,58.75
2019-01-13T00:00:00.000+00:00,2.0,2,2,5,5c3bd1483ae3e800238a712b,2,2.0,2,0,2.6,2,1,2.0
