datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-12-20T00:00:00.000+00:00,95.0,120,70,120,5c1c2e233ae3e800236315b7,120,95.0,70,3,,70,2,95.0
2018-12-20T00:00:00.000+00:00,35.0,40,30,40,5c1c2e233ae3e800236315b6,40,32.5,30,0,,30,5,34.0
2018-12-21T00:00:00.000+00:00,30.0,30,30,120,5c1d7fb73ae3e8002465b85b,30,30.0,30,3,,30,1,30.0
2018-12-21T00:00:00.000+00:00,27.5,30,15,40,5c1d7fb73ae3e8002465b85a,40,25.0,15,0,,15,33,24.303
2018-12-22T00:00:00.000+00:00,22.5,30,15,120,5c1ed1203ae3e80023663fc8,30,19.0,15,3,,19,3,21.333
2018-12-22T00:00:00.000+00:00,20.0,20,15,40,5c1ed1203ae3e80023663fc7,22,20.0,18,0,,20,27,19.852
2018-12-23T00:00:00.000+00:00,17.5,20,15,40,5c2022283ae3e8002468f443,20,18.0,15,0,,18,24,17.958
2018-12-24T00:00:00.000+00:00,25.0,25,15,120,5c2173963ae3e800246a98ad,25,25.0,25,3,,25,1,25.0
2018-12-24T00:00:00.000+00:00,17.0,19,13,40,5c2173963ae3e800246a98ac,21,18.0,13,0,23.4,18,16,18.0
2018-12-25T00:00:00.000+00:00,35.0,40,15,40,5c22c58a3ae3e800246c3c87,40,35.0,30,3,41.5,30,2,35.0
2018-12-25T00:00:00.000+00:00,19.0,20,13,25,5c22c58a3ae3e800246c3c86,25,20.0,13,0,20.2,18,27,18.926
2018-12-26T00:00:00.000+00:00,30.0,30,15,40,5c2416c43ae3e800246dd638,30,30.0,30,3,28.5,30,1,30.0
2018-12-26T00:00:00.000+00:00,19.5,20,13,25,5c2416c43ae3e800246dd637,20,20.0,19,0,18.6,20,8,19.625
2018-12-27T00:00:00.000+00:00,12.5,15,10,40,5c2568b03ae3e800236e42a4,15,12.5,10,3,25.0,10,3,11.667
2018-12-27T00:00:00.000+00:00,20.0,22,13,25,5c2568b03ae3e800236e42a3,25,20.0,15,0,18.6,18,28,20.179
2018-12-28T00:00:00.000+00:00,47.5,50,10,50,5c26b9a13ae3e800247123f6,50,50.0,45,3,30.0,45,3,48.333
2018-12-28T00:00:00.000+00:00,20.5,20,13,25,5c26b9a13ae3e800247123f5,21,20.0,20,0,19.2,20,12,20.083
2018-12-29T00:00:00.000+00:00,45.0,45,10,50,5c280bbb3ae3e80023718a4e,45,45.0,45,3,34.0,45,1,45.0
2018-12-29T00:00:00.000+00:00,18.5,19,15,25,5c280bbb3ae3e80023718a4d,20,19.0,17,0,19.5,18,23,19.087
2018-12-30T00:00:00.000+00:00,18.0,20,14,25,5c295cc33ae3e80023732771,22,20.0,14,0,19.3,15,24,19.375
2018-12-31T00:00:00.000+00:00,50.0,50,10,50,5c2aae103ae3e800247637fa,50,50.0,50,3,37.0,50,1,50.0
2018-12-31T00:00:00.000+00:00,20.0,15,14,25,5c2aae103ae3e800247637f9,25,19.0,15,0,19.4,19,27,18.852
2019-01-01T00:00:00.000+00:00,20.0,20,14,25,5c2c00143ae3e8002477e1bb,22,20.0,18,0,19.4,20,11,20.0
2019-01-02T00:00:00.000+00:00,17.5,20,10,25,5c2d51b13ae3e800247998ba,25,15.0,10,0,18.8,14,14,15.714
2019-01-03T00:00:00.000+00:00,16.5,18,10,25,5c2ea33d3ae3e800247b45bf,20,20.0,13,0,18.4,19,13,17.923
2019-01-04T00:00:00.000+00:00,45.0,45,45,50,5c2ff4b83ae3e800237b58bf,45,45.0,45,3,40.0,45,1,45.0
2019-01-04T00:00:00.000+00:00,14.0,18,10,25,5c2ff4b83ae3e800237b58be,18,15.0,10,0,17.6,10,18,14.389
2019-01-05T00:00:00.000+00:00,19.0,18,10,25,5c3145a53ae3e800237d01df,20,20.0,18,0,17.4,20,10,19.4
