datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,2.0,2,1,3,5be37d08fb1666002310d37a,2,2.0,2,0,1.7,2,4,2.0
2018-11-08T00:00:00.000+00:00,2.0,2,1,3,5be4ce39fb1666002312326f,3,2.0,1,0,1.8,2,11,1.636
2018-11-09T00:00:00.000+00:00,9.0,9,5,10,5be61f98fb166600231397d8,9,9.0,9,5,8.8,9,1,9.0
2018-11-09T00:00:00.000+00:00,1.5,1,1,3,5be61f98fb166600231397d7,2,2.0,1,0,1.8,1,10,1.7
2018-11-10T00:00:00.000+00:00,1.5,1,1,3,5be77138fb16660023151286,2,2.0,1,0,1.7,1,14,1.714
2018-11-11T00:00:00.000+00:00,9.0,9,5,10,5be8c292fb1666002213c906,9,9.0,9,5,9.0,9,1,9.0
2018-11-11T00:00:00.000+00:00,3.0,2,1,5,5be8c292fb1666002213c905,5,2.0,1,0,2.0,2,10,2.2
2018-11-12T00:00:00.000+00:00,3.0,2,1,5,5bea1431fb166600221522df,4,2.0,2,0,2.2,2,10,2.2
2018-11-13T00:00:00.000+00:00,2.0,2,1,5,5beb659afb1666002216751d,3,2.0,1,0,2.2,2,13,2.0
2018-11-14T00:00:00.000+00:00,9.5,10,9,10,5becb7aafb1666002217e495,10,10.0,9,5,9.0,10,3,9.667
2018-11-14T00:00:00.000+00:00,3.0,2,1,5,5becb7aafb1666002217e494,5,2.0,1,0,2.5,2,17,2.118
2018-11-15T00:00:00.000+00:00,9.0,5,5,13,5bee08e3fb1666002219388d,13,9.0,5,5,9.3,13,2,9.0
2018-11-15T00:00:00.000+00:00,2.0,1,1,5,5bee08e3fb1666002219388c,3,1.5,1,0,2.6,1,8,2.0
2018-11-16T00:00:00.000+00:00,7.5,10,5,13,5bef5aa8fb166600231d8d98,10,10.0,5,5,8.8,5,5,8.0
2018-11-16T00:00:00.000+00:00,1.5,2,1,5,5bef5aa8fb166600231d8d97,2,1.0,1,0,2.3,1,10,1.4
2018-11-17T00:00:00.000+00:00,7.0,10,4,13,5bf0ac2efb166600231f01e2,10,7.0,4,5,8.4,4,2,7.0
