datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,9.5,10,9,25,5be37d4efb166600220e99b0,10,10.0,9,19.6,9,3,9.667
2018-11-08T00:00:00.000+00:00,10.0,10,9,25,5be4ceb7fb166600231243f6,10,10.0,10,17.2,10,1,10.0
2018-11-09T00:00:00.000+00:00,14.5,19,9,20,5be62000fb16660022111a16,19,14.0,10,15.2,14,3,14.333
2018-11-10T00:00:00.000+00:00,12.0,14,9,19,5be771b2fb16660022127e4b,14,10.0,10,13.1,13,7,11.143
2018-11-11T00:00:00.000+00:00,10.0,10,10,19,5be8c325fb1666002213de17,10,10.0,10,11.2,10,3,10.0
2018-11-12T00:00:00.000+00:00,15.0,15,10,19,5bea1501fb1666002317faf3,15,15.0,15,12.3,15,2,15.0
2018-11-13T00:00:00.000+00:00,15.0,20,10,20,5beb6611fb16660023195725,20,10.0,10,13.3,20,5,14.0
2018-11-14T00:00:00.000+00:00,12.0,14,10,20,5becb7fbfb1666002217ef0e,14,12.0,10,12.8,10,2,12.0
2018-11-15T00:00:00.000+00:00,14.0,15,10,20,5bee0979fb16660022194852,15,14.5,13,13.2,15,4,14.25
2018-11-16T00:00:00.000+00:00,9.0,10,8,20,5bef5b0cfb166600221aaf3e,10,9.5,8,13.0,10,6,9.333
2018-11-17T00:00:00.000+00:00,10.5,11,8,15,5bf0ac8ffb166600221c2671,12,10.0,9,12.1,10,5,10.4
2018-11-18T00:00:00.000+00:00,13.0,18,8,18,5bf1fe0efb166600221d9dc7,18,13.0,8,11.7,11,7,12.857
2018-11-19T00:00:00.000+00:00,12.5,14,8,18,5bf34f7cfb1666002321eee1,15,12.0,10,11.8,15,5,12.6
2018-11-20T00:00:00.000+00:00,12.0,10,8,18,5bf4a0d6fb166600222070db,14,10.0,10,11.4,10,7,11.143
2018-11-21T00:00:00.000+00:00,12.5,13,8,18,5bf5f24efb1666002324cafe,13,12.5,12,12.1,12,2,12.5
2018-11-22T00:00:00.000+00:00,15.0,15,10,15,5bf7436cfb1666002326323c,15,15.0,15,13.0,15,1,15.0
2018-11-23T00:00:00.000+00:00,13.0,14,10,15,5bf8954ffb1666002327a5c0,14,12.0,12,13.0,12,3,12.667
2018-11-24T00:00:00.000+00:00,12.0,12,12,15,5bf9e6b3fb16660023291ec8,12,12.0,12,12.9,12,3,12.0
2018-11-25T00:00:00.000+00:00,13.5,14,12,15,5bfb3854fb166600232aa5ad,15,14.0,12,13.2,13,6,13.833
2018-11-26T00:00:00.000+00:00,15.0,18,10,20,5bfc89c6fb166600232c15cd,20,16.5,10,13.7,20,8,15.75
2018-11-27T00:00:00.000+00:00,14.0,13,10,20,5bfddadafb166600232d807e,15,14.0,13,13.5,15,3,14.0
2018-11-28T00:00:00.000+00:00,16.0,15,10,20,5bff2c91fb166600222b6fec,20,15.0,12,14.1,15,9,15.556
2018-11-29T00:00:00.000+00:00,15.0,15,10,20,5c007e42fb16660023307eb0,15,15.0,15,14.7,15,1,15.0
2018-11-30T00:00:00.000+00:00,12.5,10,10,20,5c01cfbffb166600222e1f77,15,12.5,10,14.5,15,2,12.5
2018-12-01T00:00:00.000+00:00,16.0,22,10,22,5c032140fb1666002333746a,22,15.0,10,14.7,15,9,16.111
2018-12-02T00:00:00.000+00:00,15.0,17,10,22,5c0472c7fb1666002334e6f4,19,15.0,11,14.9,19,7,15.857
2018-12-04T00:00:00.000+00:00,15.0,10,10,22,5c071566fb1666002337a793,20,15.0,10,14.7,15,5,16.0
2018-12-05T00:00:00.000+00:00,16.0,16,10,22,5c086702fb1666002339045b,16,16.0,16,14.9,16,1,16.0
2018-12-06T00:00:00.000+00:00,12.5,15,10,20,5c09b8d23ae3e800244e44ca,15,10.0,10,14.9,10,5,12.0
2018-12-07T00:00:00.000+00:00,13.5,12,10,20,5c0b0a353ae3e800234f9dc8,15,14.0,12,14.4,15,5,14.0
2018-12-08T00:00:00.000+00:00,13.0,12,10,16,5c0c5b713ae3e8002350fdbb,14,13.0,12,14.0,14,2,13.0
2018-12-10T00:00:00.000+00:00,9.5,9,9,15,5c0efe663ae3e8002353d997,10,9.5,9,12.9,10,2,9.5
2018-12-11T00:00:00.000+00:00,11.5,13,9,15,5c10502a3ae3e80023554db2,13,11.5,10,12.0,10,2,11.5
2018-12-12T00:00:00.000+00:00,15.0,15,9,15,5c11a1863ae3e800245759a8,15,15.0,15,12.5,15,1,15.0
2018-12-13T00:00:00.000+00:00,13.0,11,9,15,5c12f3263ae3e800235830e4,15,13.0,11,12.4,13,4,13.0
2018-12-14T00:00:00.000+00:00,12.0,13,10,15,5c1445163ae3e800245a941c,13,12.0,11,12.2,11,2,12.0
2018-12-15T00:00:00.000+00:00,10.0,10,10,15,5c1595f53ae3e800245c10c4,10,10.0,10,12.3,10,2,10.0
2018-12-16T00:00:00.000+00:00,11.5,10,10,15,5c16e7793ae3e800235ce8e8,13,11.0,10,12.3,13,3,11.333
2018-12-17T00:00:00.000+00:00,12.0,12,10,13,5c1839793ae3e800245f4368,12,12.0,12,11.7,12,2,12.0
2018-12-18T00:00:00.000+00:00,9.0,8,8,13,5c198b263ae3e800235ff635,10,8.5,8,10.9,9,4,8.75
2018-12-19T00:00:00.000+00:00,9.0,10,8,13,5c1adbf13ae3e80023617b74,10,10.0,8,10.3,8,3,9.333
2018-12-20T00:00:00.000+00:00,14.0,20,8,20,5c1c2dfd3ae3e80024641d10,20,16.0,8,11.1,10,8,15.125
2018-12-21T00:00:00.000+00:00,12.5,7,7,20,5c1d7f843ae3e8002465b165,18,14.5,7,11.3,18,4,13.5
2018-12-22T00:00:00.000+00:00,14.5,15,7,20,5c1ed0ed3ae3e8002366385c,15,14.5,14,11.8,15,4,14.5
2018-12-23T00:00:00.000+00:00,16.0,18,7,20,5c2022023ae3e8002367d06f,18,15.0,14,13.2,14,3,15.667
2018-12-24T00:00:00.000+00:00,16.5,10,7,23,5c2173733ae3e80023697202,23,14.0,10,14.7,20,7,14.571
2018-12-25T00:00:00.000+00:00,10.0,10,10,23,5c22c5453ae3e800246c327f,10,10.0,10,13.9,10,1,10.0
2018-12-26T00:00:00.000+00:00,15.0,10,10,23,5c2416853ae3e800236c9375,20,15.0,10,14.4,14,7,14.857
2018-12-27T00:00:00.000+00:00,10.0,10,9,23,5c2568893ae3e800246f8108,11,10.0,9,13.5,9,3,10.0
2018-12-28T00:00:00.000+00:00,11.5,15,8,20,5c26b97a3ae3e800236fc942,15,11.5,8,12.6,8,2,11.5
2018-12-30T00:00:00.000+00:00,10.0,10,8,20,5c295c783ae3e80023731cf0,10,10.0,10,11.3,10,1,10.0
2018-12-31T00:00:00.000+00:00,13.0,13,8,15,5c2aadee3ae3e8002374b8ac,13,13.0,13,11.9,13,1,13.0
2019-01-03T00:00:00.000+00:00,9.0,9,8,15,5c2ea2f53ae3e8002379a274,9,9.0,9,10.7,9,1,9.0
2019-01-04T00:00:00.000+00:00,15.0,15,9,15,5c2ff48a3ae3e800247cf352,15,15.0,15,11.7,15,1,15.0
2019-01-05T00:00:00.000+00:00,9.0,9,9,15,5c31457d3ae3e800247e9854,9,9.0,9,11.2,9,1,9.0
2019-01-06T00:00:00.000+00:00,10.5,8,8,15,5c3297693ae3e800237ec14d,13,10.0,8,11.3,11,5,10.0
2019-01-07T00:00:00.000+00:00,10.0,10,7,15,5c33e8f03ae3e800238063e7,13,10.0,7,10.7,7,5,10.4
2019-01-08T00:00:00.000+00:00,9.5,9,7,13,5c3539f43ae3e8002381fe50,10,9.0,9,10.8,10,3,9.333
2019-01-09T00:00:00.000+00:00,14.5,15,7,20,5c368c033ae3e8002383c1ce,20,16.0,9,10.7,20,4,15.25
2019-01-10T00:00:00.000+00:00,11.0,15,7,20,5c37dd6c3ae3e800238564df,15,11.0,7,11.1,7,5,11.6
2019-01-11T00:00:00.000+00:00,13.5,12,7,20,5c392f193ae3e8002488f890,15,13.0,12,11.7,15,3,13.333
2019-01-12T00:00:00.000+00:00,12.5,10,7,20,5c3a80993ae3e800248ac898,15,13.0,10,12.2,15,8,12.5
2019-01-13T00:00:00.000+00:00,14.0,14,7,18,5c3bd1da3ae3e800248c8f48,18,12.5,10,13.1,10,8,13.125
2019-01-14T00:00:00.000+00:00,12.0,13,10,18,5c3d234d3ae3e800238c27f1,14,13.0,10,12.6,10,3,12.333
2019-01-15T00:00:00.000+00:00,11.0,10,10,18,5c3e74743ae3e800238dcb19,12,11.0,10,12.6,12,2,11.0
2019-01-16T00:00:00.000+00:00,12.5,9,6,19,5c3fc5f03ae3e8002491c63c,19,11.0,6,12.4,13,4,11.75
2019-01-17T00:00:00.000+00:00,9.0,5,4,19,5c4117ec3ae3e800239133ba,14,8.5,4,11.7,14,4,8.75
2019-01-18T00:00:00.000+00:00,9.0,7,4,19,5c4269763ae3e8002392f00d,11,8.5,7,10.7,10,4,8.75
2019-01-19T00:00:00.000+00:00,11.5,11,4,19,5c43bad33ae3e80024971c23,15,13.0,8,10.6,12,10,12.5
2019-01-20T00:00:00.000+00:00,12.0,11,4,15,5c450c683ae3e8002499024c,14,11.0,10,10.8,14,3,11.667
2019-01-21T00:00:00.000+00:00,9.0,10,7,15,5c465d9d3ae3e8002398257a,10,10.0,8,10.1,8,3,9.333
2019-01-22T00:00:00.000+00:00,14.0,14,8,15,5c47af693ae3e800249c890c,14,14.0,14,11.1,14,2,14.0
2019-01-23T00:00:00.000+00:00,15.0,15,8,15,5c4901023ae3e800239bb684,15,15.0,15,12.3,15,1,15.0
2019-01-25T00:00:00.000+00:00,13.0,14,8,15,5c4ba3a93ae3e80024a1c3de,14,14.0,12,12.6,12,3,13.333
2019-01-26T00:00:00.000+00:00,13.5,14,12,15,5c4cf5703ae3e80023a0e771,15,14.0,12,12.9,15,5,14.0
2019-01-27T00:00:00.000+00:00,14.5,10,10,19,5c4e46da3ae3e80024a56999,19,14.0,10,14.0,15,5,13.6
2019-01-28T00:00:00.000+00:00,13.0,14,10,19,5c4f98823ae3e80023a45532,14,14.0,12,13.8,12,3,13.333
2019-01-29T00:00:00.000+00:00,16.0,16,10,19,5c50e9cb3ae3e80023a6066f,16,16.0,16,14.0,16,2,16.0
2019-01-30T00:00:00.000+00:00,13.5,11,10,19,5c523b173ae3e80024aab756,16,13.5,11,14.1,12,5,13.8
2019-01-31T00:00:00.000+00:00,18.0,18,11,18,5c538cc23ae3e80023a9578b,18,18.0,18,15.0,18,1,18.0
2019-02-02T00:00:00.000+00:00,15.5,14,11,18,5c56300d3ae3e80024b01752,17,15.0,14,15.2,15,5,15.2
2019-02-03T00:00:00.000+00:00,14.0,15,10,18,5c57810d3ae3e80024b1d181,18,15.0,10,15.4,15,12,14.5
