datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,15.5,15,14,20,5be37d35fb1666002310dac6,17,15.0,14,0,16.1,15,26,15.231
2018-11-08T00:00:00.000+00:00,15.0,12,10,20,5be4ce9dfb166600220fda95,20,15.0,10,0,16.0,15,16,14.625
2018-11-09T00:00:00.000+00:00,32.0,15,15,49,5be61fdafb16660023139f21,49,32.0,15,5,30.8,49,2,32.0
2018-11-09T00:00:00.000+00:00,15.0,17,10,20,5be61fdafb16660023139f20,17,15.0,13,0,15.5,13,17,15.0
2018-11-10T00:00:00.000+00:00,15.0,14,10,20,5be77192fb1666002212797b,17,15.0,13,0,15.4,16,31,15.065
2018-11-11T00:00:00.000+00:00,27.5,20,15,49,5be8c2ebfb1666002213d620,35,27.5,20,5,29.9,35,2,27.5
2018-11-11T00:00:00.000+00:00,15.0,15,10,20,5be8c2ebfb1666002213d61f,17,15.0,13,0,15.1,13,30,15.133
2018-11-12T00:00:00.000+00:00,30.0,30,15,49,5bea14e7fb166600221534f0,30,30.0,30,5,29.9,30,1,30.0
2018-11-12T00:00:00.000+00:00,14.5,10,10,19,5bea14e7fb166600221534ef,19,15.0,10,0,14.9,15,33,14.758
2018-11-13T00:00:00.000+00:00,20.0,20,15,49,5beb65e0fb16660022167c88,20,20.0,20,5,28.9,20,1,20.0
2018-11-13T00:00:00.000+00:00,17.5,15,10,25,5beb65e0fb16660022167c87,25,15.0,10,0,15.4,25,40,15.25
2018-11-14T00:00:00.000+00:00,11.5,15,5,25,5becb7e1fb1666002217ebd8,18,15.0,5,0,14.7,15,24,14.292
2018-11-15T00:00:00.000+00:00,49.0,49,20,49,5bee0950fb166600231c25df,49,49.0,49,5,31.7,49,1,49.0
2018-11-15T00:00:00.000+00:00,17.5,14,5,25,5bee0950fb166600231c25de,25,15.0,10,0,15.2,15,30,15.433
2018-11-16T00:00:00.000+00:00,42.5,45,20,49,5bef5ae0fb166600231d9512,45,42.5,40,5,33.8,40,2,42.5
2018-11-16T00:00:00.000+00:00,15.5,16,5,25,5bef5ae0fb166600231d9511,17,15.0,14,0,15.3,15,24,15.0
2018-11-17T00:00:00.000+00:00,45.0,50,20,50,5bf0ac6afb166600231f099c,50,45.0,40,5,37.3,40,2,45.0
2018-11-17T00:00:00.000+00:00,15.0,14,5,25,5bf0ac6afb166600231f099b,16,15.0,14,0,15.4,16,36,14.972
2018-11-18T00:00:00.000+00:00,40.0,35,35,50,5bf1fdbefb166600221d9402,45,40.0,35,5,39.3,45,2,40.0
2018-11-18T00:00:00.000+00:00,15.0,12,10,25,5bf1fdbefb166600221d9401,20,15.0,10,0,14.9,15,33,14.788
2018-11-19T00:00:00.000+00:00,49.0,49,35,50,5bf34f58fb166600221f0166,49,49.0,49,5,45.1,49,1,49.0
2018-11-19T00:00:00.000+00:00,16.0,17,10,20,5bf34f58fb166600221f0165,20,17.5,12,0,15.8,18,36,16.583
2018-11-20T00:00:00.000+00:00,15.0,12,10,20,5bf4a0b4fb16660023235439,20,15.0,10,0,15.3,15,37,15.676
2018-11-21T00:00:00.000+00:00,45.0,45,35,50,5bf5f237fb1666002221d5a9,45,45.0,45,5,44.3,45,1,45.0
2018-11-21T00:00:00.000+00:00,14.5,15,10,20,5bf5f237fb1666002221d5a8,15,15.0,14,0,15.1,15,12,14.667
2018-11-22T00:00:00.000+00:00,15.0,17,10,20,5bf74349fb16660022232853,17,15.0,13,0,15.1,15,31,15.0
2018-11-23T00:00:00.000+00:00,16.5,18,10,20,5bf89539fb1666002327a286,20,17.0,13,0,15.4,19,16,16.812
2018-11-24T00:00:00.000+00:00,30.0,30,30,49,5bf9e685fb1666002329177c,30,30.0,30,5,41.8,30,1,30.0
2018-11-24T00:00:00.000+00:00,17.0,18,13,20,5bf9e685fb1666002329177b,19,17.0,15,0,15.6,15,20,16.35
2018-11-25T00:00:00.000+00:00,30.0,30,30,49,5bfb383efb166600232aa274,30,30.0,30,5,38.8,30,1,30.0
2018-11-25T00:00:00.000+00:00,15.5,18,12,20,5bfb383efb166600232aa273,19,17.0,12,0,15.7,15,40,16.2
2018-11-26T00:00:00.000+00:00,45.0,45,30,45,5bfc89b0fb166600232c128a,45,45.0,45,5,39.8,45,1,45.0
2018-11-26T00:00:00.000+00:00,12.5,19,5,20,5bfc89b0fb166600232c1289,20,15.0,5,0,15.3,15,22,15.682
2018-11-27T00:00:00.000+00:00,16.5,15,5,20,5bfddabefb166600222a10e7,18,17.0,15,0,15.6,16,31,16.29
2018-11-28T00:00:00.000+00:00,15.0,15,5,20,5bff2c6afb166600222b6a70,16,15.0,14,0,15.3,14,21,15.0
2018-11-29T00:00:00.000+00:00,15.0,13,5,20,5c007e25fb166600222cc7d6,17,15.0,13,0,14.9,15,9,14.889
2018-11-30T00:00:00.000+00:00,14.0,12,12,18,5c01cf88fb1666002331f353,16,14.0,12,0,14.6,13,42,14.048
2018-12-01T00:00:00.000+00:00,24.5,14,14,45,5c032107fb166600222f81d3,35,35.0,14,5,34.9,35,3,28.0
2018-12-01T00:00:00.000+00:00,13.5,13,12,17,5c032107fb166600222f81d2,15,14.0,12,0,14.8,15,38,13.974
2018-12-02T00:00:00.000+00:00,37.5,40,14,45,5c0472b2fb1666002334e3b4,40,38.0,35,5,33.4,38,3,37.667
2018-12-02T00:00:00.000+00:00,14.0,13,10,18,5c0472b2fb1666002334e3b3,18,13.0,10,0,14.3,10,29,13.448
2018-12-03T00:00:00.000+00:00,38.0,38,14,45,5c05c428fb16660022324858,38,38.0,38,5,35.0,38,1,38.0
2018-12-03T00:00:00.000+00:00,14.5,15,10,19,5c05c428fb16660022324857,19,15.0,10,0,14.2,12,36,14.472
2018-12-04T00:00:00.000+00:00,14.5,10,10,19,5c071543fb16660022339af1,19,14.5,10,0,14.1,12,26,15.115
2018-12-05T00:00:00.000+00:00,14.5,14,10,19,5c0866d2fb1666002338fd49,15,14.5,14,0,14.2,14,19,14.421
2018-12-06T00:00:00.000+00:00,15.5,15,10,19,5c09b8b03ae3e800234e3c36,19,15.0,12,0,14.6,18,26,15.269
2018-12-07T00:00:00.000+00:00,15.0,19,10,20,5c0b09e83ae3e800234f9367,20,15.0,10,0,14.8,18,32,15.375
2018-12-08T00:00:00.000+00:00,37.5,40,14,40,5c0c5b4f3ae3e800245128d5,40,37.5,35,5,36.5,35,2,37.5
2018-12-08T00:00:00.000+00:00,14.5,15,10,20,5c0c5b4f3ae3e800245128d4,15,15.0,14,0,14.8,15,16,14.688
2018-12-09T00:00:00.000+00:00,15.0,15,10,20,5c0dacce3ae3e8002452b082,16,15.0,14,0,14.9,14,14,14.714
2018-12-10T00:00:00.000+00:00,15.0,18,10,20,5c0efe453ae3e800245438cd,20,15.0,10,0,15.0,15,23,15.0
2018-12-11T00:00:00.000+00:00,14.5,15,10,20,5c104ff63ae3e8002455ca94,15,15.0,14,0,14.8,15,12,14.833
2018-12-12T00:00:00.000+00:00,32.5,35,30,40,5c11a1553ae3e800245751f3,35,35.0,30,5,34.0,35,4,33.75
2018-12-12T00:00:00.000+00:00,16.5,15,10,20,5c11a1553ae3e800245751f2,20,15.0,13,0,15.1,20,18,16.833
2018-12-13T00:00:00.000+00:00,38.0,38,30,40,5c12f2eb3ae3e800235826f9,38,38.0,38,5,36.7,38,1,38.0
2018-12-13T00:00:00.000+00:00,16.5,14,10,20,5c12f2eb3ae3e800235826f8,20,15.0,13,0,15.5,20,26,15.346
2018-12-14T00:00:00.000+00:00,13.5,14,12,20,5c1444f43ae3e8002359b937,15,14.0,12,0,15.2,15,52,14.115
2018-12-15T00:00:00.000+00:00,20.0,20,10,40,5c1595cf3ae3e800235b4d8c,30,20.0,10,5,33.2,20,8,20.0
2018-12-15T00:00:00.000+00:00,15.0,15,12,20,5c1595cf3ae3e800235b4d8b,17,15.0,13,0,15.2,15,77,14.766
2018-12-16T00:00:00.000+00:00,27.5,20,10,38,5c16e7513ae3e800245d985c,35,27.5,20,5,31.1,35,3,25.0
2018-12-16T00:00:00.000+00:00,15.0,10,10,20,5c16e7513ae3e800245d985b,20,15.0,10,0,15.3,18,65,15.431
2018-12-17T00:00:00.000+00:00,40.0,40,10,40,5c1839523ae3e800245f3d94,40,40.0,40,5,31.6,40,1,40.0
2018-12-17T00:00:00.000+00:00,15.0,18,10,20,5c1839523ae3e800245f3d93,20,15.0,10,0,15.0,18,21,16.381
2018-12-18T00:00:00.000+00:00,36.5,38,10,40,5c198aa73ae3e8002460ccee,38,36.5,35,5,32.4,35,2,36.5
2018-12-18T00:00:00.000+00:00,14.5,16,10,20,5c198aa73ae3e8002460cced,16,15.0,13,0,14.6,15,19,14.737
2018-12-19T00:00:00.000+00:00,40.0,50,20,50,5c1adbcc3ae3e80024625eef,50,40.0,30,5,32.8,30,3,36.667
2018-12-19T00:00:00.000+00:00,15.5,16,10,20,5c1adbcc3ae3e80024625eee,19,15.0,12,0,15.0,15,12,14.917
2018-12-20T00:00:00.000+00:00,40.0,40,30,50,5c1c2dae3ae3e8002363058b,40,40.0,40,5,36.8,40,1,40.0
2018-12-20T00:00:00.000+00:00,14.0,14,10,20,5c1c2dae3ae3e8002363058a,16,14.0,12,0,14.8,15,21,14.381
2018-12-21T00:00:00.000+00:00,26.5,18,18,50,5c1d7f6a3ae3e8002465ada6,35,35.0,18,5,36.6,35,5,30.6
2018-12-21T00:00:00.000+00:00,14.5,15,12,19,5c1d7f6a3ae3e8002465ada5,16,15.0,13,0,14.7,15,33,14.758
2018-12-22T00:00:00.000+00:00,22.5,19,15,50,5c1ed0ac3ae3e800246755f3,30,19.0,15,5,33.1,15,21,22.333
2018-12-22T00:00:00.000+00:00,15.0,14,12,19,5c1ed0ac3ae3e800246755f2,16,15.0,14,0,14.7,15,44,15.0
2018-12-23T00:00:00.000+00:00,29.0,40,15,40,5c2021d83ae3e8002468e8aa,40,27.0,18,5,31.6,35,4,28.0
