datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,4.5,6,3,7,5be37d45fb1666002310dd6a,6,5.0,3,5.1,5,10,4.4
2018-11-08T00:00:00.000+00:00,4.5,3,3,7,5be4ceacfb166600220fdd1e,6,5.0,3,4.7,5,14,4.643
2018-11-09T00:00:00.000+00:00,4.0,5,3,7,5be61feefb1666002313a1c2,5,4.0,3,4.4,3,10,4.2
2018-11-10T00:00:00.000+00:00,4.5,4,3,6,5be771a8fb166600231524b2,6,5.0,3,4.5,6,16,4.625
2018-11-11T00:00:00.000+00:00,4.0,5,2,6,5be8c310fb166600231688c8,6,4.0,2,4.3,2,16,4.188
2018-11-12T00:00:00.000+00:00,3.5,5,2,6,5bea14fcfb1666002215377a,5,4.0,2,4.1,5,18,3.778
2018-11-13T00:00:00.000+00:00,4.5,4,2,6,5beb65f6fb16660022167f1b,5,5.0,4,4.1,5,14,4.571
2018-11-14T00:00:00.000+00:00,4.5,4,2,6,5becb7f4fb166600231ac1d9,5,4.5,4,4.2,4,12,4.5
2018-11-15T00:00:00.000+00:00,4.0,4,2,5,5bee096cfb166600231c28fb,5,4.0,3,4.1,4,18,4.056
2018-11-16T00:00:00.000+00:00,5.0,5,2,8,5bef5af8fb166600231d97c1,8,5.0,2,4.3,2,47,4.702
2018-11-17T00:00:00.000+00:00,6.0,5,2,10,5bf0ac81fb166600231f0c4e,10,5.0,2,4.8,5,36,4.583
2018-11-18T00:00:00.000+00:00,5.5,4,2,10,5bf1fdeafb166600221d9913,9,5.0,2,5.0,5,37,5.054
2018-11-19T00:00:00.000+00:00,5.0,4,2,10,5bf34f6dfb166600221f0409,6,5.0,4,5.1,5,13,4.769
2018-11-20T00:00:00.000+00:00,6.5,4,2,10,5bf4a0c6fb166600232356db,9,5.0,4,5.6,4,26,4.846
2018-11-21T00:00:00.000+00:00,4.5,5,2,9,5bf5f247fb1666002221d84b,5,4.0,4,5.5,4,10,4.5
2018-11-22T00:00:00.000+00:00,6.5,5,3,10,5bf7435dfb16660022232b0a,10,5.0,3,5.6,4,16,4.938
2018-11-23T00:00:00.000+00:00,4.0,3,3,10,5bf89544fb16660022249e42,5,4.0,3,5.3,5,13,4.077
2018-11-24T00:00:00.000+00:00,4.5,5,3,10,5bf9e696fb16660023291a13,6,4.0,3,5.2,6,18,4.278
2018-11-25T00:00:00.000+00:00,5.5,5,2,10,5bfb384afb166600222767ed,9,5.0,2,5.0,5,13,4.692
2018-11-26T00:00:00.000+00:00,5.5,4,2,9,5bfc89b8fb1666002228c850,7,4.5,4,5.2,4,13,4.615
2018-11-27T00:00:00.000+00:00,4.5,5,2,9,5bfddacffb166600222a137e,5,4.0,4,4.8,4,10,4.5
2018-11-28T00:00:00.000+00:00,3.0,5,1,9,5bff2c87fb166600232eff19,5,3.0,1,4.6,1,11,3.182
2018-11-29T00:00:00.000+00:00,4.0,3,1,7,5c007e33fb166600222cca62,5,4.0,3,4.5,4,18,4.0
2018-11-30T00:00:00.000+00:00,4.0,3,1,5,5c01cfa3fb166600222e1af1,5,4.0,3,4.2,4,46,4.326
2018-12-01T00:00:00.000+00:00,9.0,7,1,15,5c032123fb16660023336fc9,15,5.0,3,4.9,7,38,5.421
2018-12-02T00:00:00.000+00:00,4.0,5,1,15,5c0472bbfb1666002230f80b,7,5.0,1,4.8,5,31,4.613
2018-12-03T00:00:00.000+00:00,4.5,5,1,15,5c05c434fb1666002336504c,5,5.0,4,5.1,4,5,4.6
2018-12-04T00:00:00.000+00:00,9.5,7,1,15,5c071555fb16660022339d70,15,5.0,4,6.2,5,23,5.957
2018-12-05T00:00:00.000+00:00,5.0,5,1,15,5c0866e4fb1666002338ffd8,7,5.0,3,6.4,5,12,4.75
2018-12-06T00:00:00.000+00:00,4.5,4,3,15,5c09b8c43ae3e800234e3edb,5,5.0,4,5.5,5,14,4.571
2018-12-07T00:00:00.000+00:00,5.5,5,3,15,5c0b0a253ae3e800244fb194,8,4.0,3,5.8,4,9,4.556
2018-12-08T00:00:00.000+00:00,4.0,4,3,8,5c0c5b613ae3e80024512ba0,5,5.0,3,5.7,4,17,4.471
2018-12-09T00:00:00.000+00:00,5.0,4,3,8,5c0dace03ae3e8002452b34b,6,5.0,4,4.8,5,19,4.632
2018-12-10T00:00:00.000+00:00,6.5,5,3,10,5c0efe563ae3e80024543b8c,10,5.0,3,5.1,5,26,4.615
2018-12-11T00:00:00.000+00:00,5.0,5,1,10,5c10501f3ae3e8002455cfaa,9,5.0,1,5.2,4,21,4.333
2018-12-12T00:00:00.000+00:00,4.5,4,1,10,5c11a1673ae3e800245754c0,5,4.5,4,5.0,5,17,4.529
2018-12-13T00:00:00.000+00:00,4.5,5,1,10,5c12f3093ae3e80023582be8,6,5.0,3,5.1,5,17,4.647
2018-12-14T00:00:00.000+00:00,5.0,5,1,9,5c1445043ae3e8002359bbf8,7,5.0,3,5.1,5,41,4.805
2018-12-15T00:00:00.000+00:00,5.0,5,3,7,5c1595e33ae3e800235b5076,7,5.0,3,4.8,5,44,4.977
2018-12-16T00:00:00.000+00:00,5.5,5,3,7,5c16e7663ae3e800245d9b49,7,5.0,4,4.9,7,27,5.074
2018-12-17T00:00:00.000+00:00,5.0,5,3,7,5c1839673ae3e800235e767d,7,5.0,3,5.0,5,12,5.083
2018-12-18T00:00:00.000+00:00,5.5,5,3,7,5c198b183ae3e8002460d75c,6,5.0,5,5.2,5,12,5.333
2018-12-19T00:00:00.000+00:00,6.0,5,3,8,5c1adbe03ae3e800246261ee,8,5.0,4,5.4,4,25,4.84
2018-12-20T00:00:00.000+00:00,6.5,4,3,10,5c1c2ded3ae3e80023630da3,10,5.0,3,5.7,5,21,5.333
2018-12-21T00:00:00.000+00:00,7.0,5,3,11,5c1d7f7d3ae3e8002364ab00,11,5.0,3,6.0,4,25,4.76
2018-12-22T00:00:00.000+00:00,5.0,5,3,11,5c1ed0cb3ae3e800236632e0,7,5.0,3,6.0,4,19,4.789
2018-12-23T00:00:00.000+00:00,4.5,5,3,11,5c2021ed3ae3e8002468eba7,6,5.0,3,5.8,5,18,4.667
2018-12-24T00:00:00.000+00:00,4.5,4,3,11,5c2173623ae3e800246a9040,6,5.0,3,5.5,3,21,4.571
2018-12-25T00:00:00.000+00:00,4.5,5,3,7,5c22c5313ae3e800236b037d,6,5.0,3,5.1,3,21,4.714
2018-12-26T00:00:00.000+00:00,4.5,4,3,6,5c2416633ae3e800236c8e23,5,5.0,4,4.6,4,16,4.562
2018-12-27T00:00:00.000+00:00,5.0,5,3,7,5c2568743ae3e800236e3a24,7,5.0,3,4.6,5,23,4.826
2018-12-28T00:00:00.000+00:00,5.0,7,3,7,5c26b9673ae3e80024711b42,7,5.0,3,4.7,5,30,4.8
