datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,42.5,40,25,60,5be37d43fb1666002310dcf9,60,40.0,25,43.2,40,11,41.364
2018-11-08T00:00:00.000+00:00,47.5,40,25,60,5be4cea9fb166600220fdcac,55,45.0,40,44.7,45,8,44.75
2018-11-09T00:00:00.000+00:00,37.5,40,25,60,5be61feafb1666002313a154,45,40.0,30,43.5,45,8,37.5
2018-11-10T00:00:00.000+00:00,40.0,40,25,60,5be771a0fb16660022127ba2,45,40.0,35,42.5,40,11,39.545
2018-11-11T00:00:00.000+00:00,41.0,44,30,55,5be8c2fafb1666002213d853,44,40.0,38,41.7,39,18,40.111
2018-11-12T00:00:00.000+00:00,30.0,40,20,45,5bea14f8fb1666002215370e,40,40.0,20,39.2,38,18,35.167
2018-11-13T00:00:00.000+00:00,37.5,30,20,50,5beb65f3fb16660022167eae,50,39.5,25,37.2,40,16,37.875
2018-11-14T00:00:00.000+00:00,37.5,30,20,50,5becb7f1fb1666002217ee01,45,39.0,30,37.2,40,10,37.3
2018-11-15T00:00:00.000+00:00,39.5,40,20,50,5bee0962fb166600231c2812,40,40.0,39,37.1,40,11,39.636
2018-11-16T00:00:00.000+00:00,39.0,40,25,50,5bef5af3fb166600231d9749,40,40.0,38,36.7,40,11,39.727
2018-11-17T00:00:00.000+00:00,30.5,29,21,45,5bf0ac7bfb166600231f0be2,40,35.0,21,36.8,35,33,34.818
2018-11-18T00:00:00.000+00:00,37.0,35,21,40,5bf1fdcffb166600221d963d,40,40.0,34,36.7,40,23,38.783
2018-11-19T00:00:00.000+00:00,40.5,40,21,42,5bf34f69fb166600221f0395,42,40.0,39,37.3,40,8,40.0
2018-11-20T00:00:00.000+00:00,37.5,40,21,42,5bf4a0c3fb1666002323566b,40,40.0,35,36.9,38,10,38.9
