datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,35.0,45,20,50,5be37d3dfb1666002310dc02,50,40.0,20,38.7,48,21,38.381
2018-11-08T00:00:00.000+00:00,39.5,40,20,50,5be4cea4fb166600220fdbc3,49,37.5,30,38.6,35,4,38.5
2018-11-09T00:00:00.000+00:00,30.5,16,16,50,5be61fe4fb1666002313a05e,45,30.0,16,37.0,30,6,29.667
2018-11-10T00:00:00.000+00:00,32.5,35,16,50,5be77199fb16660022127aae,40,35.0,25,36.0,40,15,33.133
2018-11-11T00:00:00.000+00:00,36.5,35,16,49,5be8c2f3fb1666002213d756,45,36.5,28,34.8,40,16,36.75
2018-11-12T00:00:00.000+00:00,34.5,24,16,45,5bea14f1fb1666002215361e,45,35.0,24,34.7,35,16,35.812
2018-11-13T00:00:00.000+00:00,37.0,30,24,49,5beb65ebfb16660022167dbe,49,35.0,25,34.2,35,20,35.25
2018-11-14T00:00:00.000+00:00,30.0,39,20,49,5becb7eafb1666002217ed14,40,34.5,20,34.1,40,12,32.917
2018-11-15T00:00:00.000+00:00,37.5,38,20,49,5bee095afb166600231c2719,40,38.5,35,35.1,38,8,38.25
2018-11-16T00:00:00.000+00:00,32.5,39,20,49,5bef5aeafb166600231d9651,40,35.0,25,34.3,35,16,33.875
2018-11-17T00:00:00.000+00:00,35.0,35,20,45,5bf0ac74fb166600231f0ae7,45,38.0,25,34.4,40,29,35.586
2018-11-18T00:00:00.000+00:00,35.0,35,25,45,5bf1fdc7fb166600221d9545,40,38.0,30,34.0,40,16,36.812
2018-11-19T00:00:00.000+00:00,37.5,35,25,45,5bf34f63fb166600221f02a9,45,38.5,30,35.5,40,22,36.955
2018-11-20T00:00:00.000+00:00,31.0,38,22,45,5bf4a0bdfb16660023235578,40,35.0,22,34.2,35,19,34.158
2018-11-21T00:00:00.000+00:00,39.5,40,22,45,5bf5f23efb1666002221d6f1,40,40.0,39,35.6,39,11,39.636
2018-11-22T00:00:00.000+00:00,39.0,40,22,45,5bf74352fb166600222329a1,40,40.0,38,36.4,40,6,39.5
2018-11-23T00:00:00.000+00:00,37.5,30,22,45,5bf89541fb1666002327a3c4,45,40.0,30,36.9,45,17,38.588
2018-11-24T00:00:00.000+00:00,40.0,30,30,50,5bf9e68efb166600232918ba,50,39.0,30,37.4,35,13,37.385
2018-11-25T00:00:00.000+00:00,31.0,35,22,50,5bfb3845fb166600232aa3b2,40,35.0,22,37.4,35,14,32.714
2018-11-26T00:00:00.000+00:00,40.0,38,22,50,5bfc89b8fb166600232c13c9,50,40.0,30,37.5,40,13,39.615
2018-11-27T00:00:00.000+00:00,37.5,39,22,50,5bfddac6fb166600222a1220,50,39.5,25,37.2,40,15,37.667
2018-11-28T00:00:00.000+00:00,39.5,40,22,50,5bff2c71fb166600222b6baa,40,40.0,39,37.6,40,11,39.364
2018-11-29T00:00:00.000+00:00,37.5,35,25,50,5c007e2cfb166600222cc911,40,39.0,35,37.1,39,11,38.0
2018-11-30T00:00:00.000+00:00,35.0,25,25,50,5c01cf92fb1666002331f480,45,39.0,25,37.9,45,15,36.067
2018-12-01T00:00:00.000+00:00,40.0,40,25,55,5c03210ffb166600222f830f,55,40.0,25,37.9,40,18,37.833
2018-12-02T00:00:00.000+00:00,34.5,39,25,55,5c0472b9fb1666002334e4f7,44,37.0,25,37.3,26,31,35.097
2018-12-03T00:00:00.000+00:00,39.5,39,25,55,5c05c42ffb1666002232498c,40,40.0,39,37.3,40,7,39.429
2018-12-04T00:00:00.000+00:00,42.5,45,25,55,5c07154bfb16660022339c1b,50,40.0,35,38.3,40,15,41.333
2018-12-05T00:00:00.000+00:00,35.0,37,25,50,5c0866dbfb1666002338fe7e,40,35.0,30,38.3,35,7,35.0
2018-12-06T00:00:00.000+00:00,36.5,35,30,50,5c09b8b93ae3e800234e3d7e,40,35.0,33,37.6,40,11,36.545
2018-12-07T00:00:00.000+00:00,37.5,40,30,50,5c0b09f03ae3e800234f94ae,40,38.0,35,38.2,38,3,37.667
2018-12-08T00:00:00.000+00:00,33.0,35,21,45,5c0c5b583ae3e80024512a2a,45,35.0,21,36.9,45,19,35.0
2018-12-09T00:00:00.000+00:00,40.0,45,21,50,5c0dacd73ae3e8002452b1e0,50,40.0,30,36.4,40,22,39.909
2018-12-10T00:00:00.000+00:00,37.0,45,21,50,5c0efe4d3ae3e80024543a27,49,39.5,25,36.8,25,16,36.938
2018-12-11T00:00:00.000+00:00,40.0,40,21,50,5c1050003ae3e8002455cbe8,45,40.0,35,37.5,40,11,39.909
2018-12-12T00:00:00.000+00:00,35.0,20,20,50,5c11a15f3ae3e80024575346,50,40.0,20,37.0,40,11,34.273
2018-12-13T00:00:00.000+00:00,35.0,40,20,50,5c12f2f23ae3e80023582855,45,35.0,25,37.4,40,11,34.818
