datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,20.0,20,20,35,5be37cf4fb166600220e8cba,20,20.0,20,5,,20,1,20.0
2018-11-07T00:00:00.000+00:00,6.5,6,3,8,5be37cf4fb166600220e8cb9,8,6.0,5,0,4.9,5,7,6.714
2018-11-08T00:00:00.000+00:00,5.5,7,3,8,5be4ce1ffb16660023122dbe,7,6.0,4,0,5.1,6,7,5.429
2018-11-09T00:00:00.000+00:00,5.5,6,4,8,5be61f82fb16660022110d05,6,5.5,5,0,5.3,6,8,5.375
2018-11-10T00:00:00.000+00:00,7.0,7,4,10,5be7712efb16660022126a28,10,7.0,4,0,5.9,5,18,5.889
2018-11-11T00:00:00.000+00:00,10.0,10,10,35,5be8c281fb1666002316761c,10,10.0,10,5,,10,1,10.0
2018-11-11T00:00:00.000+00:00,7.0,6,4,10,5be8c281fb1666002316761b,10,5.0,4,0,6.3,4,17,5.235
2018-11-12T00:00:00.000+00:00,6.0,7,4,10,5bea1402fb1666002317e185,7,5.0,5,0,6.2,5,6,6.0
2018-11-13T00:00:00.000+00:00,5.0,5,4,10,5beb6582fb166600231949f5,6,5.0,4,0,6.1,5,7,4.857
2018-11-14T00:00:00.000+00:00,13.0,11,10,35,5becb785fb166600231ab4ab,15,15.0,11,5,,15,3,13.667
2018-11-14T00:00:00.000+00:00,5.0,6,4,10,5becb785fb166600231ab4aa,6,5.5,4,0,6.0,6,4,5.25
2018-11-15T00:00:00.000+00:00,6.0,6,4,7,5bee08d4fb166600231c175c,7,6.0,5,0,5.8,6,12,5.833
2018-11-16T00:00:00.000+00:00,19.0,20,10,20,5bef5a9afb166600221aa180,20,19.0,18,5,19.4,18,2,19.0
2018-11-16T00:00:00.000+00:00,6.5,5,4,8,5bef5a9afb166600221aa17f,8,5.0,5,0,5.7,7,10,5.7
2018-11-17T00:00:00.000+00:00,20.0,20,10,20,5bf0ac1afb166600221c18a8,20,20.0,20,5,16.4,20,1,20.0
