datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-10T00:00:00.000+00:00,5.0,5,4,5,5be771b2fb16660022127e45,5,5.0,5,0,,5,1,5.0
2018-11-15T00:00:00.000+00:00,4.5,5,4,5,5bee0979fb1666002219484e,5,4.5,4,0,4.6,4,2,4.5
2018-11-16T00:00:00.000+00:00,3.0,3,3,5,5bef5b0cfb166600221aaf38,3,3.0,3,0,4.4,3,1,3.0
2018-11-18T00:00:00.000+00:00,4.5,4,3,5,5bf1fe0efb166600221d9dc2,5,4.5,4,0,4.4,5,2,4.5
2018-11-20T00:00:00.000+00:00,4.0,4,3,5,5bf4a0d6fb166600222070d6,4,4.0,4,0,4.2,4,1,4.0
2018-11-22T00:00:00.000+00:00,4.0,4,3,5,5bf7436cfb16660023263236,4,4.0,4,0,4.0,4,1,4.0
2018-11-25T00:00:00.000+00:00,6.0,6,4,6,5bfb3854fb166600232aa5a7,6,6.0,6,0,4.3,6,1,6.0
2018-11-26T00:00:00.000+00:00,4.0,4,4,6,5bfc89c6fb166600232c15c7,4,4.0,4,0,4.5,4,1,4.0
2018-11-29T00:00:00.000+00:00,4.0,3,3,6,5c007e42fb16660023307eab,5,4.0,3,0,4.4,5,2,4.0
2018-12-01T00:00:00.000+00:00,3.0,3,3,6,5c032140fb16660023337465,3,3.0,3,0,4.2,3,1,3.0
2018-12-02T00:00:00.000+00:00,4.0,4,3,5,5c0472c7fb1666002334e6ef,4,4.0,4,0,4.2,4,1,4.0
2018-12-07T00:00:00.000+00:00,5.0,5,3,5,5c0b0a353ae3e800234f9dc3,5,5.0,5,0,4.0,5,4,5.0
2018-12-11T00:00:00.000+00:00,5.0,5,3,5,5c10502a3ae3e80023554dac,5,5.0,5,0,4.2,5,4,5.0
2018-12-14T00:00:00.000+00:00,4.0,4,4,5,5c1445163ae3e800245a9416,4,4.0,4,0,4.2,4,1,4.0
2018-12-17T00:00:00.000+00:00,5.0,5,4,5,5c1839793ae3e800245f4362,5,5.0,5,0,4.6,5,1,5.0
2018-12-20T00:00:00.000+00:00,4.0,4,4,5,5c1c2dfd3ae3e80024641d09,4,4.0,4,0,4.6,4,1,4.0
2018-12-22T00:00:00.000+00:00,4.5,5,4,5,5c1ed0ed3ae3e80023663856,5,4.5,4,0,4.5,4,2,4.5
2018-12-28T00:00:00.000+00:00,4.0,4,4,5,5c26b97a3ae3e800236fc93c,4,4.0,4,0,4.3,4,1,4.0
2018-12-30T00:00:00.000+00:00,4.0,4,4,5,5c295c783ae3e80023731ceb,4,4.0,4,0,4.3,4,1,4.0
2019-01-02T00:00:00.000+00:00,8.0,8,4,8,5c2d51803ae3e800237805f2,8,8.0,8,0,4.9,8,1,8.0
2019-01-08T00:00:00.000+00:00,5.0,5,4,8,5c3539f43ae3e8002381fe49,5,5.0,5,0,5.1,5,1,5.0
2019-01-10T00:00:00.000+00:00,4.0,4,4,8,5c37dd6c3ae3e800238564d9,4,4.0,4,0,5.0,4,1,4.0
2019-01-21T00:00:00.000+00:00,9.0,9,4,9,5c465d9d3ae3e80023982576,9,9.0,9,0,6.0,9,1,9.0
2019-01-25T00:00:00.000+00:00,7.0,7,4,9,5c4ba3a93ae3e80024a1c3d8,7,7.0,7,0,6.6,7,1,7.0
2019-01-26T00:00:00.000+00:00,4.5,5,4,9,5c4cf5703ae3e80023a0e76b,5,4.5,4,0,5.9,4,2,4.5
2019-01-27T00:00:00.000+00:00,8.5,5,3,14,5c4e46da3ae3e80024a56993,14,7.5,3,0,6.6,3,10,7.6
2019-01-28T00:00:00.000+00:00,5.0,5,3,14,5c4f98823ae3e80023a4552b,7,5.0,3,0,6.8,3,5,4.6
2019-01-29T00:00:00.000+00:00,5.0,8,2,14,5c50e9cb3ae3e80023a60668,8,6.0,2,0,6.0,2,4,5.5
2019-01-30T00:00:00.000+00:00,4.0,3,2,14,5c523b163ae3e80024aab74f,5,4.0,3,0,5.4,4,4,4.0
2019-01-31T00:00:00.000+00:00,5.0,5,5,5,5c538cc13ae3e80023a95784,5,5.0,5,5,,5,1,5.0
2019-01-31T00:00:00.000+00:00,4.5,6,2,8,5c538cc13ae3e80023a95783,6,5.0,3,0,5.4,3,4,4.25
2019-02-01T00:00:00.000+00:00,6.0,6,2,8,5c54de783ae3e80023ab16fd,7,6.0,5,0,4.9,5,3,6.0
2019-02-03T00:00:00.000+00:00,3.5,3,3,7,5c57810d3ae3e80024b1d179,4,3.5,3,0,4.6,4,4,3.5
