datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-08T00:00:00.000+00:00,15.0,15,15,15.0,5be4ced1fb16660023124898,15.0,15.0,15,0,,15,1,15.0
2018-11-09T00:00:00.000+00:00,42.5,45,25,60.0,5be62025fb16660022111ee9,60.0,45.0,25,5,,25,5,42.0
2018-11-09T00:00:00.000+00:00,23.0,10,10,36.0,5be62025fb16660022111ee8,36.0,24.0,10,0,,25,83,23.422
2018-11-10T00:00:00.000+00:00,22.5,20,20,60.0,5be771d0fb16660022128336,25.0,20.0,20,5,,25,3,21.667
2018-11-10T00:00:00.000+00:00,19.0,20,10,36.0,5be771d0fb16660022128335,24.0,19.0,14,0,,15,116,17.983
2018-11-11T00:00:00.000+00:00,32.5,50,15,60.0,5be8c344fb1666002213e2fd,50.0,27.5,15,5,,20,5,27.0
2018-11-11T00:00:00.000+00:00,14.0,12,9,36.0,5be8c344fb1666002213e2fc,19.0,13.5,9,0,,10,97,13.227
2018-11-12T00:00:00.000+00:00,10.0,10,8,36.0,5bea1529fb16660022153d67,12.0,10.0,8,0,16.2,8,49,9.429
2018-11-13T00:00:00.000+00:00,17.0,20,14,60.0,5beb6641fb16660023195be2,20.0,17.0,14,5,,14,2,17.0
2018-11-13T00:00:00.000+00:00,10.0,9,8,24.0,5beb6641fb16660023195be1,12.0,10.0,8,0,15.2,9,59,9.729
2018-11-14T00:00:00.000+00:00,35.0,35,14,50.0,5becb81ffb166600231ac7cb,35.0,35.0,35,5,29.9,35,1,35.0
2018-11-14T00:00:00.000+00:00,12.5,9,5,20.0,5becb81ffb166600231ac7ca,20.0,10.0,5,0,13.1,10,67,9.687
2018-11-15T00:00:00.000+00:00,15.0,10,10,50.0,5bee09a0fb16660022194d1f,20.0,15.0,10,5,24.4,20,2,15.0
2018-11-15T00:00:00.000+00:00,15.0,9,5,25.0,5bee09a0fb16660022194d1e,25.0,10.0,5,0,12.3,9,57,9.754
2018-11-16T00:00:00.000+00:00,19.0,20,10,35.0,5bef5b3cfb166600221ab42f,20.0,20.0,18,5,23.7,20,3,19.333
2018-11-16T00:00:00.000+00:00,10.0,9,5,25.0,5bef5b3cfb166600221ab42e,12.0,10.0,8,0,11.5,8,32,10.0
2018-11-17T00:00:00.000+00:00,25.0,30,10,35.0,5bf0acb9fb166600221c2b62,30.0,25.0,20,5,22.2,20,3,23.333
2018-11-17T00:00:00.000+00:00,9.0,7,5,25.0,5bf0acb9fb166600221c2b61,11.0,9.0,7,0,11.3,10,64,9.078
2018-11-18T00:00:00.000+00:00,12.5,20,5,30.0,5bf1fe25fb16660023208828,20.0,20.0,5,5,21.3,20,5,17.0
2018-11-18T00:00:00.000+00:00,10.0,12,5,25.0,5bf1fe25fb16660023208827,12.0,10.0,8,0,11.3,10,45,9.667
2018-11-19T00:00:00.000+00:00,10.0,10,5,30.0,5bf34f9ffb1666002321f3c0,10.0,10.0,10,5,16.3,10,1,10.0
2018-11-19T00:00:00.000+00:00,9.0,9,7,12.0,5bf34f9ffb1666002321f3bf,11.0,9.0,7,0,10.6,10,39,8.769
2018-11-20T00:00:00.000+00:00,15.0,15,5,30.0,5bf4a0f4fb166600222075b3,15.0,15.0,15,5,16.3,15,2,15.0
2018-11-20T00:00:00.000+00:00,10.0,12,7,12.0,5bf4a0f4fb166600222075b2,12.0,10.0,8,0,9.6,10,31,9.935
2018-11-21T00:00:00.000+00:00,8.5,10,7,12.0,5bf5f27afb1666002221defc,10.0,9.5,7,0,9.3,8,31,9.194
2018-11-22T00:00:00.000+00:00,15.0,15,5,20.0,5bf7438dfb1666002326370c,15.0,15.0,15,5,15.5,15,1,15.0
2018-11-22T00:00:00.000+00:00,10.0,10,5,15.0,5bf7438dfb1666002326370b,15.0,10.0,5,0,9.5,10,49,10.796
2018-11-23T00:00:00.000+00:00,10.0,10,10,15.0,5bf8956dfb1666002327aa8d,10.0,10.0,10,5,12.5,10,1,10.0
2018-11-23T00:00:00.000+00:00,13.5,15,5,15.0,5bf8956dfb1666002327aa8c,15.0,15.0,12,0,10.2,15,42,14.476
2018-11-24T00:00:00.000+00:00,17.0,9,9,25.0,5bf9e6dffb16660023292584,25.0,14.5,9,5,13.4,14,6,15.333
2018-11-24T00:00:00.000+00:00,11.0,11,5,16.0,5bf9e6dffb16660023292583,16.0,11.0,6,0,10.6,15,57,12.298
2018-11-25T00:00:00.000+00:00,12.5,10,9,25.0,5bfb3874fb166600232aaaa2,15.0,12.5,10,5,13.9,15,2,12.5
2018-11-25T00:00:00.000+00:00,11.5,8,5,16.0,5bfb3874fb166600232aaaa1,15.0,12.0,8,0,10.9,12,44,11.659
2018-11-26T00:00:00.000+00:00,25.0,25,9,25.0,5bfc89e3fb166600232c1a94,25.0,25.0,25,5,15.9,25,1,25.0
2018-11-26T00:00:00.000+00:00,12.5,14,6,16.0,5bfc89e3fb166600232c1a93,15.0,14.0,10,0,11.7,10,26,12.769
2018-11-27T00:00:00.000+00:00,17.5,16,9,25.0,5bfddaf7fb166600232d853f,20.0,16.0,15,5,16.4,20,3,17.0
2018-11-27T00:00:00.000+00:00,11.5,15,6,16.0,5bfddaf7fb166600232d853e,15.0,13.0,8,0,12.0,10,40,12.15
2018-11-28T00:00:00.000+00:00,30.0,30,10,30.0,5bff2cc2fb166600232f0823,30.0,30.0,30,5,20.4,30,2,30.0
2018-11-28T00:00:00.000+00:00,11.0,12,7,15.0,5bff2cc2fb166600232f0822,15.0,12.0,7,0,11.5,13,31,12.129
2018-11-29T00:00:00.000+00:00,15.0,15,15,30.0,5c007e5efb16660023308378,15.0,15.0,15,5,20.0,15,1,15.0
2018-11-29T00:00:00.000+00:00,10.5,10,7,15.0,5c007e5efb16660023308377,12.0,10.0,9,0,11.4,9,14,10.5
2018-11-30T00:00:00.000+00:00,11.0,10,7,15.0,5c01cfd7fb1666002331fda8,13.0,10.5,9,0,11.3,13,18,11.167
2018-12-01T00:00:00.000+00:00,15.0,10,10,30.0,5c032169fb166600222f8f3d,20.0,15.0,10,5,20.5,20,4,15.0
2018-12-01T00:00:00.000+00:00,10.0,12,7,15.0,5c032169fb166600222f8f3c,12.0,10.0,8,0,10.8,10,23,9.87
2018-12-02T00:00:00.000+00:00,25.0,25,10,30.0,5c0472e6fb1666002334ebd9,25.0,25.0,25,5,20.5,25,1,25.0
2018-12-02T00:00:00.000+00:00,10.0,12,5,15.0,5c0472e6fb1666002334ebd8,15.0,10.0,5,0,10.5,15,51,10.588
2018-12-03T00:00:00.000+00:00,22.5,20,10,25.0,5c05c459fb1666002232503c,25.0,22.5,20,5,21.5,25,4,23.75
2018-12-03T00:00:00.000+00:00,12.5,10,5,15.0,5c05c459fb1666002232503b,15.0,12.0,10,0,10.8,15,15,12.467
2018-12-04T00:00:00.000+00:00,22.5,20,10,25.0,5c071584fb1666002337ac59,25.0,20.0,20,5,20.0,25,3,21.667
2018-12-04T00:00:00.000+00:00,10.0,10,5,15.0,5c071584fb1666002337ac58,12.0,10.0,8,0,10.7,9,16,10.0
2018-12-05T00:00:00.000+00:00,10.0,5,5,15.0,5c086732fb166600223517bd,15.0,10.0,5,0,10.5,7,33,11.273
2018-12-06T00:00:00.000+00:00,12.0,9,5,19.0,5c09b8f03ae3e800244e49a2,19.0,11.0,5,0,10.9,15,24,12.375
2018-12-07T00:00:00.000+00:00,12.5,15,5,20.0,5c0b0a5c3ae3e800234fa2b0,20.0,10.0,5,0,11.4,10,15,12.067
2018-12-08T00:00:00.000+00:00,30.0,30,20,30.0,5c0c5b953ae3e800235102d4,30.0,30.0,30,5,23.0,30,2,30.0
2018-12-08T00:00:00.000+00:00,12.5,8,5,20.0,5c0c5b953ae3e800235102d3,20.0,11.5,5,0,11.4,19,28,13.0
2018-12-09T00:00:00.000+00:00,8.0,8,8,30.0,5c0dad333ae3e8002452bf56,8.0,8.0,8,5,21.6,8,1,8.0
2018-12-09T00:00:00.000+00:00,14.0,10,5,20.0,5c0dad333ae3e8002452bf55,20.0,15.0,8,0,12.2,9,25,14.92
