datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,17.5,15,10,20,5be37d28fb1666002310d870,20,15.0,15,3,14.8,20,3,16.667
2018-11-07T00:00:00.000+00:00,6.5,5,3,10,5be37d28fb1666002310d86f,9,5.0,4,0,5.8,5,36,4.917
2018-11-08T00:00:00.000+00:00,14.0,14,14,20,5be4ce7ffb16660023123c9a,14,14.0,14,3,14.2,14,1,14.0
2018-11-08T00:00:00.000+00:00,5.0,5,3,10,5be4ce7ffb16660023123c99,6,5.0,4,0,5.7,6,24,4.75
2018-11-09T00:00:00.000+00:00,12.0,10,10,20,5be61fc2fb16660023139cd9,14,12.0,10,3,14.6,14,2,12.0
2018-11-09T00:00:00.000+00:00,5.0,6,3,9,5be61fc2fb16660023139cd8,6,5.0,4,0,5.8,4,23,5.043
2018-11-10T00:00:00.000+00:00,12.5,10,10,20,5be77179fb166600221275c8,15,10.0,10,3,14.1,10,3,11.667
2018-11-10T00:00:00.000+00:00,5.5,4,3,9,5be77179fb166600221275c7,8,5.0,3,0,5.5,5,40,4.75
2018-11-11T00:00:00.000+00:00,7.5,10,5,15,5be8c2c3fb1666002213d05c,10,8.0,5,3,12.7,8,3,7.667
2018-11-11T00:00:00.000+00:00,4.5,4,3,8,5be8c2c3fb1666002213d05b,6,5.0,3,0,5.3,3,42,4.524
2018-11-12T00:00:00.000+00:00,14.0,15,5,15,5bea14abfb16660022152f0c,15,15.0,13,3,12.0,13,3,14.333
2018-11-12T00:00:00.000+00:00,5.0,5,3,8,5bea14abfb16660022152f0b,6,5.0,4,0,5.0,5,45,4.844
2018-11-13T00:00:00.000+00:00,4.5,5,3,8,5beb65c9fb16660022167a33,6,5.0,3,0,4.9,4,30,4.767
2018-11-14T00:00:00.000+00:00,26.5,45,5,45,5becb7d1fb1666002217e988,45,27.5,8,3,14.5,8,4,27.0
2018-11-14T00:00:00.000+00:00,6.0,5,2,10,5becb7d1fb1666002217e987,10,5.0,2,0,5.1,4,56,4.893
2018-11-15T00:00:00.000+00:00,9.5,10,5,45,5bee090dfb16660022193d87,10,9.5,9,3,14.0,9,2,9.5
2018-11-15T00:00:00.000+00:00,5.0,5,2,10,5bee090dfb16660022193d86,6,5.0,4,0,5.0,5,31,4.806
2018-11-16T00:00:00.000+00:00,10.5,19,2,45,5bef5ad0fb166600231d92b8,19,9.0,2,3,13.6,2,7,10.286
2018-11-16T00:00:00.000+00:00,6.5,5,2,10,5bef5ad0fb166600231d92b7,10,5.0,3,0,5.4,5,42,5.286
2018-11-17T00:00:00.000+00:00,5.5,8,2,45,5bf0ac57fb166600231f0734,9,8.0,2,3,13.2,9,5,7.0
2018-11-17T00:00:00.000+00:00,4.5,5,2,10,5bf0ac57fb166600231f0733,5,5.0,4,0,5.3,5,33,4.636
2018-11-18T00:00:00.000+00:00,12.5,6,2,19,5bf1fd69fb166600221d8a77,19,15.0,6,3,12.9,10,7,12.857
2018-11-18T00:00:00.000+00:00,4.5,5,3,10,5bf1fd69fb166600221d8a76,6,5.0,3,0,5.3,5,49,4.735
2018-11-19T00:00:00.000+00:00,14.0,15,2,20,5bf34f47fb166600221eff03,20,15.0,8,3,10.4,8,5,14.6
2018-11-19T00:00:00.000+00:00,6.0,5,3,10,5bf34f47fb166600221eff02,8,5.0,4,0,5.3,4,36,5.194
2018-11-20T00:00:00.000+00:00,20.0,20,2,20,5bf4a0a5fb166600232351de,20,20.0,20,3,12.5,20,2,20.0
2018-11-20T00:00:00.000+00:00,5.5,4,3,8,5bf4a0a5fb166600232351dd,8,5.0,3,0,5.4,5,52,4.846
2018-11-21T00:00:00.000+00:00,15.0,15,6,20,5bf5f1e4fb1666002221cb66,15,15.0,15,3,13.4,15,1,15.0
2018-11-21T00:00:00.000+00:00,5.5,4,3,8,5bf5f1e4fb1666002221cb65,8,5.0,3,0,5.2,5,33,4.97
2018-11-22T00:00:00.000+00:00,8.0,9,6,20,5bf74338fb16660023262b25,10,9.0,6,3,13.9,10,3,8.333
2018-11-22T00:00:00.000+00:00,5.0,5,3,8,5bf74338fb16660023262b24,7,5.0,3,0,5.3,5,42,4.81
2018-11-23T00:00:00.000+00:00,15.5,13,6,20,5bf894e2fb16660022249172,18,15.5,13,3,14.5,18,2,15.5
2018-11-23T00:00:00.000+00:00,6.0,5,3,8,5bf894e2fb16660022249171,8,5.0,4,0,5.6,4,44,5.091
2018-11-24T00:00:00.000+00:00,14.5,20,6,20,5bf9e661fb166600232912aa,20,14.5,9,3,14.6,9,3,12.667
2018-11-24T00:00:00.000+00:00,7.0,5,3,10,5bf9e661fb166600232912a9,10,5.0,4,0,5.8,5,47,4.979
2018-11-25T00:00:00.000+00:00,14.5,15,6,20,5bfb382dfb166600232aa015,20,15.0,9,3,13.5,18,7,14.429
2018-11-25T00:00:00.000+00:00,8.5,7,2,15,5bfb382dfb166600232aa014,15,5.0,2,0,6.4,5,48,5.188
2018-11-26T00:00:00.000+00:00,12.5,5,5,20,5bfc89a3fb166600232c1038,20,12.5,5,3,13.0,20,3,10.0
2018-11-26T00:00:00.000+00:00,5.0,5,2,15,5bfc89a3fb166600232c1037,7,5.0,3,0,6.3,5,34,4.941
2018-11-27T00:00:00.000+00:00,12.5,10,5,20,5bfddaaefb166600232d796b,15,15.0,10,3,13.9,15,3,13.333
2018-11-27T00:00:00.000+00:00,9.0,5,2,15,5bfddaaefb166600232d796a,15,5.0,3,0,7.1,5,68,5.632
2018-11-28T00:00:00.000+00:00,14.0,14,5,20,5bff2c45fb166600222b64dd,14,14.0,14,3,13.6,14,1,14.0
2018-11-28T00:00:00.000+00:00,7.0,5,2,15,5bff2c45fb166600222b64dc,10,5.0,4,0,7.3,5,36,5.417
2018-11-29T00:00:00.000+00:00,15.0,20,5,20,5c007e17fb166600222cc573,20,14.5,10,3,13.7,14,5,14.6
2018-11-29T00:00:00.000+00:00,6.5,5,3,15,5c007e17fb166600222cc572,8,6.0,5,0,7.2,5,33,5.818
2018-11-30T00:00:00.000+00:00,12.5,15,5,20,5c01cf77fb166600222e1487,20,15.0,5,3,13.3,20,3,13.333
2018-11-30T00:00:00.000+00:00,5.5,5,3,15,5c01cf77fb166600222e1486,7,5.0,4,0,6.6,5,41,5.39
2018-12-01T00:00:00.000+00:00,12.0,10,5,20,5c0320f7fb16660023336a6b,14,10.0,10,3,13.2,10,5,10.8
2018-12-01T00:00:00.000+00:00,7.0,4,4,10,5c0320f7fb16660023336a6a,10,5.0,4,0,7.0,10,62,5.306
2018-12-02T00:00:00.000+00:00,17.0,14,5,20,5c0472a5fb1666002334e152,20,15.0,14,3,14.1,15,4,17.25
2018-12-02T00:00:00.000+00:00,6.0,7,4,10,5c0472a5fb1666002334e151,8,6.0,4,0,6.4,7,46,6.13
2018-12-03T00:00:00.000+00:00,14.5,15,5,20,5c05c41bfb16660022324603,15,15.0,14,3,14.2,14,5,14.8
2018-12-03T00:00:00.000+00:00,6.0,6,4,10,5c05c41bfb16660022324602,8,6.0,4,0,6.2,6,36,6.139
2018-12-04T00:00:00.000+00:00,19.5,19,10,20,5c071534fb1666002337a0b2,20,19.5,19,3,15.1,20,2,19.5
2018-12-04T00:00:00.000+00:00,6.0,5,4,10,5c071534fb1666002337a0b1,8,6.0,4,0,6.1,6,34,6.088
