datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,230.0,230,230,230,5be37d10fb166600220e903a,230,230.0,230,10,,230,1,230.0
2018-11-11T00:00:00.000+00:00,2.0,2,2,3,5be8c2a0fb166600231679b6,2,2.0,2,0,,2,1,2.0
2018-11-17T00:00:00.000+00:00,2.0,2,2,3,5bf0ac3afb166600221c1c5d,2,2.0,2,0,2.4,2,1,2.0
2018-11-18T00:00:00.000+00:00,3.0,3,2,3,5bf1fd31fb166600221d842b,3,3.0,3,0,2.4,3,1,3.0
2018-11-19T00:00:00.000+00:00,2.0,2,2,3,5bf34f2dfb1666002321e4e7,2,2.0,2,0,2.4,2,1,2.0
2018-11-20T00:00:00.000+00:00,200.0,200,200,230,5bf4a092fb16660022206723,200,200.0,200,10,,200,1,200.0
2018-11-22T00:00:00.000+00:00,120.0,120,120,230,5bf74323fb1666002223230e,120,120.0,120,10,,120,1,120.0
2018-11-24T00:00:00.000+00:00,180.0,180,120,230,5bf9e639fb1666002225f244,180,180.0,180,10,,180,1,180.0
2018-11-26T00:00:00.000+00:00,3.0,3,2,3,5bfc8937fb1666002228b6d8,3,3.0,3,0,2.4,3,1,3.0
2018-11-30T00:00:00.000+00:00,2.0,2,2,3,5c01cf51fb1666002331eb87,2,2.0,2,0,2.4,2,1,2.0
2018-12-02T00:00:00.000+00:00,3.0,3,2,3,5c047284fb1666002230eec5,3,3.0,3,0,2.6,3,1,3.0
2018-12-03T00:00:00.000+00:00,3.0,3,2,3,5c05c3fdfb16660023364744,3,3.0,3,0,2.6,3,1,3.0
2018-12-04T00:00:00.000+00:00,5.0,5,2,5,5c07151ffb166600223395d8,5,5.0,5,0,3.2,5,1,5.0
2018-12-06T00:00:00.000+00:00,300.0,300,120,300,5c09b88f3ae3e800244e3ace,300,300.0,300,10,206.0,300,1,300.0
2018-12-06T00:00:00.000+00:00,4.0,4,3,5,5c09b88f3ae3e800244e3acd,4,4.0,4,0,3.4,4,1,4.0
2018-12-10T00:00:00.000+00:00,2.0,2,2,5,5c0efe203ae3e8002353cf23,2,2.0,2,0,3.4,2,1,2.0
2018-12-11T00:00:00.000+00:00,2.0,2,2,5,5c104fa13ae3e80023553a81,2,2.0,2,0,3.2,2,3,2.0
2018-12-12T00:00:00.000+00:00,1.0,1,1,4,5c11a12d3ae3e8002356b739,1,1.0,1,0,2.8,1,1,1.0
2018-12-14T00:00:00.000+00:00,4.0,4,1,4,5c1444cc3ae3e8002359b389,4,4.0,4,0,2.6,4,1,4.0
2018-12-23T00:00:00.000+00:00,2.0,2,1,4,5c2021af3ae3e8002468e281,2,2.0,2,0,2.2,2,1,2.0
2018-12-26T00:00:00.000+00:00,2.0,2,1,4,5c24162a3ae3e800236c8504,2,2.0,2,0,2.2,2,2,2.0
2018-12-28T00:00:00.000+00:00,3.5,5,2,5,5c26b9233ae3e80024711204,5,5.0,2,0,2.5,5,5,4.4
2019-01-01T00:00:00.000+00:00,3.0,3,2,5,5c2bff7b3ae3e80023765f4b,3,3.0,3,0,2.9,3,2,3.0
2019-01-03T00:00:00.000+00:00,250.0,250,120,300,5c2ea2683ae3e800247b2d06,250,250.0,250,10,210.0,250,1,250.0
2019-01-05T00:00:00.000+00:00,2.0,2,2,5,5c31452a3ae3e800247e8c47,2,2.0,2,0,2.5,2,1,2.0
2019-01-06T00:00:00.000+00:00,2.0,2,2,5,5c3296cc3ae3e80024804867,2,2.0,2,0,2.5,2,1,2.0
2019-01-09T00:00:00.000+00:00,4.0,4,2,4,5c368b793ae3e800248565c6,4,4.0,4,0,2.9,4,1,4.0
2019-01-10T00:00:00.000+00:00,4.0,4,2,4,5c37dcc53ae3e80023854ca2,4,4.0,4,0,3.0,4,1,4.0
2019-01-12T00:00:00.000+00:00,320.0,320,180,320,5c3a80303ae3e800248aba7e,320,320.0,320,10,234.0,320,1,320.0
2019-01-14T00:00:00.000+00:00,88.0,88,88,320,5c3d22c03ae3e800248e4407,88,88.0,88,10,227.6,88,1,88.0
2019-01-16T00:00:00.000+00:00,4.0,4,2,4,5c3fc5a73ae3e8002491ba13,4,4.0,4,0,3.2,4,2,4.0
2019-01-18T00:00:00.000+00:00,87.5,75,75,320,5c4268af3ae3e80024954352,100,87.5,75,10,209.1,100,2,87.5
2019-01-20T00:00:00.000+00:00,3.5,2,2,5,5c450bcd3ae3e800239659a5,5,3.5,2,0,3.5,5,2,3.5
2019-01-22T00:00:00.000+00:00,4.5,4,2,5,5c47aec43ae3e800249c71d0,5,4.5,4,0,4.0,5,2,4.5
2019-01-25T00:00:00.000+00:00,5.0,5,2,5,5c4ba3333ae3e80024a1b79e,5,5.0,5,0,4.2,5,4,5.0
2019-01-30T00:00:00.000+00:00,2.0,2,2,5,5c523aa93ae3e80024aaa581,2,2.0,2,0,3.8,2,1,2.0
2019-02-02T00:00:00.000+00:00,300.0,300,75,320,5c562fba3ae3e80023acd9a4,300,300.0,300,10,209.1,300,1,300.0
2019-02-02T00:00:00.000+00:00,2.0,2,2,5,5c562fba3ae3e80023acd9a3,2,2.0,2,0,3.4,2,1,2.0
2019-02-03T00:00:00.000+00:00,4.0,5,2,5,5c5780a63ae3e80024b1c0cb,5,4.0,3,0,3.5,3,2,4.0
