datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,5.5,5,5,9,5be37d4dfb1666002310deae,6,5.0,5,0,6.7,6,3,5.333
2018-11-08T00:00:00.000+00:00,6.0,5,5,9,5be4ceb3fb166600220fde51,7,6.0,5,0,6.5,7,2,6.0
2018-11-09T00:00:00.000+00:00,6.5,7,5,9,5be61ff7fb1666002313a303,8,7.0,5,0,6.7,5,7,6.714
2018-11-10T00:00:00.000+00:00,7.0,7,5,9,5be771affb166600231525f3,9,7.0,5,0,6.7,5,5,6.6
2018-11-11T00:00:00.000+00:00,6.0,6,5,9,5be8c317fb16660023168a10,7,6.0,5,0,6.2,7,5,6.0
2018-11-12T00:00:00.000+00:00,8.5,10,5,10,5bea1506fb166600221538b7,10,8.0,7,0,6.8,7,10,8.4
2018-11-13T00:00:00.000+00:00,6.0,7,5,10,5beb6605fb16660022168057,7,6.0,5,0,6.8,5,2,6.0
2018-11-14T00:00:00.000+00:00,7.0,7,7,10,5becb7fefb166600231ac31d,7,7.0,7,3,,7,1,7.0
2018-11-14T00:00:00.000+00:00,5.5,6,5,10,5becb7fefb166600231ac31c,6,5.5,5,0,6.6,5,4,5.5
2018-11-15T00:00:00.000+00:00,6.0,5,5,10,5bee0977fb166600231c2a3d,7,5.0,5,0,6.4,5,8,5.25
2018-11-16T00:00:00.000+00:00,10.0,10,7,10,5bef5b04fb166600231d9916,10,10.0,10,3,,10,2,10.0
2018-11-16T00:00:00.000+00:00,6.5,5,5,8,5bef5b04fb166600231d9915,8,5.0,5,0,6.5,6,6,5.667
2018-11-17T00:00:00.000+00:00,19.0,19,7,19,5bf0ac8bfb166600231f0d99,19,19.0,19,3,10.8,19,1,19.0
2018-11-17T00:00:00.000+00:00,6.5,6,5,8,5bf0ac8bfb166600231f0d98,8,6.0,5,0,6.1,5,12,5.833
2018-11-18T00:00:00.000+00:00,7.0,7,7,19,5bf1fdf4fb166600221d9a5f,7,7.0,7,3,10.6,7,2,7.0
2018-11-18T00:00:00.000+00:00,5.5,5,5,8,5bf1fdf4fb166600221d9a5e,6,5.5,5,0,6.0,5,4,5.5
2018-11-19T00:00:00.000+00:00,7.5,10,5,10,5bf34f77fb166600221f0552,10,6.5,5,0,6.4,6,8,7.25
2018-11-20T00:00:00.000+00:00,7.5,6,5,10,5bf4a0cffb1666002323581b,9,7.0,6,0,6.7,7,10,7.3
2018-11-21T00:00:00.000+00:00,20.0,20,7,20,5bf5f250fb1666002221d994,20,20.0,20,3,12.6,20,1,20.0
2018-11-21T00:00:00.000+00:00,8.5,7,5,10,5bf5f250fb1666002221d993,10,9.5,7,0,7.1,7,6,8.833
2018-11-22T00:00:00.000+00:00,7.5,7,5,10,5bf74365fb16660022232c4d,10,7.0,5,0,7.3,7,8,7.0
2018-11-23T00:00:00.000+00:00,5.5,5,4,10,5bf8954cfb16660022249f85,7,5.0,4,0,7.3,7,5,5.0
2018-11-24T00:00:00.000+00:00,20.0,20,7,20,5bf9e69ffb16660023291b57,20,20.0,20,3,15.2,20,1,20.0
2018-11-24T00:00:00.000+00:00,8.5,8,4,10,5bf9e69ffb16660023291b56,10,8.0,7,0,7.5,7,7,8.0
2018-11-25T00:00:00.000+00:00,12.5,10,7,20,5bfb3852fb16660022276932,15,12.5,10,3,15.7,15,3,11.667
2018-11-25T00:00:00.000+00:00,7.0,7,4,10,5bfb3852fb16660022276931,9,7.0,5,0,7.4,7,9,6.889
2018-11-26T00:00:00.000+00:00,7.5,7,4,10,5bfc89c1fb1666002228c98c,10,5.0,5,0,7.2,5,7,6.714
2018-11-27T00:00:00.000+00:00,7.0,7,5,10,5bfddad5fb166600222a14b7,8,7.0,6,0,7.1,6,10,7.0
2018-11-28T00:00:00.000+00:00,6.5,8,5,10,5bff2c8ffb166600232f0057,8,7.0,5,0,7.3,7,8,6.875
2018-11-29T00:00:00.000+00:00,7.0,5,5,10,5c007e3bfb166600222ccb9a,9,7.0,5,0,7.0,7,8,7.0
2018-11-30T00:00:00.000+00:00,7.0,6,5,9,5c01cfabfb166600222e1c2e,8,7.0,6,0,7.0,8,8,7.125
2018-12-01T00:00:00.000+00:00,12.0,12,10,20,5c03212afb1666002333710f,12,12.0,12,3,14.3,12,1,12.0
2018-12-01T00:00:00.000+00:00,7.5,5,5,10,5c03212afb1666002333710e,10,8.0,5,0,7.0,7,7,8.0
2018-12-02T00:00:00.000+00:00,7.5,7,5,10,5c0472c2fb1666002230f944,8,7.0,7,0,7.1,7,4,7.25
2018-12-03T00:00:00.000+00:00,7.5,8,5,10,5c05c43bfb16660023365186,8,8.0,7,0,7.3,8,5,7.6
2018-12-04T00:00:00.000+00:00,8.5,9,7,20,5c07155ffb16660022339ea6,10,8.0,7,3,14.6,10,4,8.25
2018-12-04T00:00:00.000+00:00,7.5,8,5,10,5c07155ffb16660022339ea5,9,8.0,6,0,7.4,6,9,7.778
2018-12-05T00:00:00.000+00:00,10.0,10,7,15,5c0866edfb1666002339010f,10,10.0,10,3,12.6,10,1,10.0
2018-12-05T00:00:00.000+00:00,8.5,8,6,9,5c0866edfb1666002339010e,9,8.0,8,0,7.7,9,3,8.333
2018-12-06T00:00:00.000+00:00,7.5,5,5,10,5c09b8cc3ae3e800234e4018,10,7.0,5,0,7.7,6,8,7.375
2018-12-07T00:00:00.000+00:00,12.0,12,7,12,5c0b0a2d3ae3e800244fb2d8,12,12.0,12,3,11.0,12,1,12.0
2018-12-07T00:00:00.000+00:00,8.5,7,5,10,5c0b0a2d3ae3e800244fb2d7,10,9.0,7,0,7.9,10,9,8.889
2018-12-08T00:00:00.000+00:00,7.5,8,5,10,5c0c5b693ae3e80024512cfc,8,7.0,7,0,7.9,7,6,7.333
2018-12-09T00:00:00.000+00:00,7.0,10,4,10,5c0dacea3ae3e8002452b4a6,10,7.5,4,0,7.8,8,11,7.364
2018-12-10T00:00:00.000+00:00,10.0,10,7,12,5c0efe5f3ae3e80024543ce5,10,10.0,10,3,10.5,10,1,10.0
2018-12-10T00:00:00.000+00:00,6.0,8,4,10,5c0efe5f3ae3e80024543ce4,8,8.0,4,0,7.3,7,7,7.143
2018-12-11T00:00:00.000+00:00,7.0,9,4,10,5c1050283ae3e8002455d109,10,8.0,4,0,7.2,5,9,8.0
2018-12-12T00:00:00.000+00:00,6.5,7,4,10,5c11a1703ae3e80024575614,8,6.0,5,0,6.8,8,4,6.25
2018-12-13T00:00:00.000+00:00,9.0,9,4,10,5c12f3113ae3e80023582d51,9,9.0,9,0,7.1,9,1,9.0
2018-12-14T00:00:00.000+00:00,6.0,6,4,10,5c14450d3ae3e8002359bd5c,7,6.0,5,0,6.9,5,8,6.125
2018-12-15T00:00:00.000+00:00,8.0,8,8,12,5c1595eb3ae3e800235b51eb,8,8.0,8,3,9.7,8,1,8.0
2018-12-15T00:00:00.000+00:00,10.0,15,5,15,5c1595eb3ae3e800235b51ea,15,9.0,5,0,7.7,5,4,9.5
2018-12-16T00:00:00.000+00:00,6.0,6,5,15,5c16e76e3ae3e800245d9cb8,7,5.0,5,0,7.5,5,9,5.778
2018-12-17T00:00:00.000+00:00,6.5,6,5,15,5c1839713ae3e800235e77ed,8,6.0,5,0,7.5,8,5,6.4
2018-12-18T00:00:00.000+00:00,10.0,10,8,12,5c198b223ae3e8002460d8c2,10,10.0,10,3,10.0,10,1,10.0
2018-12-18T00:00:00.000+00:00,7.0,8,5,15,5c198b223ae3e8002460d8c1,9,7.0,5,0,7.1,9,4,7.0
2018-12-19T00:00:00.000+00:00,7.5,5,5,10,5c1adbe93ae3e8002462636c,10,5.0,5,0,7.4,10,8,5.875
2018-12-20T00:00:00.000+00:00,10.0,10,8,10,5c1c2df63ae3e80023630f17,10,10.0,10,3,10.0,10,2,10.0
2018-12-20T00:00:00.000+00:00,9.5,12,5,12,5c1c2df63ae3e80023630f16,12,7.0,7,0,7.3,7,6,8.0
2018-12-21T00:00:00.000+00:00,7.0,6,5,12,5c1d7f883ae3e8002364ac84,9,7.0,5,0,7.5,9,7,7.143
2018-12-22T00:00:00.000+00:00,12.0,12,8,12,5c1ed0d43ae3e80023663465,12,12.0,12,3,10.0,12,1,12.0
2018-12-22T00:00:00.000+00:00,5.5,6,4,12,5c1ed0d43ae3e80023663464,7,5.5,4,0,7.3,4,4,5.5
2018-12-23T00:00:00.000+00:00,7.0,7,7,12,5c2021f73ae3e8002468ed2b,7,7.0,7,3,9.4,7,1,7.0
2018-12-23T00:00:00.000+00:00,6.5,7,4,12,5c2021f73ae3e8002468ed2a,8,6.0,5,0,7.2,8,5,6.6
2018-12-24T00:00:00.000+00:00,6.0,5,4,9,5c21736a3ae3e800246a91b5,7,5.0,5,0,6.9,5,3,5.667
2018-12-25T00:00:00.000+00:00,12.0,12,7,12,5c22c53d3ae3e800236b04ed,12,12.0,12,3,10.2,12,1,12.0
2018-12-25T00:00:00.000+00:00,7.5,7,4,8,5c22c53d3ae3e800236b04ec,8,8.0,7,0,6.5,8,3,7.667
2018-12-26T00:00:00.000+00:00,5.5,7,4,8,5c24166d3ae3e800236c8f9a,7,6.0,4,0,6.2,5,5,5.6
2018-12-27T00:00:00.000+00:00,6.5,5,4,8,5c25687e3ae3e800236e3b99,8,5.0,5,0,6.4,8,7,5.714
2018-12-28T00:00:00.000+00:00,11.0,11,7,12,5c26b9703ae3e80024711cc7,11,11.0,11,3,10.4,11,1,11.0
2018-12-28T00:00:00.000+00:00,8.0,7,4,10,5c26b9703ae3e80024711cc6,10,8.0,6,0,6.7,9,7,8.0
2018-12-29T00:00:00.000+00:00,6.5,5,4,10,5c280b823ae3e8002371830f,8,7.0,5,0,6.8,7,7,6.857
2018-12-30T00:00:00.000+00:00,10.0,10,7,12,5c295c6e3ae3e800247482a7,10,10.0,10,3,10.4,10,2,10.0
2018-12-30T00:00:00.000+00:00,7.5,7,5,10,5c295c6e3ae3e800247482a6,10,7.0,5,0,6.8,10,6,7.167
2018-12-31T00:00:00.000+00:00,9.0,8,8,12,5c2aade63ae3e800247630d0,10,9.0,8,3,9.8,10,2,9.0
