datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,18.0,18,10,22,5be37d11fb166600220e906a,22,18.0,14,18.6,15.0,36,17.556
2018-11-08T00:00:00.000+00:00,19.0,20,10,22,5be4ce63fb166600220fd16f,20,20.0,18,18.4,20.0,19,19.368
2018-11-09T00:00:00.000+00:00,17.5,18,10,22,5be61faafb166600221110b3,20,18.0,15,17.9,15.0,24,18.125
2018-11-10T00:00:00.000+00:00,16.5,20,13,22,5be7715ffb166600231518d8,20,17.0,13,17.2,18.0,38,16.579
2018-11-11T00:00:00.000+00:00,15.0,10,10,20,5be8c2a1fb166600231679e7,20,14.0,10,17.2,10.0,48,14.479
2018-11-12T00:00:00.000+00:00,15.0,14,10,20,5bea146bfb1666002317ebb3,16,15.0,14,16.6,14.0,19,14.842
2018-11-13T00:00:00.000+00:00,15.0,14,10,20,5beb65b2fb16660023194da9,20,15.0,10,15.8,15.0,23,15.087
2018-11-14T00:00:00.000+00:00,12.0,14,9,20,5becb7aefb166600231ab8ef,15,12.0,9,14.7,15.0,29,11.828
2018-11-15T00:00:00.000+00:00,13.5,13,9,20,5bee08f1fb166600231c1b34,15,14.0,12,14.1,14.0,23,14.087
2018-11-16T00:00:00.000+00:00,13.0,15,8,20,5bef5abcfb166600221aa571,18,13.0,8,13.7,10.0,36,13.028
2018-11-17T00:00:00.000+00:00,15.0,10,8,20,5bf0ac3cfb166600221c1c8b,20,15.0,10,13.7,20.0,56,14.607
2018-11-18T00:00:00.000+00:00,14.5,15,8,20,5bf1fd32fb166600221d8459,16,15.0,13,13.6,15.0,24,14.542
2018-11-19T00:00:00.000+00:00,15.0,15,8,20,5bf34f2ffb1666002321e515,17,15.0,13,14.2,15.0,29,14.724
2018-11-20T00:00:00.000+00:00,15.0,10,10,20,5bf4a093fb16660022206755,20,15.0,10,14.5,15.0,44,14.477
2018-11-21T00:00:00.000+00:00,14.5,15,10,20,5bf5f1d3fb1666002324b9fc,16,15.0,13,14.8,14.0,24,14.667
2018-11-22T00:00:00.000+00:00,15.5,17,10,20,5bf74324fb1666002223233e,17,15.0,14,14.9,14.0,19,15.263
2018-11-23T00:00:00.000+00:00,13.5,15,7,20,5bf894bcfb16660022248b65,20,15.0,7,14.7,12.0,32,14.188
2018-11-24T00:00:00.000+00:00,15.0,15,7,20,5bf9e63afb1666002225f276,17,15.0,13,14.7,14.0,34,15.118
2018-11-25T00:00:00.000+00:00,15.0,15,7,20,5bfb3801fb166600232a9969,20,15.0,10,14.7,17.0,46,15.457
2018-11-26T00:00:00.000+00:00,15.0,15,7,20,5bfc8939fb1666002228b707,17,15.0,13,14.8,15.0,22,15.0
2018-11-27T00:00:00.000+00:00,15.0,15,10,20,5bfddaa0fb166600222a0be2,20,15.0,10,14.7,19.0,28,15.643
2018-11-28T00:00:00.000+00:00,16.0,15,10,20,5bff2c1ffb166600232ef0c3,20,17.0,12,15.2,17.0,27,17.074
2018-11-29T00:00:00.000+00:00,17.0,14,10,20,5c007e06fb16660023307517,20,18.0,14,15.6,15.0,22,17.909
2018-11-30T00:00:00.000+00:00,17.0,18,10,20,5c01cf52fb1666002331ebb5,19,17.0,15,16.0,18.0,26,17.0
2018-12-01T00:00:00.000+00:00,15.5,15,12,20,5c0320d1fb166600222f7964,17,15.0,14,16.1,15.0,25,15.12
2018-12-02T00:00:00.000+00:00,16.5,14,13,20,5c047286fb1666002230eef4,20,16.5,13,16.4,20.0,44,17.0
2018-12-03T00:00:00.000+00:00,17.5,20,13,20,5c05c3fefb16660023364772,20,18.0,15,16.7,17.0,30,17.533
2018-12-04T00:00:00.000+00:00,17.5,19,13,20,5c071520fb16660022339604,20,18.0,15,16.8,19.0,33,17.667
2018-12-05T00:00:00.000+00:00,18.5,20,13,20,5c08669ffb1666002338f637,20,19.0,17,17.1,19.0,18,18.889
2018-12-06T00:00:00.000+00:00,16.5,17,13,20,5c09b8903ae3e800244e3afe,20,18.0,13,17.3,16.0,30,17.3
2018-12-07T00:00:00.000+00:00,17.5,20,13,20,5c0b09c23ae3e800244fa3cc,20,18.0,15,17.5,17.0,29,18.034
2018-12-08T00:00:00.000+00:00,18.5,20,13,20,5c0c5b2b3ae3e8002350f3bd,20,19.0,17,17.7,18.0,29,18.931
2018-12-09T00:00:00.000+00:00,19.0,20,13,20,5c0dacab3ae3e8002452ab20,20,20.0,18,18.0,18.0,21,19.381
2018-12-10T00:00:00.000+00:00,19.0,18,15,20,5c0efe213ae3e8002353cf52,20,20.0,18,18.1,20.0,33,19.242
2018-12-11T00:00:00.000+00:00,20.0,19,17,22,5c104fa33ae3e80023553aaf,22,20.0,18,18.8,18.0,36,19.306
2018-12-12T00:00:00.000+00:00,20.0,20,15,25,5c11a12e3ae3e8002356b768,25,20.0,15,19.3,15.0,31,19.935
2018-12-13T00:00:00.000+00:00,18.5,17,15,25,5c12f2a23ae3e8002458f403,20,20.0,17,19.3,20.0,24,19.208
2018-12-14T00:00:00.000+00:00,18.5,18,15,25,5c1444ce3ae3e8002359b3b9,20,20.0,17,19.2,20.0,27,19.259
2018-12-15T00:00:00.000+00:00,16.0,17,12,25,5c1595a93ae3e800245c05f0,20,18.0,12,18.6,17.0,41,17.585
2018-12-16T00:00:00.000+00:00,19.0,18,12,20,5c16e7293ae3e800235cde27,20,20.0,18,18.4,19.0,25,19.44
2018-12-17T00:00:00.000+00:00,20.0,25,12,25,5c1838ff3ae3e800245f309a,25,20.0,15,18.4,19.0,34,20.441
2018-12-18T00:00:00.000+00:00,20.0,20,12,25,5c198a553ae3e800235fe210,25,20.0,15,18.7,16.0,24,19.875
2018-12-19T00:00:00.000+00:00,18.5,19,15,25,5c1adba53ae3e8002361707a,20,19.0,17,18.7,18.0,33,19.0
2018-12-20T00:00:00.000+00:00,17.0,19,14,25,5c1c2d613ae3e8002362fa40,20,18.0,14,18.9,20.0,26,17.538
2018-12-21T00:00:00.000+00:00,19.0,15,14,25,5c1d7f343ae3e8002364a084,23,18.0,15,18.9,15.0,37,17.541
2018-12-22T00:00:00.000+00:00,16.0,15,14,23,5c1ed0513ae3e8002467488d,18,15.0,14,18.1,14.0,19,15.579
2018-12-23T00:00:00.000+00:00,18.0,15,14,23,5c2021b03ae3e8002468e2b7,22,18.0,14,17.7,20.0,54,17.389
2018-12-24T00:00:00.000+00:00,19.0,18,14,24,5c21732d3ae3e800246a8762,24,19.5,14,17.8,20.0,37,18.378
2018-12-25T00:00:00.000+00:00,19.5,19,10,29,5c22c4c23ae3e800246c21ee,29,20.0,10,18.3,20.0,41,20.756
2018-12-26T00:00:00.000+00:00,19.0,19,10,29,5c24162c3ae3e800236c8539,20,19.0,18,18.3,19.0,20,19.35
2018-12-27T00:00:00.000+00:00,19.0,20,10,29,5c2568343ae3e800246f75e1,20,20.0,18,18.9,20.0,14,19.5
2018-12-28T00:00:00.000+00:00,19.5,20,10,29,5c26b9243ae3e8002471123a,25,20.0,14,19.2,18.0,55,20.636
2018-12-29T00:00:00.000+00:00,19.5,19,14,25,5c280b3e3ae3e80023717879,20,20.0,19,19.3,20.0,29,19.724
2018-12-30T00:00:00.000+00:00,20.0,19,14,25,5c295c283ae3e80023731174,21,20.0,19,19.4,20.0,27,19.926
2018-12-31T00:00:00.000+00:00,17.5,19,10,25,5c2aada73ae3e8002476264b,25,20.0,10,19.1,18.0,35,18.743
2019-01-01T00:00:00.000+00:00,20.0,24,10,25,5c2bff7d3ae3e80023765f80,25,20.0,15,19.3,21.0,48,20.854
2019-01-02T00:00:00.000+00:00,20.5,21,10,25,5c2d50ce3ae3e8002377edeb,22,20.0,19,19.5,19.0,29,20.31
2019-01-03T00:00:00.000+00:00,21.5,20,10,25,5c2ea2693ae3e800247b2d3e,25,21.0,18,19.9,19.0,31,21.774
2019-01-04T00:00:00.000+00:00,20.0,19,15,25,5c2ff4273ae3e800237b447e,25,20.0,15,19.9,25.0,38,21.105
2019-01-05T00:00:00.000+00:00,20.0,10,10,30,5c31452b3ae3e800247e8c7d,30,21.0,10,20.4,23.0,46,21.087
2019-01-06T00:00:00.000+00:00,20.5,20,10,30,5c3296cd3ae3e8002480489e,22,20.0,19,20.5,20.0,29,19.897
2019-01-07T00:00:00.000+00:00,24.0,25,10,30,5c33e8ab3ae3e8002380584d,29,24.0,19,21.2,25.0,37,22.865
2019-01-08T00:00:00.000+00:00,22.5,25,10,30,5c3539a93ae3e8002483b44b,25,23.5,20,21.4,23.0,26,23.0
2019-01-09T00:00:00.000+00:00,21.5,20,18,29,5c368b7b3ae3e800248565fc,25,23.0,18,21.7,24.0,39,22.154
2019-01-10T00:00:00.000+00:00,17.5,20,10,29,5c37dcc63ae3e80023854cda,25,20.0,10,21.2,10.0,43,20.0
2019-01-11T00:00:00.000+00:00,19.5,20,10,25,5c392ec53ae3e8002488eca0,21,20.0,18,21.0,20.0,21,19.952
2019-01-12T00:00:00.000+00:00,19.0,24,10,25,5c3a80313ae3e800248abab3,25,20.0,13,20.0,20.0,48,20.542
2019-01-13T00:00:00.000+00:00,20.5,20,10,30,5c3bd12c3ae3e800248c75e8,30,20.0,11,19.6,15.0,55,20.818
