datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,10.0,8,5,20,5be37d3efb1666002310dc2c,12,10.0,8,10.1,10,25,9.52
2018-11-08T00:00:00.000+00:00,10.0,9,5,20,5be4cea5fb166600220fdbeb,15,10.0,5,10.4,10,35,9.943
2018-11-09T00:00:00.000+00:00,7.5,10,5,20,5be61fe5fb1666002313a088,10,10.0,5,9.9,10,25,9.12
2018-11-10T00:00:00.000+00:00,8.5,7,5,15,5be7719afb16660022127ad6,10,10.0,7,9.7,10,33,9.242
2018-11-11T00:00:00.000+00:00,8.5,10,5,15,5be8c2f4fb1666002213d782,10,9.0,7,8.9,9,34,8.912
2018-11-12T00:00:00.000+00:00,8.5,7,5,10,5bea14f3fb1666002215364a,10,10.0,7,8.6,10,31,9.226
2018-11-13T00:00:00.000+00:00,9.5,10,7,10,5beb65edfb16660022167de9,10,10.0,9,8.5,9,18,9.667
2018-11-14T00:00:00.000+00:00,8.5,7,7,10,5becb7ecfb1666002217ed3f,10,9.0,7,8.7,9,31,8.645
2018-11-15T00:00:00.000+00:00,8.5,10,7,10,5bee095bfb166600231c2743,10,9.0,7,8.7,8,27,9.037
2018-11-16T00:00:00.000+00:00,8.5,8,7,10,5bef5aebfb166600231d967f,10,9.0,7,8.7,9,31,8.774
2018-11-17T00:00:00.000+00:00,7.0,8,4,10,5bf0ac75fb166600231f0b15,10,8.0,4,8.4,9,39,7.718
2018-11-18T00:00:00.000+00:00,8.5,8,4,10,5bf1fdc8fb166600221d9574,10,9.0,7,8.2,8,36,8.833
2018-11-19T00:00:00.000+00:00,8.5,10,4,10,5bf34f64fb166600221f02d6,10,9.0,7,8.2,10,31,9.032
2018-11-20T00:00:00.000+00:00,10.0,9,4,12,5bf4a0befb166600232355a4,12,10.0,8,8.5,10,34,9.588
2018-11-21T00:00:00.000+00:00,8.5,10,7,12,5bf5f23ffb1666002221d71b,10,10.0,7,8.5,9,36,9.222
2018-11-22T00:00:00.000+00:00,9.5,10,5,14,5bf74353fb166600222329cc,14,10.0,5,9.0,9,46,9.37
2018-11-23T00:00:00.000+00:00,10.0,10,5,14,5bf89542fb1666002327a3ee,12,10.0,8,9.3,8,27,10.037
2018-11-24T00:00:00.000+00:00,8.5,8,5,14,5bf9e68ffb166600232918e5,10,9.0,7,9.3,8,38,9.105
2018-11-25T00:00:00.000+00:00,10.0,9,5,14,5bfb3846fb166600232aa3df,12,10.0,8,9.3,10,36,9.5
2018-11-26T00:00:00.000+00:00,9.5,10,7,12,5bfc89b9fb166600232c13f6,10,10.0,9,9.5,9,25,9.56
2018-11-27T00:00:00.000+00:00,10.0,10,7,12,5bfddac7fb166600222a124b,12,10.0,8,9.6,9,21,9.619
2018-11-28T00:00:00.000+00:00,10.5,8,7,14,5bff2c72fb166600222b6bd2,14,10.0,7,9.7,8,37,9.622
2018-11-29T00:00:00.000+00:00,10.0,5,5,15,5c007e2dfb166600222cc93c,15,10.0,5,10.0,14,38,10.026
2018-11-30T00:00:00.000+00:00,10.0,12,5,15,5c01cf94fb1666002331f4ab,12,10.0,8,10.0,10,33,9.848
2018-12-01T00:00:00.000+00:00,6.0,10,2,15,5c032110fb166600222f833c,10,10.0,2,9.3,8,45,9.244
2018-12-02T00:00:00.000+00:00,10.0,5,2,15,5c0472bafb1666002334e525,15,10.0,5,9.3,10,52,9.462
2018-12-03T00:00:00.000+00:00,11.0,10,2,15,5c05c430fb166600223249ba,15,10.0,7,9.4,10,32,9.906
2018-12-04T00:00:00.000+00:00,10.0,9,2,15,5c07154cfb16660022339c44,12,10.0,8,9.4,9,27,9.63
2018-12-05T00:00:00.000+00:00,9.5,9,5,15,5c0866dcfb1666002338feac,11,10.0,8,9.3,8,19,9.789
2018-12-06T00:00:00.000+00:00,10.0,8,7,15,5c09b8bb3ae3e800234e3da7,12,10.0,8,10.1,10,31,9.806
2018-12-07T00:00:00.000+00:00,9.5,10,8,12,5c0b09f13ae3e800234f94da,11,10.0,8,10.0,10,26,9.769
2018-12-08T00:00:00.000+00:00,11.5,10,8,15,5c0c5b593ae3e80024512a59,15,10.0,8,10.1,11,29,10.897
2018-12-09T00:00:00.000+00:00,10.0,10,8,15,5c0dacd83ae3e8002452b212,12,10.0,8,10.1,10,25,9.92
2018-12-10T00:00:00.000+00:00,10.0,10,5,15,5c0efe4e3ae3e80024543a55,15,10.0,5,10.2,10,45,10.533
2018-12-11T00:00:00.000+00:00,10.0,8,5,15,5c1050013ae3e8002455cc16,12,10.0,8,10.2,10,31,9.935
2018-12-12T00:00:00.000+00:00,10.0,5,5,15,5c11a15f3ae3e80024575371,15,10.0,5,10.3,10,18,10.778
2018-12-13T00:00:00.000+00:00,10.5,8,5,15,5c12f2f33ae3e80023582881,14,10.0,7,10.1,10,29,10.379
2018-12-14T00:00:00.000+00:00,10.0,5,5,15,5c1444fd3ae3e8002359baac,15,10.0,5,10.1,10,28,10.286
2018-12-15T00:00:00.000+00:00,10.0,8,5,15,5c1595db3ae3e800235b4f25,12,10.0,8,10.1,10,34,10.029
2018-12-16T00:00:00.000+00:00,11.0,9,5,15,5c16e75c3ae3e800245d99ea,13,10.0,9,10.3,10,39,10.692
2018-12-17T00:00:00.000+00:00,10.0,8,5,15,5c18395c3ae3e800245f3f2c,15,10.0,5,10.3,10,42,10.929
2018-12-18T00:00:00.000+00:00,10.5,10,5,15,5c198ab43ae3e8002460ce7b,12,10.0,9,10.3,10,18,10.556
2018-12-19T00:00:00.000+00:00,10.0,12,5,15,5c1adbd63ae3e80024626088,12,10.0,8,10.3,10,26,9.769
2018-12-20T00:00:00.000+00:00,10.0,10,5,15,5c1c2db93ae3e80023630728,12,10.0,8,10.3,12,29,9.897
2018-12-21T00:00:00.000+00:00,9.5,10,8,12,5c1d7f743ae3e8002465af4e,10,10.0,9,10.0,10,20,9.9
2018-12-22T00:00:00.000+00:00,10.0,10,8,12,5c1ed0b93ae3e80024675782,12,10.0,8,10.0,8,28,9.857
2018-12-23T00:00:00.000+00:00,12.5,10,5,20,5c2021e43ae3e8002468ea47,20,10.0,5,10.4,10,60,9.917
2018-12-24T00:00:00.000+00:00,10.0,10,5,20,5c21735a3ae3e800246a8edc,12,10.0,8,10.4,10,30,10.4
2018-12-25T00:00:00.000+00:00,10.0,10,5,20,5c22c4f83ae3e800236afccf,12,10.0,8,10.4,9,27,10.074
2018-12-26T00:00:00.000+00:00,10.0,10,5,20,5c24165a3ae3e800236c8cc1,12,10.0,8,10.5,9,19,9.579
2018-12-27T00:00:00.000+00:00,12.5,20,5,20,5c2568693ae3e800236e38c7,20,10.0,5,11.0,8,46,11.457
2018-12-28T00:00:00.000+00:00,10.0,9,5,20,5c26b95f3ae3e800247119dd,15,10.0,5,10.5,9,52,10.635
2018-12-29T00:00:00.000+00:00,10.0,8,5,20,5c280b6f3ae3e80023718013,12,10.0,8,10.5,10,24,9.792
2018-12-30T00:00:00.000+00:00,10.0,9,5,20,5c295c5b3ae3e80024747fbd,12,10.0,8,10.5,9,31,9.742
2018-12-31T00:00:00.000+00:00,11.0,11,5,15,5c2aadd43ae3e80024762dd4,15,11.5,7,10.7,10,41,11.707
