datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-13T00:00:00.000+00:00,5.0,5,5,5,5beb65defb16660022167c4a,5,5.0,5,0,,5,1,5.0
2018-11-15T00:00:00.000+00:00,2.0,2,2,5,5bee094efb166600231c25a2,2,2.0,2,0,,2,1,2.0
2018-11-16T00:00:00.000+00:00,10.0,10,10,10,5bef5adefb166600231d94d4,10,10.0,10,5,,10,1,10.0
2018-11-16T00:00:00.000+00:00,5.0,5,2,5,5bef5adefb166600231d94d3,5,5.0,5,0,,5,1,5.0
2018-11-18T00:00:00.000+00:00,2.0,2,2,5,5bf1fdbcfb166600221d93c4,2,2.0,2,0,,2,1,2.0
2018-11-22T00:00:00.000+00:00,5.0,5,2,5,5bf74348fb16660022232817,5,5.0,5,0,3.8,5,1,5.0
2018-11-27T00:00:00.000+00:00,2.0,2,2,5,5bfddabcfb166600222a10a9,2,2.0,2,0,3.2,2,1,2.0
2018-11-28T00:00:00.000+00:00,2.5,2,2,5,5bff2c68fb166600222b6a30,3,2.5,2,0,3.3,3,2,2.5
2018-12-01T00:00:00.000+00:00,3.0,3,2,5,5c032106fb166600222f818d,3,3.0,3,0,2.9,3,2,3.0
2018-12-06T00:00:00.000+00:00,4.0,4,2,4,5c09b8af3ae3e800234e3bf7,4,4.0,4,0,3.3,4,1,4.0
2018-12-08T00:00:00.000+00:00,1.0,1,1,4,5c0c5b4d3ae3e80024512894,1,1.0,1,0,2.5,1,1,1.0
2018-12-09T00:00:00.000+00:00,3.0,3,1,4,5c0daccd3ae3e8002452b042,3,3.0,3,0,2.7,3,2,3.0
2018-12-10T00:00:00.000+00:00,20.0,20,10,20,5c0efe433ae3e80024543888,20,20.0,20,5,,20,1,20.0
2018-12-14T00:00:00.000+00:00,2.5,3,1,4,5c1444f33ae3e8002359b8f8,3,2.5,2,0,2.7,2,2,2.5
2018-12-15T00:00:00.000+00:00,3.5,2,1,5,5c1595cd3ae3e800235b4d46,5,3.5,2,0,2.8,5,2,3.5
2018-12-17T00:00:00.000+00:00,2.0,2,2,5,5c1839503ae3e800245f3d49,2,2.0,2,0,2.4,2,1,2.0
2018-12-20T00:00:00.000+00:00,4.0,4,2,5,5c1c2dac3ae3e80023630540,4,4.0,4,0,3.0,4,1,4.0
2018-12-21T00:00:00.000+00:00,2.0,2,2,5,5c1d7f683ae3e8002465ad5c,2,2.0,2,0,2.8,2,1,2.0
2018-12-26T00:00:00.000+00:00,10.0,10,10,20,5c24164f3ae3e800236c8ad2,10,10.0,10,5,,10,1,10.0
2018-12-26T00:00:00.000+00:00,4.5,5,2,5,5c24164f3ae3e800236c8ad1,5,4.5,4,0,3.2,4,2,4.5
2018-12-29T00:00:00.000+00:00,1.0,1,1,5,5c280b633ae3e80023717e1a,1,1.0,1,0,2.7,1,1,1.0
2018-12-31T00:00:00.000+00:00,2.0,2,1,5,5c2aadc83ae3e80024762be5,2,2.0,2,0,2.7,2,2,2.0
2019-01-03T00:00:00.000+00:00,4.0,4,4,20,5c2ea2a53ae3e80023799848,4,4.0,4,5,,4,1,4.0
2019-01-03T00:00:00.000+00:00,5.0,5,1,5,5c2ea2a53ae3e80023799847,5,5.0,5,0,2.9,5,1,5.0
2019-01-05T00:00:00.000+00:00,1.0,1,1,5,5c3145513ae3e800237cf54f,1,1.0,1,0,2.7,1,1,1.0
2019-01-06T00:00:00.000+00:00,3.0,3,1,5,5c3297223ae3e80024805514,3,3.0,3,0,2.4,3,1,3.0
2019-01-08T00:00:00.000+00:00,3.0,3,1,5,5c3539cb3ae3e8002483ba12,3,3.0,3,0,2.8,3,1,3.0
2019-01-11T00:00:00.000+00:00,3.0,3,1,3,5c392eec3ae3e80023871418,3,3.0,3,0,3.0,3,1,3.0
2019-01-14T00:00:00.000+00:00,3.0,3,3,3,5c3d230a3ae3e800248e50ea,3,3.0,3,0,2.6,3,1,3.0
2019-01-15T00:00:00.000+00:00,1.0,1,1,3,5c3e744e3ae3e800249003dd,1,1.0,1,0,2.6,1,2,1.0
2019-01-18T00:00:00.000+00:00,5.0,5,4,20,5c4269213ae3e8002392e45b,5,5.0,5,5,9.8,5,1,5.0
2019-01-19T00:00:00.000+00:00,2.0,3,1,3,5c43ba8f3ae3e8002394b40f,3,2.0,1,0,2.4,1,2,2.0
2019-01-21T00:00:00.000+00:00,2.0,2,1,3,5c465d553ae3e800249abd07,2,2.0,2,0,2.2,2,1,2.0
2019-01-22T00:00:00.000+00:00,3.0,5,1,5,5c47af1f3ae3e800249c7f83,5,3.0,1,0,2.2,1,2,3.0
2019-01-24T00:00:00.000+00:00,10.0,10,4,10,5c4a51e33ae3e800239d5d29,10,10.0,10,5,9.8,10,1,10.0
2019-01-24T00:00:00.000+00:00,1.0,1,1,5,5c4a51e33ae3e800239d5d28,1,1.0,1,0,1.8,1,1,1.0
2019-01-26T00:00:00.000+00:00,1.0,1,1,5,5c4cf5223ae3e80024a39271,1,1.0,1,0,1.8,1,1,1.0
2019-01-27T00:00:00.000+00:00,3.5,3,1,5,5c4e468a3ae3e80023a29bb3,4,3.5,3,0,2.1,4,2,3.5
2019-01-29T00:00:00.000+00:00,2.0,1,1,4,5c50e98d3ae3e80024a8ea1e,3,3.0,1,0,2.1,3,3,2.333
2019-01-30T00:00:00.000+00:00,3.0,3,1,4,5c523ace3ae3e80024aaabb6,3,3.0,3,0,2.1,3,1,3.0
2019-02-03T00:00:00.000+00:00,5.0,5,1,5,5c5780df3ae3e80023aea841,5,5.0,5,0,2.9,5,1,5.0
