datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,13.5,13,10,15.0,5be37d18fb1666002310d5d7,14.0,13.5,13,0,12.9,14,4,13.5
2018-11-08T00:00:00.000+00:00,10.5,10,9,15.0,5be4ce47fb166600231234d0,12.0,10.0,9,0,12.4,10,10,10.2
2018-11-09T00:00:00.000+00:00,12.5,15,9,15.0,5be61fa9fb16660023139a41,15.0,12.0,10,0,12.3,12,9,12.222
2018-11-10T00:00:00.000+00:00,17.5,25,10,25.0,5be77146fb166600231514fa,25.0,20.0,10,3,,20,3,18.333
2018-11-10T00:00:00.000+00:00,12.5,15,9,15.0,5be77146fb166600231514f9,15.0,12.5,10,0,12.5,15,22,12.409
2018-11-11T00:00:00.000+00:00,17.5,15,10,25.0,5be8c2a0fb1666002213cb81,20.0,17.5,15,3,18.6,20,2,17.5
2018-11-11T00:00:00.000+00:00,13.5,13,9,15.0,5be8c2a0fb1666002213cb80,15.0,14.0,12,0,12.5,14,12,13.5
2018-11-12T00:00:00.000+00:00,17.5,15,10,25.0,5bea1444fb16660022152554,20.0,17.5,15,3,18.5,20,2,17.5
2018-11-12T00:00:00.000+00:00,13.5,14,10,15.0,5bea1444fb16660022152553,15.0,14.0,12,0,12.5,14,11,13.545
2018-11-13T00:00:00.000+00:00,12.5,15,10,25.0,5beb65b1fb16660022167791,15.0,12.5,10,3,17.0,10,2,12.5
2018-11-13T00:00:00.000+00:00,13.0,13,10,15.0,5beb65b1fb16660022167790,14.0,13.0,12,0,13.0,13,16,13.25
2018-11-14T00:00:00.000+00:00,13.0,12,12,15.0,5becb7bcfb1666002217e6f4,14.0,14.0,12,0,13.1,13,14,13.0
2018-11-15T00:00:00.000+00:00,16.0,16,10,20.0,5bee08f3fb16660022193af3,16.0,16.0,16,3,16.2,16,1,16.0
2018-11-15T00:00:00.000+00:00,12.0,15,9,15.0,5bee08f3fb16660022193af2,15.0,12.0,9,0,13.0,13,26,12.462
2018-11-16T00:00:00.000+00:00,15.0,15,10,20.0,5bef5abdfb166600231d9013,15.0,15.0,15,3,15.7,15,1,15.0
2018-11-16T00:00:00.000+00:00,12.5,12,9,15.0,5bef5abdfb166600231d9012,15.0,11.5,10,0,12.8,10,22,11.818
2018-11-17T00:00:00.000+00:00,18.0,18,10,18.0,5bf0ac42fb166600231f0475,18.0,18.0,18,3,15.8,18,1,18.0
2018-11-17T00:00:00.000+00:00,14.0,14,9,15.0,5bf0ac42fb166600231f0474,15.0,13.5,13,0,12.9,13,12,13.5
2018-11-18T00:00:00.000+00:00,20.0,20,15,20.0,5bf1fd28fb166600221d831a,20.0,20.0,20,3,16.3,20,2,20.0
2018-11-18T00:00:00.000+00:00,12.5,10,9,15.0,5bf1fd28fb166600221d8319,15.0,10.0,10,0,12.8,14,19,11.895
2018-11-19T00:00:00.000+00:00,11.0,7,7,20.0,5bf34f32fb166600221efc47,15.0,11.0,7,3,16.0,15,2,11.0
2018-11-19T00:00:00.000+00:00,11.5,13,8,15.0,5bf34f32fb166600221efc46,15.0,12.5,8,0,12.5,10,18,12.278
2018-11-20T00:00:00.000+00:00,17.5,15,7,20.0,5bf4a095fb16660023234f3a,20.0,17.5,15,3,16.3,20,4,16.25
2018-11-20T00:00:00.000+00:00,13.5,13,8,15.0,5bf4a095fb16660023234f39,15.0,13.0,12,0,12.8,15,14,13.214
2018-11-21T00:00:00.000+00:00,12.5,12,8,15.0,5bf5f1befb1666002221c665,13.0,12.0,12,0,12.8,13,13,12.385
2018-11-22T00:00:00.000+00:00,16.0,16,7,20.0,5bf74324fb16660023262878,16.0,16.0,16,3,16.5,16,1,16.0
2018-11-22T00:00:00.000+00:00,10.5,12,8,15.0,5bf74324fb16660023262877,12.0,10.0,9,0,12.1,12,23,10.478
2018-11-23T00:00:00.000+00:00,14.5,15,7,20.0,5bf894b5fb16660022248a3e,15.0,14.5,14,3,15.8,14,4,14.75
2018-11-23T00:00:00.000+00:00,12.0,12,9,15.0,5bf894b5fb16660022248a3d,14.0,11.5,10,0,12.0,11,16,11.312
2018-11-24T00:00:00.000+00:00,13.0,13,13,20.0,5bf9e634fb16660023290cae,13.0,13.0,13,3,14.4,13,1,13.0
2018-11-24T00:00:00.000+00:00,12.5,15,9,15.0,5bf9e634fb16660023290cad,15.0,13.0,10,0,12.2,13,25,13.12
2018-11-25T00:00:00.000+00:00,10.5,10,8,15.0,5bfb37f9fb166600232a9835,13.0,10.0,8,0,11.6,10,26,10.385
2018-11-26T00:00:00.000+00:00,11.5,15,8,15.0,5bfc8931fb1666002228b5d5,15.0,12.0,8,0,11.4,14,29,11.862
2018-11-27T00:00:00.000+00:00,12.5,13,8,15.0,5bfdda9efb166600232d76c1,15.0,13.0,10,0,11.8,15,24,12.292
2018-11-28T00:00:00.000+00:00,12.5,12,8,15.0,5bff2c1efb166600222b601c,15.0,10.0,10,0,11.9,14,9,11.444
2018-11-29T00:00:00.000+00:00,12.5,14,8,15.0,5c007dfefb166600233073ea,15.0,12.0,10,0,11.9,12,11,11.818
2018-11-30T00:00:00.000+00:00,11.5,14,8,15.0,5c01cf3dfb166600222e0d83,15.0,12.0,8,0,12.1,12,20,11.9
2018-12-01T00:00:00.000+00:00,20.0,20,13,20.0,5c0320d2fb16660023336586,20.0,20.0,20,3,16.2,20,1,20.0
2018-12-01T00:00:00.000+00:00,13.0,12,8,15.0,5c0320d2fb16660023336585,15.0,13.0,11,0,12.4,14,23,12.913
2018-12-02T00:00:00.000+00:00,14.0,15,13,20.0,5c047296fb1666002334dea2,15.0,14.0,13,3,15.5,13,2,14.0
2018-12-02T00:00:00.000+00:00,12.0,12,8,15.0,5c047296fb1666002334dea1,14.0,12.0,10,0,12.3,13,18,11.778
2018-12-03T00:00:00.000+00:00,15.0,15,13,20.0,5c05c40cfb1666002232436d,15.0,15.0,15,3,15.3,15,2,15.0
2018-12-03T00:00:00.000+00:00,12.5,10,8,15.0,5c05c40cfb1666002232436c,15.0,12.0,10,0,12.3,10,19,12.526
2018-12-04T00:00:00.000+00:00,14.0,13,10,18.0,5c071520fb16660023379e20,18.0,13.0,10,0,12.6,10,13,13.385
2018-12-05T00:00:00.000+00:00,18.0,18,13,20.0,5c08669efb1666002235048a,18.0,18.0,18,3,16.0,18,1,18.0
2018-12-05T00:00:00.000+00:00,12.0,14,9,18.0,5c08669efb16660022350489,15.0,14.0,9,0,12.7,14,18,12.778
2018-12-06T00:00:00.000+00:00,15.0,15,13,18.0,5c09b8923ae3e800234e3741,15.0,15.0,15,3,16.4,15,1,15.0
2018-12-06T00:00:00.000+00:00,13.0,13,9,18.0,5c09b8923ae3e800234e3740,14.0,13.0,12,0,12.7,14,12,12.917
2018-12-07T00:00:00.000+00:00,11.5,13,10,18.0,5c0b09a33ae3e800244f9f0f,13.0,10.0,10,3,14.7,10,3,11.0
2018-12-07T00:00:00.000+00:00,11.5,10,8,18.0,5c0b09a33ae3e800244f9f0e,15.0,13.0,8,0,12.6,10,8,12.125
2018-12-08T00:00:00.000+00:00,15.0,20,10,20.0,5c0c5b2b3ae3e8002451239a,20.0,13.5,10,3,14.9,10,8,14.375
2018-12-08T00:00:00.000+00:00,11.5,15,8,15.0,5c0c5b2b3ae3e80024512399,15.0,12.5,8,0,12.4,13,24,12.042
2018-12-09T00:00:00.000+00:00,13.5,12,8,15.0,5c0dacaa3ae3e80023526394,15.0,13.0,12,0,12.3,14,19,12.947
2018-12-10T00:00:00.000+00:00,15.0,15,10,20.0,5c0efe213ae3e80024543361,15.0,15.0,15,3,14.9,15,1,15.0
2018-12-10T00:00:00.000+00:00,12.5,15,8,15.0,5c0efe213ae3e80024543360,15.0,12.0,10,0,12.4,12,13,12.462
2018-12-11T00:00:00.000+00:00,15.0,20,10,20.0,5c104fa23ae3e8002455bf85,20.0,20.0,10,3,14.3,10,3,16.667
2018-12-11T00:00:00.000+00:00,12.0,13,8,15.0,5c104fa23ae3e8002455bf84,14.0,12.0,10,0,12.2,10,15,11.933
2018-12-12T00:00:00.000+00:00,20.0,20,10,20.0,5c11a12e3ae3e80024574c94,20.0,20.0,20,3,15.3,20,1,20.0
2018-12-12T00:00:00.000+00:00,11.5,10,8,15.0,5c11a12e3ae3e80024574c93,15.0,12.0,8,0,12.2,9,18,11.833
2018-12-13T00:00:00.000+00:00,12.5,10,8,15.0,5c12f2a13ae3e80023581b99,15.0,12.0,10,0,12.4,14,12,12.833
2018-12-14T00:00:00.000+00:00,11.0,8,7,15.0,5c1444bb3ae3e800245a88f5,15.0,11.0,7,0,11.9,12,9,11.333
2018-12-15T00:00:00.000+00:00,16.5,13,10,20.0,5c1595a83ae3e800235b47c4,20.0,16.5,13,3,16.3,20,4,16.5
2018-12-15T00:00:00.000+00:00,13.0,14,7,15.0,5c1595a83ae3e800235b47c3,15.0,13.0,11,0,12.0,14,20,13.15
2018-12-16T00:00:00.000+00:00,17.0,14,10,20.0,5c16e7283ae3e800245d9287,20.0,17.0,14,3,16.7,20,2,17.0
2018-12-16T00:00:00.000+00:00,12.5,13,7,15.0,5c16e7283ae3e800245d9286,15.0,12.5,10,0,12.1,12,17,12.412
2018-12-17T00:00:00.000+00:00,12.0,12,12,20.0,5c18390d3ae3e800235e6c3f,12.0,12.0,12,3,16.1,12,1,12.0
2018-12-17T00:00:00.000+00:00,13.0,13,7,15.0,5c18390d3ae3e800235e6c3e,15.0,13.0,11,0,12.4,12,23,13.391
2018-12-18T00:00:00.000+00:00,12.5,14,10,15.0,5c198a503ae3e8002460c3d6,15.0,13.5,10,0,12.4,12,18,13.111
2018-12-19T00:00:00.000+00:00,12.0,12,10,15.0,5c1adba63ae3e8002462591b,14.0,12.0,10,0,12.6,12,14,12.0
2018-12-20T00:00:00.000+00:00,12.5,14,10,15.0,5c1c2d613ae3e80024640aa2,15.0,14.0,10,0,12.5,15,16,12.875
2018-12-21T00:00:00.000+00:00,15.0,15,10,20.0,5c1d7f443ae3e8002465a7a5,20.0,14.0,10,3,16.1,10,5,13.8
2018-12-21T00:00:00.000+00:00,13.5,13,10,15.0,5c1d7f443ae3e8002465a7a4,15.0,13.0,12,0,12.7,12,25,13.28
2018-12-22T00:00:00.000+00:00,15.0,10,10,20.0,5c1ed0493ae3e8002467472c,20.0,15.0,10,3,15.1,20,2,15.0
2018-12-22T00:00:00.000+00:00,13.5,14,10,15.0,5c1ed0493ae3e8002467472b,15.0,14.0,12,0,12.8,14,21,13.619
2018-12-23T00:00:00.000+00:00,17.5,20,10,25.0,5c2021b03ae3e8002367c51e,25.0,20.0,10,3,15.3,10,4,18.75
2018-12-23T00:00:00.000+00:00,13.5,13,10,15.0,5c2021b03ae3e8002367c51d,15.0,14.5,12,0,13.0,15,17,14.118
2018-12-24T00:00:00.000+00:00,13.5,14,12,15.0,5c21732b3ae3e800236966d6,15.0,14.0,12,0,13.3,13,18,13.944
2018-12-25T00:00:00.000+00:00,19.5,19,10,25.0,5c22c4aa3ae3e800236af1eb,20.0,20.0,19,3,15.8,20,3,19.667
2018-12-25T00:00:00.000+00:00,12.0,10,10,15.0,5c22c4aa3ae3e800236af1ea,14.0,12.0,10,0,13.2,11,9,11.778
2018-12-26T00:00:00.000+00:00,22.5,20,10,25.0,5c24162b3ae3e800246dc16b,25.0,22.5,20,3,17.9,25,4,22.5
2018-12-26T00:00:00.000+00:00,14.0,13,10,16.0,5c24162b3ae3e800246dc16a,16.0,14.0,12,0,13.3,12,22,14.091
2018-12-27T00:00:00.000+00:00,25.0,25,10,25.0,5c2568333ae3e800236e3150,25.0,25.0,25,3,19.9,25,1,25.0
2018-12-27T00:00:00.000+00:00,13.5,12,10,16.0,5c2568333ae3e800236e314f,15.0,13.0,12,0,13.3,13,19,13.263
2018-12-28T00:00:00.000+00:00,12.5,15,10,25.0,5c26b9233ae3e800236fbde3,15.0,10.0,10,3,19.4,10,5,13.0
2018-12-28T00:00:00.000+00:00,13.0,10,10,16.0,5c26b9233ae3e800236fbde2,16.0,13.5,10,0,13.2,15,23,13.087
2018-12-29T00:00:00.000+00:00,10.0,10,10,25.0,5c280b3d3ae3e8002472d07e,10.0,10.0,10,3,17.9,10,1,10.0
2018-12-29T00:00:00.000+00:00,14.5,15,10,16.0,5c280b3d3ae3e8002472d07d,15.0,15.0,14,0,13.4,15,12,14.75
2018-12-30T00:00:00.000+00:00,17.5,15,10,25.0,5c295c273ae3e80024747827,20.0,17.5,15,3,17.5,20,2,17.5
2018-12-30T00:00:00.000+00:00,14.0,18,8,20.0,5c295c273ae3e80024747826,20.0,15.0,8,0,13.8,15,30,13.867
2018-12-31T00:00:00.000+00:00,14.5,10,8,20.0,5c2aada63ae3e8002374ad5a,19.0,15.0,10,0,13.9,15,20,14.0
2019-01-01T00:00:00.000+00:00,25.0,25,10,25.0,5c2bff8a3ae3e8002477ce3b,25.0,25.0,25,3,18.0,25,1,25.0
2019-01-01T00:00:00.000+00:00,14.5,15,8,20.0,5c2bff8a3ae3e8002477ce3a,15.0,15.0,14,0,14.1,14,10,14.6
2019-01-02T00:00:00.000+00:00,17.5,15,8,25.0,5c2d50c73ae3e80024797aa4,25.0,15.0,10,0,15.0,10,21,15.19
2019-01-03T00:00:00.000+00:00,17.5,15,10,25.0,5c2ea2613ae3e800247b2bd3,20.0,15.0,15,3,16.5,15,3,16.667
2019-01-03T00:00:00.000+00:00,14.0,16,10,25.0,5c2ea2613ae3e800247b2bd2,16.0,14.0,12,0,14.9,14,15,13.933
2019-01-04T00:00:00.000+00:00,30.0,30,15,30.0,5c2ff4243ae3e800247ce600,30.0,30.0,30,3,20.0,30,1,30.0
2019-01-04T00:00:00.000+00:00,14.0,16,8,25.0,5c2ff4243ae3e800247ce5ff,20.0,15.0,8,0,14.9,15,20,14.35
2019-01-05T00:00:00.000+00:00,18.0,16,15,30.0,5c31452b3ae3e800237cef55,20.0,20.0,16,3,21.6,20,4,19.0
2019-01-05T00:00:00.000+00:00,12.5,12,8,25.0,5c31452b3ae3e800237cef54,15.0,14.0,10,0,14.5,12,26,13.077
2019-01-06T00:00:00.000+00:00,10.0,10,10,30.0,5c3296c43ae3e80024804728,10.0,10.0,10,3,20.1,10,1,10.0
2019-01-06T00:00:00.000+00:00,14.0,14,8,20.0,5c3296c43ae3e80024804727,15.0,15.0,13,0,14.4,15,13,14.615
2019-01-07T00:00:00.000+00:00,20.0,20,10,30.0,5c33e8ab3ae3e80024820f07,20.0,20.0,20,3,19.1,20,3,20.0
2019-01-07T00:00:00.000+00:00,12.0,13,8,20.0,5c33e8ab3ae3e80024820f06,15.0,12.0,9,0,13.3,12,19,12.474
2019-01-08T00:00:00.000+00:00,20.0,20,10,20.0,5c3539a83ae3e8002381f292,20.0,20.0,20,3,19.6,20,1,20.0
2019-01-08T00:00:00.000+00:00,13.5,8,8,19.0,5c3539a83ae3e8002381f291,19.0,14.5,8,0,13.2,19,17,13.588
2019-01-09T00:00:00.000+00:00,16.5,25,8,25.0,5c368b8a3ae3e8002383b23c,25.0,20.0,8,3,16.9,20,5,17.6
2019-01-09T00:00:00.000+00:00,13.5,14,8,19.0,5c368b8a3ae3e8002383b23b,17.0,14.0,10,0,13.1,15,14,13.5
2019-01-10T00:00:00.000+00:00,14.5,15,8,19.0,5c37dcbf3ae3e80023854b6c,15.0,15.0,14,0,13.5,15,14,14.857
2019-01-11T00:00:00.000+00:00,20.0,20,8,25.0,5c392ec53ae3e80023870e06,20.0,20.0,20,3,17.3,20,1,20.0
2019-01-11T00:00:00.000+00:00,15.0,15,8,20.0,5c392ec53ae3e80023870e05,20.0,14.5,10,0,13.7,14,12,13.917
2019-01-12T00:00:00.000+00:00,15.0,15,8,25.0,5c3a80353ae3e8002388c672,15.0,15.0,15,3,18.3,15,1,15.0
2019-01-12T00:00:00.000+00:00,14.5,17,10,20.0,5c3a80353ae3e8002388c671,17.0,14.5,12,0,14.2,15,12,14.25
2019-01-13T00:00:00.000+00:00,14.0,20,8,25.0,5c3bd12a3ae3e800238a6d32,20.0,10.0,8,3,17.1,10,4,11.5
2019-01-13T00:00:00.000+00:00,14.5,14,10,20.0,5c3bd12a3ae3e800238a6d31,16.0,14.0,13,0,14.4,14,17,14.176
