datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,59.0,60,40,66.0,5be37d1cfb166600220e91f5,60.0,59.0,58,54.5,58,7,59.0
2018-11-08T00:00:00.000+00:00,48.5,35,32,65.0,5be4ce6cfb166600220fd2fb,65.0,55.0,32,53.7,57,16,51.625
2018-11-09T00:00:00.000+00:00,45.0,40,32,65.0,5be61fb7fb16660022111241,50.0,45.0,40,51.6,45,5,45.8
2018-11-10T00:00:00.000+00:00,37.0,30,30,65.0,5be77167fb16660023151a67,44.0,34.0,30,47.8,30,11,33.909
2018-11-11T00:00:00.000+00:00,24.5,29,15,65.0,5be8c2abfb16660023167b79,34.0,22.0,15,42.8,15,14,24.214
2018-11-12T00:00:00.000+00:00,29.0,30,15,50.0,5bea1476fb1666002317ed3e,34.0,30.0,24,36.8,29,9,29.333
2018-11-13T00:00:00.000+00:00,31.5,35,15,48.0,5beb65bffb16660023194f36,48.0,30.0,15,33.4,33,71,30.042
2018-11-14T00:00:00.000+00:00,30.0,28,15,48.0,5becb7bbfb166600231aba84,43.0,30.0,17,30.4,24,343,31.16
2018-11-15T00:00:00.000+00:00,26.0,28,15,48.0,5bee08fefb166600231c1cc0,37.0,25.0,15,28.2,26,294,26.378
2018-11-16T00:00:00.000+00:00,22.5,25,15,48.0,5bef5ac7fb166600221aa70f,29.0,23.0,16,27.8,24,346,22.382
2018-11-17T00:00:00.000+00:00,20.0,24,15,43.0,5bf0ac49fb166600221c1e25,25.0,20.0,15,26.0,20,448,19.676
2018-11-18T00:00:00.000+00:00,18.0,19,13,37.0,5bf1fd40fb166600221d85f6,23.0,18.0,13,23.3,20,364,17.802
2018-11-19T00:00:00.000+00:00,16.0,19,11,29.0,5bf34f3afb1666002321e6ab,21.0,16.0,11,20.5,14,207,16.773
2018-11-20T00:00:00.000+00:00,15.0,12,10,25.0,5bf4a09dfb166600222068e3,20.0,15.0,10,18.3,18,192,15.792
2018-11-21T00:00:00.000+00:00,15.0,15,8,23.0,5bf5f1defb1666002324bb90,22.0,15.0,8,16.8,20,172,15.483
