datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-12-26T00:00:00.000+00:00,10.0,10,10,10,5c2416c83ae3e800246dd68a,10,10.0,10,0,,10,1,10.0
2018-12-29T00:00:00.000+00:00,100.0,100,10,100,5c280bbe3ae3e80023718aa0,100,100.0,100,0,,100,1,100.0
2019-01-02T00:00:00.000+00:00,30.0,30,30,30,5c2d51b33ae3e8002479991a,30,30.0,30,3,,30,1,30.0
2019-01-03T00:00:00.000+00:00,79.0,79,10,100,5c2ea3403ae3e800247b461b,79,79.0,79,0,,79,1,79.0
2019-01-04T00:00:00.000+00:00,150.0,150,30,150,5c2ff4bb3ae3e800237b5927,150,150.0,150,3,,150,1,150.0
2019-01-06T00:00:00.000+00:00,15.0,15,10,100,5c3297ac3ae3e800237eca35,15,15.0,15,0,,15,2,15.0
2019-01-07T00:00:00.000+00:00,50.0,50,15,100,5c33e9193ae3e8002482217f,50,50.0,50,0,50.8,50,1,50.0
2019-01-08T00:00:00.000+00:00,200.0,200,30,200,5c353a323ae3e8002483c9ca,200,200.0,200,3,,200,1,200.0
2019-01-13T00:00:00.000+00:00,399.0,399,30,399,5c3bd2063ae3e800238a8d2c,399,399.0,399,3,,399,1,399.0
2019-01-16T00:00:00.000+00:00,132.5,200,65,399,5c3fc61a3ae3e800238f822f,200,132.5,65,3,182.3,65,2,132.5
2019-01-19T00:00:00.000+00:00,150.0,150,65,399,5c43bb0a3ae3e80024972515,150,150.0,150,3,206.3,150,1,150.0
2019-01-20T00:00:00.000+00:00,150.0,150,65,399,5c450ca23ae3e80024990b21,150,150.0,150,3,206.3,150,1,150.0
2019-01-22T00:00:00.000+00:00,70.0,70,65,200,5c47afa73ae3e8002399fa8f,70,70.0,70,3,180.3,70,2,70.0
2019-01-23T00:00:00.000+00:00,70.0,70,70,150,5c49012b3ae3e800249e5861,70,70.0,70,3,114.5,70,3,70.0
2019-01-29T00:00:00.000+00:00,30.0,30,15,79,5c50ea0c3ae3e80024a8fd8c,30,30.0,30,0,54.8,30,1,30.0
2019-01-31T00:00:00.000+00:00,100.0,100,70,150,5c538d0b3ae3e80023a96289,100,100.0,100,3,108.0,100,1,100.0
