datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,160.0,160,160,160,5be37cfffb1666002310d249,160,160.0,160,3,,160,1,160.0
2018-11-08T00:00:00.000+00:00,150.0,150,150,160,5be4ce33fb1666002312314c,150,150.0,150,3,,150,1,150.0
2018-11-21T00:00:00.000+00:00,275.0,275,150,275,5bf5f1a7fb1666002221c292,275,275.0,275,3,,275,1,275.0
2018-11-24T00:00:00.000+00:00,165.0,165,150,275,5bf9e61efb166600232908c2,165,165.0,165,3,,165,1,165.0
2018-11-26T00:00:00.000+00:00,200.0,200,150,275,5bfc891cfb1666002228b229,200,200.0,200,3,190.0,200,1,200.0
2018-11-27T00:00:00.000+00:00,15.0,15,15,15,5bfdda86fb166600232d7304,15,15.0,15,0,,15,1,15.0
2018-11-29T00:00:00.000+00:00,195.0,195,165,275,5c007de9fb16660023307030,195,195.0,195,3,197.0,195,1,195.0
2018-12-05T00:00:00.000+00:00,25.0,25,15,25,5c086686fb166600223500c5,25,25.0,25,0,,25,1,25.0
2018-12-15T00:00:00.000+00:00,175.0,175,165,200,5c15958d3ae3e800235b438a,175,175.0,175,3,202.0,175,1,175.0
2019-01-05T00:00:00.000+00:00,225.0,250,175,250,5c31450c3ae3e800237ceac8,250,225.0,200,3,192.0,200,2,225.0
2019-01-06T00:00:00.000+00:00,245.0,200,175,290,5c3296aa3ae3e80024804291,290,245.0,200,3,208.0,290,2,245.0
2019-01-11T00:00:00.000+00:00,300.0,300,175,300,5c392ea33ae3e80023870952,300,300.0,300,3,228.0,300,1,300.0
2019-01-16T00:00:00.000+00:00,140.0,140,140,300,5c3fc58c3ae3e800238f6a81,140,140.0,140,3,217.0,140,1,140.0
2019-01-17T00:00:00.000+00:00,135.0,150,100,300,5c41170c3ae3e80023911365,170,150.0,100,3,209.0,100,3,140.0
2019-01-20T00:00:00.000+00:00,20.0,20,15,25,5c450b8d3ae3e8002498e807,20,20.0,20,0,,20,1,20.0
2019-01-26T00:00:00.000+00:00,150.0,150,100,300,5c4cf4ab3ae3e80024a3813b,150,150.0,150,3,194.0,150,1,150.0
2019-01-27T00:00:00.000+00:00,150.0,150,100,170,5c4e460b3ae3e80024a54a60,150,150.0,150,3,175.0,150,1,150.0
