datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-09T00:00:00.000+00:00,10.0,10,10,10,5be61fb1fb16660022111183,10,10.0,10,3,,10,1,10.0
2018-11-12T00:00:00.000+00:00,20.0,20,20,20,5bea1470fb1666002317ec81,20,20.0,20,0,,20,1,20.0
2018-11-16T00:00:00.000+00:00,10.0,10,10,20,5bef5ac2fb166600221aa647,10,10.0,10,0,,10,1,10.0
2018-11-17T00:00:00.000+00:00,9.0,9,9,20,5bf0ac43fb166600221c1d60,9,9.0,9,0,,9,1,9.0
2018-12-05T00:00:00.000+00:00,9.0,9,9,10,5c0866a4fb1666002338f70b,9,9.0,9,3,,9,1,9.0
2018-12-11T00:00:00.000+00:00,17.0,17,9,20,5c104fa93ae3e80023553b99,17,17.0,17,0,,17,1,17.0
2019-01-19T00:00:00.000+00:00,10.0,10,9,17,5c43ba563ae3e8002394aad9,10,10.0,10,0,13.2,10,1,10.0
2019-01-25T00:00:00.000+00:00,10.0,10,9,10,5c4ba33f3ae3e80024a1b8ee,10,10.0,10,3,,10,1,10.0
2019-01-25T00:00:00.000+00:00,21.0,21,9,21,5c4ba33f3ae3e80024a1b8ed,21,21.0,21,0,13.4,21,1,21.0
2019-01-30T00:00:00.000+00:00,16.0,10,10,22,5c523ab13ae3e80024aaa6c6,22,16.0,10,0,14.6,22,2,16.0
2019-01-31T00:00:00.000+00:00,40.0,40,9,40,5c538c383ae3e80024ac7b3f,40,40.0,40,3,,40,1,40.0
2019-02-02T00:00:00.000+00:00,10.0,10,10,22,5c562fc63ae3e80023acdaed,10,10.0,10,0,14.8,10,1,10.0
