datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,14.0,14,14,14,5be37d62fb166600220e9cc6,14,14.0,14,0,,14,1,14.0
2018-11-11T00:00:00.000+00:00,14.0,14,14,14,5be8c338fb1666002213e139,14,14.0,14,0,,14,1,14.0
2018-11-15T00:00:00.000+00:00,13.0,13,13,13,5bee0991fb16660022194b62,13,13.0,13,3,,13,1,13.0
2018-11-15T00:00:00.000+00:00,15.0,15,14,15,5bee0991fb16660022194b61,15,15.0,15,0,,15,1,15.0
2018-11-17T00:00:00.000+00:00,13.0,13,13,15,5bf0aca8fb166600221c29a2,13,13.0,13,0,,13,1,13.0
2018-11-20T00:00:00.000+00:00,13.5,14,13,15,5bf4a0e9fb166600222073e6,14,14.0,13,0,13.9,14,3,13.667
2018-11-23T00:00:00.000+00:00,15.0,15,13,15,5bf89562fb1666002327a8d1,15,15.0,15,0,14.1,15,1,15.0
2018-11-25T00:00:00.000+00:00,15.0,15,13,15,5bfb3867fb166600232aa8d5,15,15.0,15,0,14.3,15,1,15.0
2018-11-27T00:00:00.000+00:00,15.0,15,13,15,5bfddaecfb166600232d8388,15,15.0,15,0,14.3,15,1,15.0
2018-11-30T00:00:00.000+00:00,15.0,15,15,15,5c01cfcbfb1666002331fbfc,15,15.0,15,0,14.7,15,1,15.0
2018-12-01T00:00:00.000+00:00,15.0,15,15,15,5c03215efb166600222f8d7d,15,15.0,15,0,15.0,15,1,15.0
2018-12-03T00:00:00.000+00:00,13.0,13,13,15,5c05c450fb16660022324e8f,13,13.0,13,0,14.6,13,1,13.0
2018-12-07T00:00:00.000+00:00,13.0,13,13,15,5c0b0a4d3ae3e800234fa0f4,13,13.0,13,0,14.2,13,1,13.0
2018-12-16T00:00:00.000+00:00,13.5,15,12,15,5c16e7903ae3e800235cec4e,15,13.5,12,0,13.9,12,2,13.5
2018-12-17T00:00:00.000+00:00,20.0,20,12,20,5c18398e3ae3e800245f46c1,20,20.0,20,0,14.9,20,1,20.0
2018-12-18T00:00:00.000+00:00,14.0,14,12,20,5c198b443ae3e800235ff9a1,14,14.0,14,0,14.7,14,1,14.0
2018-12-19T00:00:00.000+00:00,14.0,14,12,20,5c1adc083ae3e80023617f0d,14,14.0,14,0,14.9,14,1,14.0
2018-12-22T00:00:00.000+00:00,12.0,12,12,20,5c1ed1053ae3e80023663bec,12,12.0,12,0,14.7,12,1,12.0
2018-12-24T00:00:00.000+00:00,14.0,13,12,15,5c2173893ae3e8002369759e,15,13.0,13,0,14.8,13,4,14.0
2018-12-25T00:00:00.000+00:00,14.0,14,12,15,5c22c5773ae3e800236b0c4c,14,14.0,14,0,13.6,14,1,14.0
2018-12-26T00:00:00.000+00:00,14.0,14,12,15,5c2416a73ae3e800246dd223,14,14.0,14,0,13.6,14,1,14.0
2018-12-28T00:00:00.000+00:00,15.0,15,13,15,5c26b9913ae3e800236fcced,15,15.0,15,0,13.8,15,1,15.0
2019-01-02T00:00:00.000+00:00,15.0,15,14,15,5c2d51973ae3e80023780993,15,15.0,15,0,14.4,15,1,15.0
2019-01-04T00:00:00.000+00:00,14.0,14,14,15,5c2ff4a23ae3e800247cf70a,14,14.0,14,0,14.4,14,1,14.0
2019-01-06T00:00:00.000+00:00,15.0,15,13,15,5c32978f3ae3e80024806215,15,15.0,15,3,,15,1,15.0
2019-01-07T00:00:00.000+00:00,15.0,15,14,15,5c33e9073ae3e80023806784,15,15.0,15,0,14.6,15,1,15.0
2019-01-11T00:00:00.000+00:00,13.0,13,13,15,5c392f353ae3e8002488fc53,13,13.0,13,0,14.4,13,1,13.0
2019-01-12T00:00:00.000+00:00,14.0,14,13,15,5c3a80b43ae3e800248acc4d,14,14.0,14,0,14.2,14,1,14.0
2019-01-16T00:00:00.000+00:00,15.0,15,13,15,5c3fc6083ae3e8002491ca06,15,15.0,15,3,,15,1,15.0
2019-01-17T00:00:00.000+00:00,13.0,13,13,15,5c4118023ae3e8002391376b,13,13.0,13,0,13.8,13,1,13.0
2019-01-19T00:00:00.000+00:00,14.0,14,13,14,5c43bae93ae3e80024972005,14,14.0,14,0,13.8,14,1,14.0
2019-01-24T00:00:00.000+00:00,20.0,20,13,20,5c4a52473ae3e800239d6be6,20,20.0,20,3,,20,1,20.0
2019-01-24T00:00:00.000+00:00,10.0,10,10,14,5c4a52473ae3e800239d6be5,10,10.0,10,0,12.8,10,1,10.0
2019-01-26T00:00:00.000+00:00,13.5,17,10,17,5c4cf5803ae3e80024a39f34,17,13.5,10,0,12.9,10,2,13.5
2019-01-30T00:00:00.000+00:00,10.0,10,10,20,5c523b453ae3e80024aabdbb,10,10.0,10,3,14.6,10,1,10.0
2019-01-31T00:00:00.000+00:00,15.0,15,10,17,5c538cf13ae3e80024ac93b4,15,15.0,15,0,13.1,15,2,15.0
2019-02-02T00:00:00.000+00:00,20.0,20,10,20,5c5630223ae3e80024b01b18,20,20.0,20,0,14.5,20,1,20.0
2019-02-03T00:00:00.000+00:00,17.0,17,10,20,5c57812e3ae3e80023aeb516,17,17.0,17,0,15.1,17,1,17.0
