datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,15.0,15,15,15,5be37d38fb1666002310db3a,15,15.0,15,3,,15,1,15.0
2018-11-08T00:00:00.000+00:00,19.0,19,10,19,5be4ce9ffb166600220fdb03,19,19.0,19,0,,19,1,19.0
2018-11-09T00:00:00.000+00:00,13.0,13,13,15,5be61fdefb16660023139f9a,13,13.0,13,3,14.6,13,1,13.0
2018-11-10T00:00:00.000+00:00,10.0,10,10,15,5be77195fb166600221279ed,10,10.0,10,3,13.6,10,1,10.0
2018-11-10T00:00:00.000+00:00,14.0,14,10,19,5be77195fb166600221279ec,14,14.0,14,0,14.5,14,1,14.0
2018-11-11T00:00:00.000+00:00,15.0,15,10,15,5be8c2eefb1666002213d692,15,15.0,15,3,13.6,15,1,15.0
2018-11-11T00:00:00.000+00:00,12.5,15,10,19,5be8c2eefb1666002213d691,15,12.0,10,0,14.1,12,3,12.333
2018-11-12T00:00:00.000+00:00,14.5,14,10,19,5bea14ebfb1666002215355f,15,14.5,14,0,14.0,15,2,14.5
2018-11-13T00:00:00.000+00:00,15.0,15,10,15,5beb65e5fb16660022167cfb,15,15.0,15,0,15.0,15,1,15.0
2018-11-14T00:00:00.000+00:00,15.0,15,10,15,5becb7e4fb1666002217ec4b,15,15.0,15,0,14.2,15,1,15.0
2018-11-15T00:00:00.000+00:00,13.0,13,10,15,5bee0953fb166600231c2651,13,13.0,13,3,13.2,13,1,13.0
2018-11-15T00:00:00.000+00:00,13.0,14,12,15,5bee0953fb166600231c2650,14,14.0,12,0,14.0,14,3,13.333
2018-11-16T00:00:00.000+00:00,15.0,15,10,15,5bef5ae3fb166600231d9587,15,15.0,15,3,13.2,15,1,15.0
2018-11-16T00:00:00.000+00:00,10.0,10,10,15,5bef5ae3fb166600231d9586,10,10.0,10,0,13.5,10,1,10.0
2018-11-17T00:00:00.000+00:00,20.0,20,13,20,5bf0ac6dfb166600231f0a19,20,20.0,20,3,14.6,20,2,20.0
2018-11-17T00:00:00.000+00:00,15.0,15,10,15,5bf0ac6dfb166600231f0a18,15,15.0,15,0,13.6,15,1,15.0
2018-11-18T00:00:00.000+00:00,15.0,15,13,20,5bf1fdc1fb166600221d9476,15,15.0,15,3,15.6,15,1,15.0
2018-11-20T00:00:00.000+00:00,13.0,10,10,16,5bf4a0b8fb166600232354ab,16,12.5,10,0,13.2,15,5,13.2
2018-11-21T00:00:00.000+00:00,15.0,15,15,20,5bf5f239fb1666002221d621,15,15.0,15,3,15.6,15,1,15.0
2018-11-21T00:00:00.000+00:00,20.0,20,10,20,5bf5f239fb1666002221d620,20,20.0,20,0,14.2,20,1,20.0
